( Jerry ) Koosman	NIL
( Tom ) Seaver	NIL
**General Consumer Price Index	NIL
.Giuseppe Citterio	NIL
.Robbie McEwen	NIL
1,000 LAKES RALLY	NIL
1,000 Lakes	NIL
1,000 Lakes Rally	NIL
1. FC Cologne	http://dbpedia.org/resource/1._FC_Köln
1000 Lakes Rally	NIL
12th Dynasty	NIL
1860 Munich	http://dbpedia.org/resource/TSV_1860_München
1966 World Cup	http://dbpedia.org/resource/1966_FIFA_World_Cup
1966-76 Cultural Revolution	NIL
1990 World Cup	http://dbpedia.org/resource/1990_FIFA_World_Cup
1992 European championship	http://dbpedia.org/resource/UEFA_Euro_1992
1993 BellSouth Classic	NIL
1993 World Cup	NIL
1995 World Cup	http://dbpedia.org/resource/1995_Rugby_World_Cup
1996 Miss Teen USA	NIL
1997 FED CUP	http://dbpedia.org/resource/1997_Fed_Cup
1997 Fed Cup	http://dbpedia.org/resource/1997_Fed_Cup
1997--Ruehe	NIL
1998 WORLD CUP	http://dbpedia.org/resource/1998_FIFA_World_Cup
1998 World Cup	http://dbpedia.org/resource/1998_FIFA_World_Cup
1ama	NIL
2,000 Guineas	http://dbpedia.org/resource/2,000_Guineas_Stakes
2000 Games	http://dbpedia.org/resource/2000_Summer_Olympics
21st African Cup of Nations	NIL
3M	NIL
90	NIL
A Woman	NIL
A World of Things	NIL
A$	NIL
A. Brown	NIL
A. Campbell	NIL
A. Cottey	NIL
A. Cowan	NIL
A. Curts Cooke	NIL
A. Dale	NIL
A. Flower	NIL
A. Fraser	NIL
A. Giles	NIL
A. Gurusinha	NIL
A. Harris	NIL
A. Hollioake	NIL
A. Jadeja	NIL
A. Kapoor	NIL
A. Kumble	http://dbpedia.org/resource/Anil_Kumble
A. Mullally	NIL
A. Parore	NIL
A. Penberthy	NIL
A. Ranatunga	NIL
A. Shah	NIL
A. Smith	NIL
A. Stewart	NIL
A. Symonds	NIL
A. Wells	NIL
A.G. Edwards & Sons	http://dbpedia.org/resource/A._G._Edwards
A.G. Edwards & Sons, Inc	NIL
A.L. Central	NIL
A.L. East	http://dbpedia.org/resource/American_League_East
A.S. Bacau	NIL
A.de Silva	NIL
AA	NIL
ABC	http://dbpedia.org/resource/ABC_(newspaper)
ABC	http://dbpedia.org/resource/American_Broadcasting_Company
ABC News	http://dbpedia.org/resource/American_Broadcasting_Company
ABDERDEEN	NIL
ABERDEEN	http://dbpedia.org/resource/Aberdeen_F.C.
ABIDJAN	http://dbpedia.org/resource/Abidjan
ABN AMRO	http://dbpedia.org/resource/ABN_AMRO
ABN-AMRO Hoare Govett	NIL
ABU DHABI	http://dbpedia.org/resource/Abu_Dhabi
AC Milan	http://dbpedia.org/resource/A.C._Milan
AC Sparta Praha	http://dbpedia.org/resource/Sparta_Prague
ACC	NIL
ACCESS	NIL
ACES	http://dbpedia.org/resource/ACES_Colombia
AD	NIL
AD DUSTOUR	NIL
AD-DIYAR	http://dbpedia.org/resource/Ad-Diyar
ADDIS ABABA	NIL
ADRs	http://dbpedia.org/resource/American_Depositary_Receipt
ADV	NIL
AECO	NIL
AEI	NIL
AEI Iberfreight	NIL
AEK	http://dbpedia.org/resource/AEK_Athens_F.C.
AEK Larnaca	http://dbpedia.org/resource/AEK_Larnaca
AEX	http://dbpedia.org/resource/AEX_index
AFL	http://dbpedia.org/resource/Australian_Football_League
AFRICA NATIONS CUP	http://dbpedia.org/resource/Africa_Cup_of_Nations
AFRICAN CUP WINNERS ' CUP	NIL
AFRICAN NATIONS CUP	http://dbpedia.org/resource/Africa_Cup_of_Nations
AGF-IART	NIL
AGROTONZ TLUMACOV	NIL
AHOLD	http://dbpedia.org/resource/Ahold
AIDS	http://dbpedia.org/resource/AIDS
AJACCIO	http://dbpedia.org/resource/Ajaccio
AJAX	http://dbpedia.org/resource/AFC_Ajax
AK-47	http://dbpedia.org/resource/AK-47
AK-47s	http://dbpedia.org/resource/AK-47
AK47	http://dbpedia.org/resource/AK-47
AKRON	http://dbpedia.org/resource/Akron,_Ohio
AL	NIL
AL ASWAQ	NIL
AL RAI	http://dbpedia.org/resource/Al_Rai
AL-AIN	http://dbpedia.org/resource/Al_Ain
AL-ANWAR	NIL
AL-MUNTAR	NIL
AL-RAM	NIL
ALBANIA	http://dbpedia.org/resource/Albania_national_football_team
ALBRIGHT	http://dbpedia.org/resource/Madeleine_Albright
ALBUQUERQUE	http://dbpedia.org/resource/Albuquerque,_New_Mexico
ALEXANDROUPOLIS	NIL
ALKHAN-YURT	NIL
ALL BLACK	http://dbpedia.org/resource/New_Zealand_national_rugby_union_team
ALL BLACKS	http://dbpedia.org/resource/New_Zealand_national_rugby_union_team
ALLENTOWN	http://dbpedia.org/resource/Allentown,_Pennsylvania
ALMERE	http://dbpedia.org/resource/Almere
AMARILLO	http://dbpedia.org/resource/Amarillo,_Texas
AMERICAN	http://dbpedia.org/resource/United_States
AMERICAN FOOTBALL-RANDALL	NIL
AMERICAN LEAGUE EASTERN DIVISION	http://dbpedia.org/resource/American_League_East
AMMAN	http://dbpedia.org/resource/Amman
AMR	http://dbpedia.org/resource/AMR_Corporation
AMR Corp	http://dbpedia.org/resource/AMR_Corporation
AMR Corp.	http://dbpedia.org/resource/AMR_Corporation
AMSTERDAM	http://dbpedia.org/resource/Amsterdam
AMSTETTEN	http://dbpedia.org/resource/Amstetten,_Lower_Austria
AMTRAK	http://dbpedia.org/resource/Amtrak
AN	NIL
AN-NAHAR	http://dbpedia.org/resource/An-Nahar
ANAHEIM	http://dbpedia.org/resource/Anaheim_Ducks
ANC	http://dbpedia.org/resource/African_National_Congress
ANCHORAGE	http://dbpedia.org/resource/Anchorage,_Alaska
ANGELS	http://dbpedia.org/resource/Los_Angeles_Angels_of_Anaheim
ANGOLA	http://dbpedia.org/resource/Angola
ANKARA	http://dbpedia.org/resource/Ankara
ANP	http://dbpedia.org/resource/Algemeen_Nederlands_Persbureau
ANSA	http://dbpedia.org/resource/Agenzia_Nazionale_Stampa_Associata
AOL	http://dbpedia.org/resource/AOL
AOL Europe	NIL
AOL Germany	NIL
AP Moller	NIL
APA	NIL
APPLETON	http://dbpedia.org/resource/Appleton,_Wisconsin
APS	NIL
ARAB	NIL
ARC	http://dbpedia.org/resource/Amalgamated_Roadstone_Corporation
ARGENTINE	http://dbpedia.org/resource/Argentina
ARIZONA	http://dbpedia.org/resource/Arizona_Cardinals
ARLINGTON	http://dbpedia.org/resource/Arlington,_Texas
ARMANDO	NIL
ARMENIA	http://dbpedia.org/resource/Armenia_national_football_team
ARSENAL	http://dbpedia.org/resource/Arsenal_F.C.
AS Roma	http://dbpedia.org/resource/A.S._Roma
AS-SAFIR	http://dbpedia.org/resource/As-Safir
ASARCO	http://dbpedia.org/resource/ASARCO
ASEAN	http://dbpedia.org/resource/ASEAN
ASEC	http://dbpedia.org/resource/ASEC_Mimosas
ASHES	http://dbpedia.org/resource/The_Ashes
ASIA	http://dbpedia.org/resource/Asia
ASIA PACIFIC	http://dbpedia.org/resource/Pacific_Rim
ASIAN CUP	http://dbpedia.org/resource/AFC_Asian_Cup
ASUU	NIL
ATALANTA	http://dbpedia.org/resource/Atalanta_B.C.
ATHENS	http://dbpedia.org/resource/Athens
ATLANTA	http://dbpedia.org/resource/Atlanta
ATLANTA	http://dbpedia.org/resource/Atlanta_Braves
ATLANTA	http://dbpedia.org/resource/Atlanta_Falcons
ATLANTA	http://dbpedia.org/resource/Atlanta_Hawks
ATLANTIC	http://dbpedia.org/resource/Atlantic_Division_(NBA)
ATLANTIC	http://dbpedia.org/resource/Atlantic_Division_(NHL)
ATLANTIC CITY	http://dbpedia.org/resource/Atlantic_City,_New_Jersey
ATLANTIC HIGHLANDS	http://dbpedia.org/resource/Atlantic_Highlands,_New_Jersey
ATLETICO	NIL
ATP	http://dbpedia.org/resource/Association_of_Tennis_Professionals
ATP Tour	NIL
ATRIA	NIL
AUCKLAND	http://dbpedia.org/resource/Auckland
AUSTRALIA	http://dbpedia.org/resource/Australia
AUSTRALIA	http://dbpedia.org/resource/Australia_national_cricket_team
AUSTRALIA	http://dbpedia.org/resource/Australia_national_rugby_union_team
AUSTRALIAN	http://dbpedia.org/resource/Australia
AUSTRALIAN RULES-AFL	NIL
AUSTRALIANS	http://dbpedia.org/resource/Australia
AUSTRALIANS	http://dbpedia.org/resource/Australia_national_cricket_team
AUSTRIA	http://dbpedia.org/resource/Austria
AUSTRIA	http://dbpedia.org/resource/Austria_national_football_team
AUXERRE	http://dbpedia.org/resource/AJ_Auxerre
AVIA	NIL
AXE	NIL
AZ Alkmaar	http://dbpedia.org/resource/AZ_(football_club)
AZERBAIJAN	http://dbpedia.org/resource/Azerbaijan_national_football_team
Aalst	http://dbpedia.org/resource/V.C._Eendracht_Aalst_2002
Aamir Sohail	NIL
Aarau	http://dbpedia.org/resource/FC_Aarau
Aaron Slight	http://dbpedia.org/resource/Aaron_Slight
Aaxis	NIL
Aaxis Limited	NIL
Abbaye	NIL
Abdala Bucaram	http://dbpedia.org/resource/Abdalá_Bucaram
Abdel-Rahman	NIL
Abdellaoui	http://dbpedia.org/resource/Yassine_Abdellaoui
Abdou Diouf	http://dbpedia.org/resource/Abdou_Diouf
Abdul Latif Helou	NIL
Abdul Rahman	NIL
Abdul Rahman Haj Yihye	NIL
Abdul Rashid Dostum	http://dbpedia.org/resource/Abdul_Rashid_Dostum
Abdul Samad Ismail	NIL
Abdul-Karim al-Kabariti	NIL
Abdullah Ercan	http://dbpedia.org/resource/Abdullah_Ercan
Abdulsamad Hameed Ali	NIL
Abel Anton	http://dbpedia.org/resource/Abel_Antón
Abel Balbo	http://dbpedia.org/resource/Abel_Balbo
AbelardoFernandez	NIL
Aberdeen	http://dbpedia.org/resource/Aberdeen_F.C.
Abidjan	http://dbpedia.org/resource/Abidjan
Abimael Guzman	http://dbpedia.org/resource/Abimael_Guzmán
Abolhassan Banisadr	http://dbpedia.org/resource/Abulhassan_Banisadr
Abraham Lincoln	http://dbpedia.org/resource/Abraham_Lincoln
Abu Ammar	http://dbpedia.org/resource/Yasser_Arafat
Abu Dhabi	http://dbpedia.org/resource/Abu_Dhabi
Abu Dhabi	http://dbpedia.org/resource/Abu_Dhabi_(emirate)
Abu Ibrahim	NIL
Abu Mazen	http://dbpedia.org/resource/Mahmoud_Abbas
Abu Rdainah	NIL
Abuja	http://dbpedia.org/resource/Abuja
Abyss DeJesus	NIL
Academic Staff Union of Universities	http://dbpedia.org/resource/Academic_Staff_Union_of_Universities
Academy Award-winning	http://dbpedia.org/resource/Academy_Award
Acatepec	http://dbpedia.org/resource/Acatepec
Acimovic	NIL
Acre	http://dbpedia.org/resource/Mark_Acre
Action Against Hunger	http://dbpedia.org/resource/Action_Against_Hunger
Action Performance Cos Inc	NIL
AdOn	NIL
AdOn GmbH	NIL
Adam Fedoruk	http://dbpedia.org/resource/Adam_Fedoruk
Adam Hollioake	http://dbpedia.org/resource/Adam_Hollioake
Adam Hunter	http://dbpedia.org/resource/Adam_Hunter_(golfer)
Adams	NIL
Adams	http://dbpedia.org/resource/Tony_Adams_(footballer)
Add Hapoel Ironi	NIL
Addameer Prisoners Support Association	NIL
Addis Ababa	NIL
Adel	NIL
Adel Ibrahim	NIL
Adelaide	http://dbpedia.org/resource/Adelaide_Football_Club
Adelbert Knobl	NIL
Adelt	NIL
Adem Hacini	NIL
Adem Hodzic	NIL
Adige	http://dbpedia.org/resource/Adige
Adilson da Silva	http://dbpedia.org/resource/Adilson_da_Silva
Adler Capelli	NIL
Admira / Wacker	NIL
Adnan Al Talyani	http://dbpedia.org/resource/Adnan_Al_Talyani
Adnan Xhelili	NIL
Adolf Hitler	http://dbpedia.org/resource/Adolf_Hitler
Adolfo	NIL
Adrian Ilie	http://dbpedia.org/resource/Adrian_Ilie
Adrian Knup	http://dbpedia.org/resource/Adrian_Knup
Adrian Nastase	http://dbpedia.org/resource/Adrian_Năstase
Adrian Voinea	http://dbpedia.org/resource/Adrian_Voinea
Adrian Warner	NIL
Adriana Serra-Zanetti	NIL
Adriatic	http://dbpedia.org/resource/Adriatic_Sea
Advanced Medical	NIL
Advanced Medical Inc.	NIL
Aegon	http://dbpedia.org/resource/Aegon
Aerodrom Beograd	NIL
Aerostan	NIL
Afghan	http://dbpedia.org/resource/Afghanistan
Afghanistan	http://dbpedia.org/resource/Afghanistan
Afghans	http://dbpedia.org/resource/Afghanistan
Africa	http://dbpedia.org/resource/Africa
African	http://dbpedia.org/resource/Africa
African American	http://dbpedia.org/resource/African_American
African Americans	http://dbpedia.org/resource/African_American
African Champions Cup	NIL
African Cup	http://dbpedia.org/resource/Africa_Cup_of_Nations
African Cup Winners ' Cup	NIL
African Football Confederation	http://dbpedia.org/resource/Confederation_of_African_Football
African National Congress	http://dbpedia.org/resource/African_National_Congress
African Nations ' Cup	NIL
African Nations Cup	http://dbpedia.org/resource/Africa_Cup_of_Nations
Africans	http://dbpedia.org/resource/Africa
Afridi	http://dbpedia.org/resource/Shahid_Afridi
Afrikaans	http://dbpedia.org/resource/Afrikaans
Afrikaner	http://dbpedia.org/resource/Afrikaner
Afrikaners	NIL
Afrikaners	http://dbpedia.org/resource/Afrikaner
Afrim Tole	NIL
Agassi	http://dbpedia.org/resource/Andre_Agassi
Agent Orange	http://dbpedia.org/resource/Agent_Orange
Agir Ensemble pour les Droits de l'Homme	NIL
Agnes Goinxha Bejaxhiu	NIL
Agnieszka Godras	NIL
Agnieszka Kotlarska	http://dbpedia.org/resource/Agnieszka_Kotlarska
Agota Kuperman	NIL
Agricultural Statistics Service	NIL
Agriculture Department	http://dbpedia.org/resource/United_States_Department_of_Agriculture
Agriculture Ministry	NIL
Agrins Zarins	NIL
Aguas Zarcas de San Carlos	NIL
Aguirre	NIL
Agung Setyabudi	http://dbpedia.org/resource/Agung_Setyabudi
Ahmad Shah Masood	http://dbpedia.org/resource/Ahmad_Shah_Massoud
Ahmed Abdel-Rahman	NIL
Ahmed Barada	http://dbpedia.org/resource/Ahmed_Barada
Ahmed Faizy	NIL
Ahmed Hashem Zighayer	NIL
Ahmed Kafawin	NIL
Ahmed Korei	NIL
Ahmed Mestiri	NIL
Ahmed Sekou Toure	http://dbpedia.org/resource/Ahmed_Sékou_Touré
Ahmed Yassin	http://dbpedia.org/resource/Ahmed_Yassin
Ahmedou Ould Abdallah	http://dbpedia.org/resource/Ahmedou_Ould-Abdallah
Ahold	http://dbpedia.org/resource/Ahold
Ahold NV	NIL
Ai Sugiyama	http://dbpedia.org/resource/Ai_Sugiyama
Ai n't no telling	NIL
Aidan Quinn	http://dbpedia.org/resource/Aidan_Quinn
Aime Jacquet	http://dbpedia.org/resource/Aimé_Jacquet
Ainars Kiksis	NIL
Air Cargo Newsroom	NIL
Air Corps	NIL
Air Express International	NIL
Air Force	http://dbpedia.org/resource/United_States_Air_Force
Air France	http://dbpedia.org/resource/Air_France
Airbus	NIL
Airbus 310	NIL
Airbus A310	NIL
Airdrieonians	http://dbpedia.org/resource/Airdrieonians_F.C.
Airport Facilities	NIL
Airport Facilities Co Ltd	NIL
Aishwarya	NIL
Aiza Dudayeva	NIL
Ajaccio	http://dbpedia.org/resource/Ajaccio
Ajax	http://dbpedia.org/resource/AFC_Ajax
Ajax Amsterdam	http://dbpedia.org/resource/AFC_Ajax
Ajay Jadeja	http://dbpedia.org/resource/Ajay_Jadeja
Akashi	http://dbpedia.org/resource/Yasushi_Akashi
Akbel	NIL
Aki	NIL
Akira Ryo	http://dbpedia.org/resource/Akira_Ryō
Akpoborie	http://dbpedia.org/resource/Jonathan_Akpoborie
Akron	http://dbpedia.org/resource/Akron,_Ohio
Al Gore	http://dbpedia.org/resource/Al_Gore
Al Martin	http://dbpedia.org/resource/Al_Martin
Al Unser	http://dbpedia.org/resource/Al_Unser,_Jr.
Al-Akhbar	http://dbpedia.org/resource/Elakhbar
Al-Aqsa	http://dbpedia.org/resource/Al-Aqsa_Mosque
Ala	http://dbpedia.org/resource/Alabama
Alain Caveglia	http://dbpedia.org/resource/Alain_Caveglia
Alain Juppe	http://dbpedia.org/resource/Alain_Juppé
Alama Ieremia	http://dbpedia.org/resource/Alama_Ieremia
Alami	http://dbpedia.org/resource/Karim_Alami
Alan	http://dbpedia.org/resource/Alan_Shearer
Alan Ackerman	NIL
Alan Ball	http://dbpedia.org/resource/Alan_Ball,_Jr.
Alan Bateman	NIL
Alan Benes	http://dbpedia.org/resource/Alan_Benes
Alan Elsner	NIL
Alan Greenspan	http://dbpedia.org/resource/Alan_Greenspan
Alan Hunte	http://dbpedia.org/resource/Alan_Hunte
Alan John Percivale ( A.J.P. ) Taylor	NIL
Alan Kelly	http://dbpedia.org/resource/Alan_Kelly,_Sr.
Alan Kernaghan	http://dbpedia.org/resource/Alan_Kernaghan
Alan Lovell	NIL
Alan McLoughlin	http://dbpedia.org/resource/Alan_McLoughlin
Alan Moore	http://dbpedia.org/resource/Alan_Moore_(footballer)
Alan Mullally	http://dbpedia.org/resource/Alan_Mullally
Alan Shearer	http://dbpedia.org/resource/Alan_Shearer
Alania	http://dbpedia.org/resource/FC_Alania_Vladikavkaz
Alania Vladikavkaz	http://dbpedia.org/resource/FC_Alania_Vladikavkaz
Alaniya Vladikavkaz	NIL
Alarm UK	NIL
Alaska	http://dbpedia.org/resource/Alaska
Alaska Milk	http://dbpedia.org/resource/Alaska_Aces_(PBA)
Alastair Macdonald	NIL
Alatas	http://dbpedia.org/resource/Ali_Alatas
Alba	NIL
Alba Berlin	http://dbpedia.org/resource/ALBA_Berlin
Albania	http://dbpedia.org/resource/Albania
Albanian	http://dbpedia.org/resource/Albania
Albanian	http://dbpedia.org/resource/Albania_national_football_team
Albanian	http://dbpedia.org/resource/Albanian_language
Albanian	http://dbpedia.org/resource/Albanians
Albanian Football Association	http://dbpedia.org/resource/Albanian_Football_Association
Albanian-born	NIL
Albanians	http://dbpedia.org/resource/Albanians
Albert	http://dbpedia.org/resource/Albert_II,_Prince_of_Monaco
Albert Belle	http://dbpedia.org/resource/Albert_Belle
Albert Emon	http://dbpedia.org/resource/Albert_Emon
Albert Ferrer	http://dbpedia.org/resource/Albert_Ferrer
Albert Schweitzer	http://dbpedia.org/resource/Albert_Schweitzer
Alberta	NIL
Alberta	http://dbpedia.org/resource/Alberta
Alberto Berasategui	http://dbpedia.org/resource/Alberto_Berasategui
Alberto Costa	NIL
Alberto Garcia Aspe	http://dbpedia.org/resource/Alberto_García_Aspe
Alberto Piotti	NIL
Albion	NIL
Albion	http://dbpedia.org/resource/West_Bromwich_Albion_F.C.
Albright	http://dbpedia.org/resource/Madeleine_Albright
Albuquerque	http://dbpedia.org/resource/Albuquerque,_New_Mexico
Alcan	http://dbpedia.org/resource/Rio_Tinto_Alcan
Alcatel Alsthom	NIL
Aldi	http://dbpedia.org/resource/Aldi
Alec Stewart	http://dbpedia.org/resource/Alec_Stewart
Aleix Vidal-Quadras	NIL
Alejandro Lanusse	http://dbpedia.org/resource/Alejandro_Agustín_Lanusse
Aleksander Kwasniewski	http://dbpedia.org/resource/Aleksander_Kwaśniewski
Aleksander Lebed	NIL
Aleksandra Olsza	http://dbpedia.org/resource/Aleksandra_Olsza
Aleksandrovac	NIL
Alen Boksic	http://dbpedia.org/resource/Alen_Bokšić
Alena Koroleva	NIL
Ales Valenta	http://dbpedia.org/resource/Aleš_Valenta
Alessandra Merlin	NIL
Alessandra Mussolini	http://dbpedia.org/resource/Alessandra_Mussolini
Alessandro Baronti	NIL
Alessandro Del Piero	http://dbpedia.org/resource/Alessandro_Del_Piero
Alessandro Lambruschini	http://dbpedia.org/resource/Alessandro_Lambruschini
