  @queenbee	NIL647
 #ChampionsLeag	http://dbpedia.org/resource/UEFA_Champions_League
 @ Stony Stratf	http://dbpedia.org/resource/Stony_Stratford
 @AdamWait	NIL69
 @Charleighh	NIL237
 @HelenStockwe	NIL380
 @XianLi	http://dbpedia.org/resource/Xian_Lim
 @prinsesachini	http://dbpedia.org/resource/Kim_Chiu
 Andre	NIL158
 Buckinghamshir	http://dbpedia.org/resource/Buckinghamshire
 Charle	NIL238
 Duracel	http://dbpedia.org/resource/Duracell
 Hollywoo	http://dbpedia.org/resource/Hollywood
 Indonesi	http://dbpedia.org/resource/Indonesia
 Jac	NIL403
 Ka	NIL473
 Londo	http://dbpedia.org/resource/London
 London Bridg	http://dbpedia.org/resource/London_Bridge
 Milton Keyne	http://dbpedia.org/resource/Milton_Keynes
 Milton Keynes Central Librar	NIL26
 Pauline	NIL630
 Rodger	http://dbpedia.org/resource/Paul_Rodgers
 Starbuck	http://dbpedia.org/resource/Starbucks
 Stevi	NIL184
 Tgi Friday	http://dbpedia.org/resource/T.G.I._Friday's
 The Centre:MK Shopping Centr	http://dbpedia.org/resource/Central_Milton_Keynes_Shopping_Centre
 U	http://dbpedia.org/resource/United_Kingdom
 breathing problem	http://dbpedia.org/resource/Dyspnea
 skegnes	http://dbpedia.org/resource/Skegness
"?""@GaryBar"	http://dbpedia.org/resource/Gary_Barlow
"twIi""”@X"	http://dbpedia.org/resource/Xian_Lim
#BlackFrida	http://dbpedia.org/resource/Black_Friday_(shopping)
#ChampionsLeagu	http://dbpedia.org/resource/UEFA_Champions_League
#Christma	http://dbpedia.org/resource/Christmas
#ImACele	http://dbpedia.org/resource/I'm_a_Celebrity...Get_Me_Out_of_Here!
#MUFCvBAYER	NIL17
#jackdaniel	NIL798
#starbuck	http://dbpedia.org/resource/Starbucks
#xfacto	http://dbpedia.org/resource/The_X_Factor_(UK_TV_series)
007	http://dbpedia.org/resource/James_Bond_(literary_character)
04nbod	NIL109
100PCT	NIL35
1027KIISFM	http://dbpedia.org/resource/KIIS-FM
106andpark	http://dbpedia.org/resource/106_&_Park
10TV	http://dbpedia.org/resource/10TV
12MarceloVJr	NIL110
12th Royal Lancers	http://dbpedia.org/resource/9th/12th_Royal_Lancers
140townhall	NIL253
16 and Pregnant	http://dbpedia.org/resource/16_and_Pregnant
18DialSquare86	NIL111
18DialSquare86	NIL271
18DialSquare86	NIL62
1Birdlover	NIL49
1D	http://dbpedia.org/resource/One_Direction
1DLittleSecret	NIL799
1DPaparazzis	NIL801
1DUpdatesOnline	NIL802
1DWorldStalk	NIL803
1Dneews	NIL800
1Password	http://dbpedia.org/resource/1Password
1Pepsy	NIL112
1Pepsy	NIL63
2008 financial crisis	http://dbpedia.org/resource/Global_financial_crisis_in_September_2008
2011 Incheon Korean Music Wave Concert 	NIL7
2012 Summer Olympics	http://dbpedia.org/resource/2012_Summer_Olympics
2012 games	http://dbpedia.org/resource/2012_Summer_Olympics
2013 All-Star Game	http://dbpedia.org/resource/2013_NBA_All-Star_Game
2014 World Cup Qualifiers	http://dbpedia.org/resource/2014_FIFA_World_Cup_qualification
20472d	NIL113
21prods	NIL114
27 Corona Street	NIL21
35E	http://dbpedia.org/resource/Interstate_35E_(Minnesota)
3DS	http://dbpedia.org/resource/Nintendo_3DS
4 Roslyn Court	NIL22
49ers	http://dbpedia.org/resource/San_Francisco_49ers
5	http://dbpedia.org/resource/IPhone_5
635 Lbj Frwy	NIL23
73dz74r	NIL115
777s	http://dbpedia.org/resource/Boeing_777
8tracks	http://dbpedia.org/resource/8tracks.com
9/11	http://dbpedia.org/resource/September_11_attacks
911BUFF	NIL116
99p stores	http://dbpedia.org/resource/99p_Stores
9NewsNOW	NIL804
? @MileyCy	http://dbpedia.org/resource/Miley_Cyrus
? @OliviaRo	NIL618
? @XianL	http://dbpedia.org/resource/Xian_Lim
?@WonderWorld	NIL5
?Laure	NIL501
@ Bletchley Colle	http://dbpedia.org/resource/Milton_Keynes_College
@ Milton Keynes Central railway stati	http://dbpedia.org/resource/Milton_Keynes_Central_railway_station
@ Studl	NIL61
@ChemistryVid	NIL275
@DonnaTTgir	NIL302
@EmmaJonesG	NIL316
@FloEofficia	NIL885
@HelTTgir	NIL381
@IKEALivin	http://dbpedia.org/resource/IKEA
@Jordan_Ju	NIL117
@Macauley_Irvin	NIL536
@Metro_T	http://dbpedia.org/resource/MetroTV
@aso	NIL818
@charleydeek	NIL240
@detikco	NIL41
@detikho	NIL42
@habitatu	http://dbpedia.org/resource/Habitat_(retailer)
@jaimo1	NIL407
@littlemissdann	NIL520
@megxnwilso	NIL565
@mklibrarie	NIL27
@rickyroza	http://dbpedia.org/resource/Rick_Ross
@teenywisema	NIL757
A	http://dbpedia.org/resource/Oakland_Athletics
A27	http://dbpedia.org/resource/A27_road
A3	http://dbpedia.org/resource/A3_road
AAPL	http://dbpedia.org/resource/Apple_Inc.
AAwanABS	NIL131
ABC	http://dbpedia.org/resource/American_Broadcasting_Company
ABC	http://dbpedia.org/resource/Australian_Broadcasting_Corporation
ABC News	http://dbpedia.org/resource/ABC_News
ABC7News	NIL807
ABCNews	http://dbpedia.org/resource/ABC_News
ABCWorldNews	NIL809
ABCemergency	NIL808
AC360	http://dbpedia.org/resource/Anderson_Cooper_360°
ADAM LAMBERT	http://dbpedia.org/resource/Adam_Lambert
AFC	http://dbpedia.org/resource/A.F.C._Leopards
AFC	http://dbpedia.org/resource/American_Football_Conference
AFC	http://dbpedia.org/resource/Arsenal_F.C.
AFC_GLEN	NIL136
AFP	http://dbpedia.org/resource/Agence_France-Presse
AHN	http://dbpedia.org/resource/All_Headline_News
AIMSPRO	NIL256
AJELive	http://dbpedia.org/resource/Al_Jazeera
