ANC	http://dbpedia.org/resource/African_National_Congress
Adamo Levi	NIL
Adele Montalcini	NIL
Adolf Zsigmondy Sr.	NIL
African National Congress	http://dbpedia.org/resource/African_National_Congress
Akira Suzuki	http://dbpedia.org/resource/Akira_Suzuki_(chemist)
Al Gore	http://dbpedia.org/resource/Al_Gore
Alain-Fournier	http://dbpedia.org/resource/Alain-Fournier
Alan N. Braverman	http://dbpedia.org/resource/Alan_N._Braverman
Albert Lutuli	http://dbpedia.org/resource/Albert_Lutuli
Albert Modiano	NIL
Alexander S. Langsdorf	http://dbpedia.org/resource/Alexander_Langsdorf,_Jr.
Alfred A. Knopf	http://dbpedia.org/resource/Alfred_A._Knopf
Algarves	http://dbpedia.org/resource/Algarve
Amalfi	http://dbpedia.org/resource/Amalfi
American	NIL
American	http://dbpedia.org/resource/Americans
American-born	http://dbpedia.org/resource/Americans
Andrea Pole	NIL
Anne-Marie Schweitzer	NIL
Argentina	http://dbpedia.org/resource/Argentina
Argonne National Laboratory	http://dbpedia.org/resource/Argonne_National_Laboratory
Assistant Professor	http://dbpedia.org/resource/Professor
Associate Professor	http://dbpedia.org/resource/Professor
Associate Professor	http://dbpedia.org/resource/Professors_in_the_United_States
Auburn, New York	http://dbpedia.org/resource/Auburn,_New_York
Auschwitz concentration camp	http://dbpedia.org/resource/Auschwitz_concentration_camp
Australia	http://dbpedia.org/resource/Australia
Austrian Empire	http://dbpedia.org/resource/Austrian_Empire
Barack Obama	http://dbpedia.org/resource/Barack_Obama
Basel Institute for Immunology	http://dbpedia.org/resource/Basel_Institute_for_Immunology
Basel, Switzerland	http://dbpedia.org/resource/Basel
Beckett	http://dbpedia.org/resource/Samuel_Beckett
Belfast	http://dbpedia.org/resource/Belfast
Benito Mussolini	http://dbpedia.org/resource/Benito_Mussolini
Benjamin F. Hopkins	http://dbpedia.org/resource/Benjamin_F._Hopkins
Berkeley	http://dbpedia.org/resource/University_of_California,_Berkeley
Bertha Camilla Schütz	NIL
Bianca Fo Garambois	NIL
Bill Clinton	http://dbpedia.org/resource/Bill_Clinton
Blaauwbosch	NIL
Blackett	http://dbpedia.org/resource/Patrick_Blackett,_Baron_Blackett
Blackpool, Lancashire, England	http://dbpedia.org/resource/Blackpool
Bolton School	http://dbpedia.org/resource/Bolton_School
Boston Brahmin family	http://dbpedia.org/resource/Boston_Brahmin
Boston University	http://dbpedia.org/resource/Boston_University
Boston, Massachusetts	http://dbpedia.org/resource/Boston
Bothe	http://dbpedia.org/resource/Walther_Bothe
Boy Scouts of America	http://dbpedia.org/resource/Boy_Scouts_of_America
Brantford, Ontario	http://dbpedia.org/resource/Brantford
Bratislava	http://dbpedia.org/resource/Bratislava
Brera Academy	http://dbpedia.org/resource/Brera_Academy
Brigham Young Academy	http://dbpedia.org/resource/Brigham_Young_University
Brigham Young University	http://dbpedia.org/resource/Brigham_Young_University
Bronx High School of Science	http://dbpedia.org/resource/The_Bronx_High_School_of_Science
Buchenwald	http://dbpedia.org/resource/Buchenwald_concentration_camp
Burlington	http://dbpedia.org/resource/Burlington,_Vermont
Calcutta University	http://dbpedia.org/resource/University_of_Calcutta
Cambridge	http://dbpedia.org/resource/Cambridge
Cambridge Majlis	NIL
Campbell College	http://dbpedia.org/resource/Campbell_College
Canada	http://dbpedia.org/resource/Canada
Canadian	http://dbpedia.org/resource/Canadians
Canadian Union of Public Employees	http://dbpedia.org/resource/Canadian_Union_of_Public_Employees
Cape Cod	http://dbpedia.org/resource/Cape_Cod
Capecchi	http://dbpedia.org/resource/Mario_Capecchi
Carlo Azeglio Ciampi	http://dbpedia.org/resource/Carlo_Azeglio_Ciampi
Carlo Rubbia	http://dbpedia.org/resource/Carlo_Rubbia
Carpathian Mountains	http://dbpedia.org/resource/Carpathian_Mountains
Catanzaro	http://dbpedia.org/resource/Catanzaro
Cavendish Laboratory	http://dbpedia.org/resource/Cavendish_Laboratory
Cedar Rapids	http://dbpedia.org/resource/Cedar_Rapids,_Iowa
Cedar Rapids, Iowa	http://dbpedia.org/resource/Cedar_Rapids,_Iowa
Central Academy of Fine Arts	http://dbpedia.org/resource/China_Central_Academy_of_Fine_Arts
Charborough	http://dbpedia.org/resource/Charborough_House
Charborough House	http://dbpedia.org/resource/Charborough_House
Chatham	http://dbpedia.org/resource/Chatham,_Kent
Chattanooga	http://dbpedia.org/resource/Chattanooga,_Tennessee
Chattanooga State Technical Community College	http://dbpedia.org/resource/Chattanooga_State_Community_College
Chicago	http://dbpedia.org/resource/Chicago
Chile	http://dbpedia.org/resource/Chile
Chilean Communist Party	http://dbpedia.org/resource/Communist_Party_of_Chile
Chouinard Art Institute	http://dbpedia.org/resource/Chouinard_Art_Institute
Chris Corrigan	http://dbpedia.org/resource/Chris_Corrigan
