MONTGOMERY	http://dbpedia.org/resource/Montgomery,_Alabama
Ala	http://dbpedia.org/resource/Alabama
KinderCare Learning Centers Inc	http://dbpedia.org/resource/KinderCare_Learning_Centers
Philip Maslowe	NIL
Gateway Data Sciences	NIL
PHOENIX	http://dbpedia.org/resource/Phoenix,_Arizona
Consolidated Financial Data	NIL
Oppenheimer Capital	NIL
NEW YORK	http://dbpedia.org/resource/New_York_City
Oppenheimer Capital LP	http://dbpedia.org/resource/Oppenheimer_Holdings
Ulster Petroleums Ltd	NIL
CALGARY	http://dbpedia.org/resource/Calgary
C$	NIL
C$	NIL
C$	NIL
C$	NIL
Reuters Toronto Bureau	NIL
Lufthansa	http://dbpedia.org/resource/Lufthansa
FRANKFURT	http://dbpedia.org/resource/Frankfurt_am_Main
Lufthansa Cargo AG	NIL
Deutsche Lufthansa AG	http://dbpedia.org/resource/Lufthansa
Lufthanseat	NIL
Dm	NIL
Dm	NIL
Dm	NIL
Dm	NIL
Dm	NIL
Air Cargo Newsroom	NIL
Deutsche Bahn	http://dbpedia.org/resource/Deutsche_Bahn
FRANKFURT	http://dbpedia.org/resource/Frankfurt_am_Main
German	http://dbpedia.org/resource/Germany
Deutsche Bahn AG	http://dbpedia.org/resource/Deutsche_Bahn
Frankfurt Newsroom	NIL
Orii	NIL
TOKYO	http://dbpedia.org/resource/Tokyo
Orii Corp	NIL
Companion Marble	NIL
HONG KONG	http://dbpedia.org/resource/Hong_Kong
HK$	http://dbpedia.org/resource/Hong_Kong_dollar
H.K.	http://dbpedia.org/resource/Hong_Kong
H.K.	http://dbpedia.org/resource/Hong_Kong
Companion Marble	NIL
Holdings	http://dbpedia.org/resource/Holding_company
Ltd	http://dbpedia.org/resource/Limited_company
Companion Marble	NIL
Companion Building Material	NIL
Holdings	http://dbpedia.org/resource/Holding_company
Ltd	http://dbpedia.org/resource/Limited_company
Stock Exchange	NIL
Hong Kong News Room	NIL
Shanghai Post and Telecomm	NIL
SHANGHAI	http://dbpedia.org/resource/Shanghai
Shanghai Posts and Telecommunications Equipment Co	NIL
Ford China	NIL
SHANGHAI	http://dbpedia.org/resource/Shanghai
Chinese	http://dbpedia.org/resource/People's_Republic_of_China
Ford Motor Co	http://dbpedia.org/resource/Ford_Motor_Company
Jiangling Motors Corp	NIL
China Securities	NIL
Ford	http://dbpedia.org/resource/Ford_Motor_Company
Jiangling Motors Group	NIL
Jiangxi	http://dbpedia.org/resource/Jiangxi
China	http://dbpedia.org/resource/People's_Republic_of_China
Tauranaga	NIL
WELLINGTON	http://dbpedia.org/resource/Wellington
NZ$	http://dbpedia.org/resource/New_Zealand_dollar
Gencor	NIL
Melanie Cheary	NIL
JOHANNESBURG	http://dbpedia.org/resource/Johannesburg
Gencor Ltd	NIL
Brian Gilbertson	NIL
Gencor	NIL
Impala Platinum Holdings Ltd	NIL
Impala	NIL
Gilbertson	NIL
Implats	NIL
Implats	NIL
Ingwe Coal Corporation Ltd	NIL
Mpumulanga	NIL
Gilbertson	NIL
European Commission	http://dbpedia.org/resource/European_Commission
Implats	NIL
Lonrho Plc	http://dbpedia.org/resource/Lonmin
Gencor	NIL
Gilbertson	NIL
Gencor	NIL
Gencor	NIL
Gencor	NIL
Malbak Ltd	NIL
Gilbertson	NIL
Gencor	NIL
Malbak	NIL
Gencor	NIL
Gilbertson	NIL
Gencor	NIL
Ingwe	NIL
Gilbertson	NIL
Ingwe	NIL
Gilbertson	NIL
Gencor	NIL
Johannesburg	http://dbpedia.org/resource/Johannesburg
Salomon	NIL
NEW YORK	http://dbpedia.org/resource/New_York_City
Salomon Brothers	http://dbpedia.org/resource/Salomon_Brothers
Paul Ting	NIL
Diamond Shamrock Inc	NIL
Sun Co	NIL
Tosco Corp	NIL
Total Petroleum ( North America ) Ltd	NIL
Valero Energy Corp	http://dbpedia.org/resource/Valero_Energy_Corporation
Indonesia	http://dbpedia.org/resource/Indonesia
JAKARTA	http://dbpedia.org/resource/Jakarta
Indonesia	http://dbpedia.org/resource/Indonesia
Jakarta Post	http://dbpedia.org/resource/The_Jakarta_Post
Bank Indonesia	http://dbpedia.org/resource/Bank_Indonesia
Sudradjat Djiwandono	NIL
Harleysville Group	NIL
HARLEYSVILLE	http://dbpedia.org/resource/Harleysville,_Pennsylvania
Pa	NIL
RTRS	NIL
Arthur Yates	NIL
A$	NIL
SYDNEY	http://dbpedia.org/resource/Sydney
A$	NIL
Arthur Yates and Co	NIL
Sydney	http://dbpedia.org/resource/Sydney
Northern States Power Co	NIL
MINNEAPOLIS	http://dbpedia.org/resource/Minneapolis
Chicago	http://dbpedia.org/resource/Chicago
Stork	NIL
AMSTERDAM	http://dbpedia.org/resource/Amsterdam
Amsterdam	http://dbpedia.org/resource/Amsterdam
HOEK LOOS	NIL
AMSTERDAM	http://dbpedia.org/resource/Amsterdam
Hoek Loos NV	NIL
Amsterdam	http://dbpedia.org/resource/Amsterdam
RTRS	NIL
Guinness Peat	NIL
SYDNEY	http://dbpedia.org/resource/Sydney
British-based	http://dbpedia.org/resource/United_Kingdom
Guinness Peat Group Plc	NIL
GPG	NIL
GPG	NIL
Garry Weiss	NIL
GPG	NIL
Weiss	NIL
Australian	http://dbpedia.org/resource/Australia
Weiss	NIL
Physicians Insurance Co	NIL
Ohio	http://dbpedia.org/resource/Ohio
U.S.	http://dbpedia.org/resource/United_States
GPG	NIL
Tyndall Australia Ltd	NIL
Mid-East Minerals Ltd	NIL
GPG	NIL
Sydney Newsroom	NIL
RTRS	NIL
Newcrest Q4	NIL
A$	NIL
SYDNEY	http://dbpedia.org/resource/Sydney
Newcrest Mining Ltd	http://dbpedia.org/resource/Newcrest_Mining
A$	NIL
Newcrest	NIL
A$	NIL
A$	NIL
Newcrest	NIL
Telfer	http://dbpedia.org/resource/Telfer_Mine
Boddington	http://dbpedia.org/resource/Boddington_Gold_Mine
A$	NIL
Liu Chong Hing	NIL
HONG KONG	http://dbpedia.org/resource/Hong_Kong
HK$	http://dbpedia.org/resource/Hong_Kong_dollar
H.K.	http://dbpedia.org/resource/Hong_Kong
H.K.	http://dbpedia.org/resource/Hong_Kong
Liu Chong Hing Investment Ltd	NIL
Liu Chong Hing	NIL
Hong Kong Newsroom	NIL
Dreyfus Strategic Munis	NIL
NEW YORK	http://dbpedia.org/resource/New_York
Dreyfus Strategic Municipals Inc	NIL
First Alliance	NIL
IRVINE	http://dbpedia.org/resource/Irvine,_California
Calif.	http://dbpedia.org/resource/California
First Alliance Corporation and Subsidiaries	NIL
Slough Estates	http://dbpedia.org/resource/SEGRO
LONDON	http://dbpedia.org/resource/London
Slough Estates Plc	NIL
Slough	NIL
GMT	http://dbpedia.org/resource/Greenwich_Mean_Time
British Land	http://dbpedia.org/resource/British_Land
Land Securities	http://dbpedia.org/resource/Land_Securities
Hammerson	http://dbpedia.org/resource/Hammerson
Merrill Lynch	http://dbpedia.org/resource/Merrill_Lynch
SBC Warburg	NIL
Merrill Lynch	http://dbpedia.org/resource/Merrill_Lynch
SBC Warburg	NIL
Merrill Lynch	http://dbpedia.org/resource/Merrill_Lynch
SBC Warburg	NIL
SBC Warburg	NIL
SBC Warburg	NIL
SBC Warburg	NIL
Slough Estates	http://dbpedia.org/resource/SEGRO
Slough	NIL
Nigel Mobbs	http://dbpedia.org/resource/Nigel_Mobbs
Jonathan Birt	NIL
London Newsroom	NIL
Repsol	http://dbpedia.org/resource/Repsol_YPF
MADRID	http://dbpedia.org/resource/Madrid
Spanish	http://dbpedia.org/resource/Spain
Repsol	http://dbpedia.org/resource/Repsol_YPF
Repsol	http://dbpedia.org/resource/Repsol_YPF
Madrid	http://dbpedia.org/resource/Madrid
Madrid Newsroom	NIL
Loxley	NIL
BANGKOK	http://dbpedia.org/resource/Bangkok
Loxley Publications Plc	NIL
Bangkok	http://dbpedia.org/resource/Bangkok
ROMANIA	http://dbpedia.org/resource/Romania
COMELF	NIL
BUCHAREST	http://dbpedia.org/resource/Bucharest
Romanian	NIL
Comelf	NIL
Comelf	NIL
Bucharest	http://dbpedia.org/resource/Bucharest
Comelf	NIL
Transylvanian	http://dbpedia.org/resource/Transylvania
Bistrita	http://dbpedia.org/resource/Bistriţa
Comelf	NIL
Luli Popescu	NIL
Bucharest Newsroom	NIL
Cofinec	NIL
Emese Bartha	NIL
BUDAPEST	http://dbpedia.org/resource/Budapest
France-registered	NIL
Cofinec S.A.	NIL
Budapest Stock Exchange	http://dbpedia.org/resource/Budapest_Stock_Exchange
BSE	http://dbpedia.org/resource/Budapest_Stock_Exchange
Cofinec	NIL
BSE	http://dbpedia.org/resource/Budapest_Stock_Exchange
Cofinec	NIL
Stephen Frater	NIL
Vienna	http://dbpedia.org/resource/Vienna
French	http://dbpedia.org/resource/France
Frater	NIL
Frater	NIL
Cofinec	NIL
Budapest	http://dbpedia.org/resource/Budapest
Frater	NIL
Cofinec	NIL
Frater	NIL
Hungary	http://dbpedia.org/resource/Hungary
Poland	http://dbpedia.org/resource/Poland
Czech Republic	http://dbpedia.org/resource/Czech_Republic
French	http://dbpedia.org/resource/France
French	http://dbpedia.org/resource/France
