CME	http://dbpedia.org/resource/Chicago_Mercantile_Exchange
CHICAGO	http://dbpedia.org/resource/Chicago
CME	http://dbpedia.org/resource/Chicago_Mercantile_Exchange
London	http://dbpedia.org/resource/London
LONDON	http://dbpedia.org/resource/London
Iron Gippsland	NIL
Greek	http://dbpedia.org/resource/Greece
Sairyu Maru No: 2	NIL
Greek	http://dbpedia.org/resource/Greece
Stainless Fighter	NIL
GMT	http://dbpedia.org/resource/Greenwich_Mean_Time
LONDON	http://dbpedia.org/resource/London
MIDEAST GULF	NIL
RED SEA	http://dbpedia.org/resource/Red_Sea
Konpolis	NIL
Mideast	http://dbpedia.org/resource/Middle_East
Indonesia	http://dbpedia.org/resource/Indonesia
KPC	NIL
TBN	NIL
Mideast	http://dbpedia.org/resource/Middle_East
W.C. India	NIL
E.C.India	NIL
IOC	http://dbpedia.org/resource/Indian_Oil_Corporation
ASIA PACIFIC	http://dbpedia.org/resource/Pacific_Rim
Petrobulk Rainbow	NIL
Okinawa	http://dbpedia.org/resource/Okinawa_Prefecture
Inchon	http://dbpedia.org/resource/Incheon
Honam	NIL
MED	http://dbpedia.org/resource/Mediterranean_Sea
BLACK SEA	http://dbpedia.org/resource/Black_Sea
TBN	NIL
Constanza	http://dbpedia.org/resource/Constanţa
Inia	http://dbpedia.org/resource/Inia,_Paphos
IOC	http://dbpedia.org/resource/Indian_Oil_Corporation
UK	NIL
Port Christine	NIL
Pembroke	http://dbpedia.org/resource/Pembroke,_Massachusetts
US	NIL
Stentex	NIL
WESTERN HEMISPHERE	http://dbpedia.org/resource/Western_Hemisphere
Kpaitan Stankov	NIL
St Croix	http://dbpedia.org/resource/Saint_Croix,_U.S._Virgin_Islands
USAC	NIL
Hess	NIL
AP Moller	NIL
Caribs	NIL
Japan	http://dbpedia.org/resource/Japan
BP	http://dbpedia.org/resource/BP
Tiber	NIL
Caribs	NIL
Stinnes	NIL
MIDEAST GULF	NIL
RED SEA	http://dbpedia.org/resource/Red_Sea
Tenacity	NIL
Mideast	http://dbpedia.org/resource/Middle_East
South Korea	http://dbpedia.org/resource/South_Korea
Samsung	http://dbpedia.org/resource/Samsung_Heavy_Industries
SKS Tana	NIL
Mideast	http://dbpedia.org/resource/Middle_East
Japan	http://dbpedia.org/resource/Japan
CNR	NIL
Northsea Chaser	NIL
Mideast	http://dbpedia.org/resource/Middle_East
Japan	http://dbpedia.org/resource/Japan
Jomo	NIL
Sibonina	NIL
Red Sea	http://dbpedia.org/resource/Red_Sea
Japan	http://dbpedia.org/resource/Japan
Marubeni	http://dbpedia.org/resource/Marubeni
ASIA	http://dbpedia.org/resource/Asia
PACIFIC	NIL
Neptune Crux	NIL
Singapore	http://dbpedia.org/resource/Singapore
Sietco	NIL
World Bridge	NIL
South Korea	http://dbpedia.org/resource/South_Korea
Japan	http://dbpedia.org/resource/Japan
CNR	NIL
Fulmar	NIL
Ulsan	http://dbpedia.org/resource/Ulsan
Yosu	http://dbpedia.org/resource/Yeosu
LG Caltex	NIL
MED	NIL
BLACK SEA	http://dbpedia.org/resource/Black_Sea
Hemina	NIL
Eleusis	http://dbpedia.org/resource/Eleusina
UKCM	NIL
CNR	NIL
London Newsroom	NIL
WSC-India	NIL
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
Little	NIL
India	http://dbpedia.org/resource/India
Weather Services Corporation	NIL
China	http://dbpedia.org/resource/People's_Republic_of_China
Lynne O'Donnell	NIL
HONG KONG	http://dbpedia.org/resource/Hong_Kong
Shanghai	http://dbpedia.org/resource/Shanghai
China	http://dbpedia.org/resource/People's_Republic_of_China
Yingkou	http://dbpedia.org/resource/Yingkou
Shanghai	http://dbpedia.org/resource/Shanghai
China National Nonferrous Metals Import and Export Corp	NIL
CNIEC	NIL
State Planning Commission	NIL
Hong Kong	http://dbpedia.org/resource/Hong_Kong
Yingkou	http://dbpedia.org/resource/Yingkou
Yingkou	http://dbpedia.org/resource/Yingkou
State Planning Commission	NIL
Shanghai	http://dbpedia.org/resource/Shanghai
London Metal Exchange	http://dbpedia.org/resource/London_Metal_Exchange
LME	NIL
CNIEC	NIL
LME	NIL
Asia	http://dbpedia.org/resource/Asia
CNIEC	NIL
US$	http://dbpedia.org/resource/United_States_dollar
CNIEC	NIL
CNIEC	NIL
European	http://dbpedia.org/resource/Europe
Bloomsbury Minerals Economics	NIL
BME	NIL
BME	NIL
Sumitomo Corp	NIL
CNIEC	NIL
Japanese	http://dbpedia.org/resource/Japan
Sumitomo	http://dbpedia.org/resource/The_Sumitomo_Bank
CNIEC	NIL
Chinese	http://dbpedia.org/resource/People's_Republic_of_China
Shanghai	http://dbpedia.org/resource/Shanghai
Shanghai	http://dbpedia.org/resource/Shanghai
Singapore	http://dbpedia.org/resource/Singapore
Chinese	http://dbpedia.org/resource/People's_Republic_of_China
Chinese	http://dbpedia.org/resource/People's_Republic_of_China
Hong Kong	http://dbpedia.org/resource/Hong_Kong
SIMEX Brent	NIL
IPE	http://dbpedia.org/resource/International_Petroleum_Exchange
SINGAPORE	http://dbpedia.org/resource/Singapore
Brent	NIL
Singapore International Monetary Exchange	http://dbpedia.org/resource/Singapore_International_Monetary_Exchange
SIMEX	http://dbpedia.org/resource/Singapore_International_Monetary_Exchange
U.K.	http://dbpedia.org/resource/United_Kingdom
SIMEX Brent	NIL
International Petroleum Exchange	http://dbpedia.org/resource/International_Petroleum_Exchange
IPE	http://dbpedia.org/resource/International_Petroleum_Exchange
London	http://dbpedia.org/resource/London
British	http://dbpedia.org/resource/United_Kingdom
Singapore	http://dbpedia.org/resource/Singapore
London	http://dbpedia.org/resource/London
Singapore Newsroom	NIL
U.S.	http://dbpedia.org/resource/United_States
U.S.	http://dbpedia.org/resource/United_States
LME	NIL
COMEX	http://dbpedia.org/resource/New_York_Mercantile_Exchange
Western	http://dbpedia.org/resource/Western_world
Russian	http://dbpedia.org/resource/Russia
Russian	http://dbpedia.org/resource/Russia
Midwest	http://dbpedia.org/resource/Midwestern_United_States
East coast	NIL
Midwest	http://dbpedia.org/resource/Midwestern_United_States
East coast	NIL
Midwest	http://dbpedia.org/resource/Midwestern_United_States
East coast	NIL
U.S.	http://dbpedia.org/resource/United_States
Alcan	http://dbpedia.org/resource/Rio_Tinto_Alcan
U.S. Midwest	http://dbpedia.org/resource/Midwestern_United_States
Noranda	http://dbpedia.org/resource/Noranda_(mining_company)
U.S. Midwest	http://dbpedia.org/resource/Midwestern_United_States
RSR	NIL
Doe Run	NIL
ASARCO	http://dbpedia.org/resource/ASARCO
LME	NIL
New York	http://dbpedia.org/resource/New_York_City
CHICAGO	http://dbpedia.org/resource/Chicago
U.S.	http://dbpedia.org/resource/United_States
Thai	http://dbpedia.org/resource/Thailand
Sam Nelson	NIL
U.S. Midwest	http://dbpedia.org/resource/Midwestern_United_States
CHICAGO	http://dbpedia.org/resource/Chicago
Midwest	http://dbpedia.org/resource/Midwestern_United_States
Iowa	NIL
Minnesota	http://dbpedia.org/resource/Minnesota
Illinois	http://dbpedia.org/resource/Illinois
Indiana	http://dbpedia.org/resource/Indiana
USDA	http://dbpedia.org/resource/United_States_Department_of_Agriculture
Illinois	http://dbpedia.org/resource/Illinois
Iowa	NIL
Minnesota	http://dbpedia.org/resource/Minnesota
Labor Day	http://dbpedia.org/resource/Labor_Day
Labor Day	http://dbpedia.org/resource/Labor_Day
U.S.	http://dbpedia.org/resource/United_States
Bob Janis	NIL
LONDON	http://dbpedia.org/resource/London
United Kingdom	http://dbpedia.org/resource/United_Kingdom
Repsol	http://dbpedia.org/resource/Repsol_YPF
Puertollano	http://dbpedia.org/resource/Puertollano
Jose Manuel Prieto	NIL
Spanish	http://dbpedia.org/resource/Spain
U.S.	http://dbpedia.org/resource/United_States
Amsterdam-Rotterdam	NIL
Rotterdam	http://dbpedia.org/resource/Rotterdam
Indian Oil Corp	NIL
IOC	http://dbpedia.org/resource/Indian_Oil_Corporation
Asian	http://dbpedia.org/resource/Asia
IOC	http://dbpedia.org/resource/Indian_Oil_Corporation
Antwerp	http://dbpedia.org/resource/Antwerp
IOC	http://dbpedia.org/resource/Indian_Oil_Corporation
German	http://dbpedia.org/resource/Germany
Nicholas Shaxson	NIL
London	http://dbpedia.org/resource/London
Prairies	http://dbpedia.org/resource/Canadian_Prairies
WINNIPEG	http://dbpedia.org/resource/Winnipeg
Canada	http://dbpedia.org/resource/Canada
Prairies	http://dbpedia.org/resource/Canadian_Prairies
Labour Day	http://dbpedia.org/resource/Labour_Day
Environment Canada	http://dbpedia.org/resource/Environment_Canada
Alberta	http://dbpedia.org/resource/Alberta
Gerald Machnee	NIL
Reuters	http://dbpedia.org/resource/Reuters
Sprague	http://dbpedia.org/resource/Sprague,_Manitoba
Manitoba	NIL
Minnesota	http://dbpedia.org/resource/Minnesota
Prairies	http://dbpedia.org/resource/Canadian_Prairies
Celsius	http://dbpedia.org/resource/Celsius
F	NIL
Celsius	http://dbpedia.org/resource/Celsius
Celsius	http://dbpedia.org/resource/Celsius
F	NIL
North Battleford	http://dbpedia.org/resource/North_Battleford
Sask	NIL
Celsius	http://dbpedia.org/resource/Celsius
F	NIL
Grande Prairie	http://dbpedia.org/resource/Grande_Prairie
Alta	NIL
Peace River Valley	http://dbpedia.org/resource/Peace_River_(Canada)
Celsius	http://dbpedia.org/resource/Celsius
F	NIL
Machnee	NIL
Prairies	http://dbpedia.org/resource/Canadian_Prairies
Celsius	http://dbpedia.org/resource/Celsius
Celsius	http://dbpedia.org/resource/Celsius
Gilbert Le Gras	NIL
Manila	http://dbpedia.org/resource/Metro_Manila
MANILA	NIL
International Philippine	NIL
United Coconut Associations of the Philippines	NIL
Europe	http://dbpedia.org/resource/Europe
Eurobourses	NIL
London	http://dbpedia.org/resource/London
Leonard Santorelli	NIL
LONDON	http://dbpedia.org/resource/London
European	http://dbpedia.org/resource/Europe
London	http://dbpedia.org/resource/London
wall Street	http://dbpedia.org/resource/New_York_Stock_Exchange
Tokyo	http://dbpedia.org/resource/Tokyo
Japanese	http://dbpedia.org/resource/Japan
Tankan	NIL
London	http://dbpedia.org/resource/London
FTSE	http://dbpedia.org/resource/FTSE_100_Index
London	http://dbpedia.org/resource/London
European	http://dbpedia.org/resource/Europe
London	http://dbpedia.org/resource/London
Wall Street	http://dbpedia.org/resource/New_York_Stock_Exchange
U.S. Treasuries	NIL
Wall Street	http://dbpedia.org/resource/New_York_Stock_Exchange
Treasuries	NIL
Alan Ackerman	NIL
Fahnestock & Co	NIL
Frankfurt	http://dbpedia.org/resource/DAX
Europe	http://dbpedia.org/resource/Europe
IBIS	NIL
French	http://dbpedia.org/resource/France
U.S.	http://dbpedia.org/resource/United_States
French	http://dbpedia.org/resource/France
Japanese	http://dbpedia.org/resource/Japan
Tankan	NIL
Tankan	NIL
U.S.	http://dbpedia.org/resource/United_States
UK	NIL
Tankan	NIL
Japanese	http://dbpedia.org/resource/Japan
Japanese	http://dbpedia.org/resource/Japan
European	http://dbpedia.org/resource/Europe
Europe	http://dbpedia.org/resource/Europe
EMU	NIL
European	http://dbpedia.org/resource/Europe
Financial Times-Stock Exchange	NIL
British	http://dbpedia.org/resource/United_Kingdom
Paris	http://dbpedia.org/resource/Paris
CAC-40	NIL
DAX	http://dbpedia.org/resource/DAX
Frankfurt	http://dbpedia.org/resource/Frankfurt_am_Main
Kansas	http://dbpedia.org/resource/Kansas
USDA	http://dbpedia.org/resource/United_States_Department_of_Agriculture
DODGE CITY	http://dbpedia.org/resource/Dodge_City,_Kansas
Chicago	http://dbpedia.org/resource/Chicago
U.S.	http://dbpedia.org/resource/United_States
CHICAGO	http://dbpedia.org/resource/Chicago
Montana	http://dbpedia.org/resource/Montana
North Dakota	http://dbpedia.org/resource/North_Dakota
MINNESOTA Minneapolis	NIL
Duluth	http://dbpedia.org/resource/Duluth,_Minnesota
NORTH DAKOTA Hunter	NIL
Red River	http://dbpedia.org/resource/Red_River_of_the_North
Spring	NIL
Billings	http://dbpedia.org/resource/Billings,_Montana
MT	NIL
Havre	http://dbpedia.org/resource/Havre,_Montana
MT	NIL
Rudyard	http://dbpedia.org/resource/Rudyard,_Montana
MT	NIL
Wolf Point	http://dbpedia.org/resource/Wolf_Point,_Montana
MT	NIL
Portland	http://dbpedia.org/resource/Portland,_Oregon
OR	NIL
Pendleton	http://dbpedia.org/resource/Pendleton,_Oregon
OR	NIL
Coolee City	NIL
WA	NIL
Waterville	http://dbpedia.org/resource/Waterville,_Washington
WA	NIL
Wenatchee	http://dbpedia.org/resource/Wenatchee,_Washington
WA	NIL
Chicago	http://dbpedia.org/resource/Chicago
U.S.	http://dbpedia.org/resource/United_States
CHICAGO	http://dbpedia.org/resource/Chicago
Portland	http://dbpedia.org/resource/Portland,_Oregon
Portland	http://dbpedia.org/resource/Portland,_Oregon
U.S.	http://dbpedia.org/resource/United_States
Kansas City	http://dbpedia.org/resource/Kansas_City,_Missouri
Chicago	http://dbpedia.org/resource/Chicago
Indian	http://dbpedia.org/resource/India
INDORE	http://dbpedia.org/resource/Indore
India	http://dbpedia.org/resource/India
Indian	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
Bedibunder	NIL
Bhavnagar	http://dbpedia.org/resource/Bhavnagar
Dewas	http://dbpedia.org/resource/Dewas
Black	NIL
Mandsaur	http://dbpedia.org/resource/Mandsaur
Neemuch	http://dbpedia.org/resource/Neemuch
Mhow	http://dbpedia.org/resource/Mhow
Ratlam	http://dbpedia.org/resource/Ratlam
Ashta	http://dbpedia.org/resource/Ashta
Indore	http://dbpedia.org/resource/Indore
Dhar	http://dbpedia.org/resource/Dhar
Ujjain	http://dbpedia.org/resource/Ujjain
Jaora	http://dbpedia.org/resource/Jaora
Barnagar	NIL
Khandwa	http://dbpedia.org/resource/Khandwa
Ashoknagar	http://dbpedia.org/resource/Ashoknagar
Nalkhera	NIL
Yellow Black	NIL
Bombay	http://dbpedia.org/resource/Mumbai
Bedi Bunder	NIL
Japan	http://dbpedia.org/resource/Japan
TOKYO	http://dbpedia.org/resource/Tokyo
Japanese	http://dbpedia.org/resource/Japan
Japan Aluminium Federation	NIL
Japan	http://dbpedia.org/resource/Japan
Japan	http://dbpedia.org/resource/Japan
Tokyo Commodities Desk	NIL
Saskatchewan Wheat Pool	http://dbpedia.org/resource/Saskatchewan_Wheat_Pool
WINNIPEG	http://dbpedia.org/resource/Winnipeg
Canada	http://dbpedia.org/resource/Canada
Saskatchewan	http://dbpedia.org/resource/Saskatchewan
Saskatchewan Wheat Pool	http://dbpedia.org/resource/Saskatchewan_Wheat_Pool
Don Loewen	NIL
SWP	NIL
Canada	http://dbpedia.org/resource/Canada
SWP	NIL
Saskatchewan Pork International Marketing Group	NIL
Saskatchewan	http://dbpedia.org/resource/Saskatchewan
Gilbert Le Gras	NIL
COMEX	http://dbpedia.org/resource/New_York_Mercantile_Exchange
NEW YORK	http://dbpedia.org/resource/New_York
COMEX	http://dbpedia.org/resource/New_York_Mercantile_Exchange
Codelco	http://dbpedia.org/resource/Codelco
Salvador	NIL
Chile	http://dbpedia.org/resource/Chile
LME	NIL
U.K.	http://dbpedia.org/resource/United_Kingdom
LME	NIL
Labor Day	http://dbpedia.org/resource/Labor_Day
William O'Neill	NIL
Merrill Lynch	http://dbpedia.org/resource/Merrill_Lynch
COMEX	http://dbpedia.org/resource/New_York_Mercantile_Exchange
Salvador	NIL
Salvador	NIL
O'Neill	NIL
Huw Jones	NIL
New York Commodities	NIL
U.S.	http://dbpedia.org/resource/United_States
CBSA	NIL
NEW YORK	http://dbpedia.org/resource/New_York
U.S.	http://dbpedia.org/resource/United_States
Copper and Brass Servicenter Association	NIL
CBSA	NIL
CBSA	NIL
New York Commodities	NIL
Chile	http://dbpedia.org/resource/Chile
ENAP	NIL
Oriente	NIL
Escravos	NIL
NEW YORK	http://dbpedia.org/resource/New_York
Chile	http://dbpedia.org/resource/Chile
Empresa Nacional del Petroleo	NIL
ENAP	NIL
Oriente	NIL
Escravos	NIL
Ecuadorian Oriente	NIL
Nigerian	http://dbpedia.org/resource/Nigeria
Escravos	NIL
Oriente	NIL
Petroecuador	NIL
Escravos	NIL
Dated Brent	NIL
ENAP	NIL
Jacqueline Wong	NIL
New York Energy Desk	NIL
CME	http://dbpedia.org/resource/Chicago_Mercantile_Exchange
CHICAGO	http://dbpedia.org/resource/Chicago
CME	http://dbpedia.org/resource/Chicago_Mercantile_Exchange
Edouard	http://dbpedia.org/resource/Hurricane_Edouard_(1996)
Jerry Bieszk	NIL
U.S.	http://dbpedia.org/resource/United_States
Greg Frost	NIL
KANSAS CITY	http://dbpedia.org/resource/Kansas_City,_Missouri
Mo	NIL
U.S.	http://dbpedia.org/resource/United_States
High Plains	http://dbpedia.org/resource/High_Plains_(United_States)
Texas	http://dbpedia.org/resource/Texas
Kansas	http://dbpedia.org/resource/Kansas
Kim Anderson	NIL
Oklahoma State University	http://dbpedia.org/resource/Oklahoma_State_University–Stillwater
High Plains	http://dbpedia.org/resource/High_Plains_(United_States)
Dust Bowl	http://dbpedia.org/resource/Dust_Bowl
Mark Hodges	NIL
Oklahoma Wheat Commission	NIL
Oklahoma Climatological Survey	NIL
Howard Johnson	NIL
University of Oklahoma	http://dbpedia.org/resource/University_of_Oklahoma
Texas	http://dbpedia.org/resource/Texas
Oklahoma	http://dbpedia.org/resource/Oklahoma
Rodney Mosier	NIL
Texas Wheat Producers	NIL
Texas Panhandle	http://dbpedia.org/resource/Texas_Panhandle
Mosier	NIL
Texas	http://dbpedia.org/resource/Texas
Dolly	NIL
Kansas	http://dbpedia.org/resource/Kansas
U.S.	http://dbpedia.org/resource/United_States
Kansas	http://dbpedia.org/resource/Kansas
Oklahoma	http://dbpedia.org/resource/Oklahoma
Agricultural Statistics Service	NIL
Texas Agricultural Statistics Service	NIL
Greg Frost	NIL
Indian	http://dbpedia.org/resource/India
BOMBAY	http://dbpedia.org/resource/Mumbai
India	http://dbpedia.org/resource/India
Bombay Commodities	NIL
Dow	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
London	http://dbpedia.org/resource/London
Peter Griffiths	NIL
LONDON	http://dbpedia.org/resource/London
Wall Street	http://dbpedia.org/resource/New_York_Stock_Exchange
London	http://dbpedia.org/resource/London_Stock_Exchange
German	http://dbpedia.org/resource/Germany
Paris	http://dbpedia.org/resource/Paris
Japanese	http://dbpedia.org/resource/Japan
London	http://dbpedia.org/resource/London_Stock_Exchange
Wall Street	http://dbpedia.org/resource/New_York_Stock_Exchange
FTSE 100	http://dbpedia.org/resource/FTSE_100_Index
British Airways	http://dbpedia.org/resource/British_Airways
U.S. Transportation Department	NIL
British	http://dbpedia.org/resource/United_Kingdom
American Airlines	http://dbpedia.org/resource/American_Airlines
U.S	http://dbpedia.org/resource/United_States
British	http://dbpedia.org/resource/United_Kingdom
non-EU	NIL
German	http://dbpedia.org/resource/Germany
DAX	http://dbpedia.org/resource/DAX
French	http://dbpedia.org/resource/France
CAC-40	NIL
Louis Viannet	NIL
France	http://dbpedia.org/resource/France
Communist-led	NIL
CGT	http://dbpedia.org/resource/General_Confederation_of_Labour_(France)
France	http://dbpedia.org/resource/France
Wall Street	http://dbpedia.org/resource/New_York_Stock_Exchange
Paris	http://dbpedia.org/resource/Euronext_Paris
European	http://dbpedia.org/resource/Europe
