Glenn Somerville	NIL
WASHINGTON	http://dbpedia.org/resource/Washington,_D.C.
Midwest	http://dbpedia.org/resource/Midwestern_United_States
Commerce Department	http://dbpedia.org/resource/United_States_Department_of_Commerce
Chicago	http://dbpedia.org/resource/Chicago
Midwest	http://dbpedia.org/resource/Midwestern_United_States
Federal Reserve	http://dbpedia.org/resource/Federal_Reserve_System
Lynn Reaser	NIL
Barnett Banks Inc.	NIL
Jacksonville	http://dbpedia.org/resource/Jacksonville,_Florida
Fla	NIL
Wall Street	http://dbpedia.org/resource/New_York_Stock_Exchange
Fed	http://dbpedia.org/resource/Federal_Reserve_System
Treasury	http://dbpedia.org/resource/United_States_Department_of_the_Treasury
Dow Jones	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
Commerce Department	http://dbpedia.org/resource/United_States_Department_of_Commerce
Joel Naroff	NIL
First Union	NIL
Philadelphia	http://dbpedia.org/resource/Philadelphia
FOMC	http://dbpedia.org/resource/Federal_Open_Market_Committee
Federal Open Market Committee	http://dbpedia.org/resource/Federal_Open_Market_Committee
Naroff	NIL
FOMC	http://dbpedia.org/resource/Federal_Open_Market_Committee
CNBC	http://dbpedia.org/resource/CNBC
Federal Reserve	http://dbpedia.org/resource/Federal_Reserve_System
Lawrence Lindsey	http://dbpedia.org/resource/Lawrence_B._Lindsey
Lindsey	http://dbpedia.org/resource/Lawrence_B._Lindsey
University of Michigan	http://dbpedia.org/resource/University_of_Michigan
Reaser	NIL
Fed	http://dbpedia.org/resource/Federal_Reserve_System
Glenn Somerville	NIL
WASHINGTON	http://dbpedia.org/resource/Washington,_D.C.
Commerce Department	http://dbpedia.org/resource/United_States_Department_of_Commerce
Commerce	http://dbpedia.org/resource/United_States_Department_of_Commerce
U.S.	http://dbpedia.org/resource/United_States
Wall Street	http://dbpedia.org/resource/New_York_Stock_Exchange
Labour Department	NIL
