Zenith	http://dbpedia.org/resource/Zenith_Electronics
Susan Nadeau	NIL
CHICAGO	http://dbpedia.org/resource/Chicago
The Walt Disney Co	NIL
Zenith	http://dbpedia.org/resource/Zenith_Electronics
Zenith	http://dbpedia.org/resource/Zenith_Electronics
William Luehrs	NIL
Glenview	NIL
Ill.-based	NIL
Networks Services Division	NIL
Zenith	http://dbpedia.org/resource/Zenith_Electronics
New York Stock Exchange	http://dbpedia.org/resource/New_York_Stock_Exchange
Americast	NIL
Disney	http://dbpedia.org/resource/The_Walt_Disney_Company
Americast	NIL
Ameritech Corp.	NIL
BellSouth Corp.	http://dbpedia.org/resource/BellSouth
GTE Corp.	NIL
SBC Communications	http://dbpedia.org/resource/SBC_Communications
Americast	NIL
Southern New England Telecommunications Corp.	http://dbpedia.org/resource/Southern_New_England_Telecommunications
Zenith	http://dbpedia.org/resource/Zenith_Electronics
Woodridge	http://dbpedia.org/resource/Woodridge,_Illinois
Ill	http://dbpedia.org/resource/Illinois
Zenith	http://dbpedia.org/resource/Zenith_Electronics
Luehrs	NIL
Zenith	http://dbpedia.org/resource/Zenith_Electronics
Chihuahua	http://dbpedia.org/resource/Chihuahua,_Chihuahua
Mexico	http://dbpedia.org/resource/Mexico
Luehrs	NIL
Americast	NIL
United States	http://dbpedia.org/resource/United_States
Luehrs	NIL
Zenith	http://dbpedia.org/resource/Zenith_Electronics
Zenith	http://dbpedia.org/resource/Zenith_Electronics
South Korea-based	NIL
LG Electronics Inc.	NIL
Zenith	http://dbpedia.org/resource/Zenith_Electronics
Robert Gutenstein	NIL
Kalf, Voorhis & Co	NIL
ND	NIL
SPOT THOMSON	NIL
BOLD / OGILVY, MATHER	NIL
AD	NIL
ATHENS	http://dbpedia.org/resource/Athens
Greek	http://dbpedia.org/resource/Greece
New democracy	NIL
Bold / Ogilvy and Mather	NIL
Spot Thomson	NIL
Miltiadis Evert	http://dbpedia.org/resource/Miltiadis_Evert
Spot Thomson	NIL
Dimitris Kontogiannis	NIL
Athens Newsroom	NIL
Keane	http://dbpedia.org/resource/Keane_(company)
ING	http://dbpedia.org/resource/ING_Group
BOSTON	http://dbpedia.org/resource/Boston
Keane Inc	http://dbpedia.org/resource/Keane_(company)
Life Insurance Co of Georgia	NIL
Southland Life Insurance Co	NIL
The Netherlands	http://dbpedia.org/resource/Netherlands
ING Group	http://dbpedia.org/resource/ING_Group
Life of Georgia	NIL
Southland Life	NIL
Keane	http://dbpedia.org/resource/Keane_(company)
Atlanta	http://dbpedia.org/resource/Atlanta
New York	http://dbpedia.org/resource/New_York_City
Siam Commercial	NIL
BANGKOK	http://dbpedia.org/resource/Bangkok
Thailand	http://dbpedia.org/resource/Thailand
Siam Commercial Bank Plc	NIL
Government Housing Bank	NIL
Waterworks Authority	NIL
Siam Commercial Bank	http://dbpedia.org/resource/Siam_Commercial_Bank
Reuters	http://dbpedia.org/resource/Reuters
Bangkok	http://dbpedia.org/resource/Bangkok
Ericsson	http://dbpedia.org/resource/Ericsson
China	http://dbpedia.org/resource/People's_Republic_of_China
STOCKHOLM	http://dbpedia.org/resource/Stockholm
Swedish	http://dbpedia.org/resource/Sweden
LM Ericsson AB	NIL
Guangdong	http://dbpedia.org/resource/Guangdong
China	http://dbpedia.org/resource/People's_Republic_of_China
Ericsson	http://dbpedia.org/resource/Ericsson
Guangdong Post and Telecommunications Administration	NIL
GPTA	NIL
AXE	NIL
Intelligent Network	http://dbpedia.org/resource/Intelligent_network
IN	NIL
Ericsson	http://dbpedia.org/resource/Ericsson
Per Zetterquist	NIL
Reuters	http://dbpedia.org/resource/Reuters
Stockholm	http://dbpedia.org/resource/Stockholm
Electronic Data	NIL
LONDON	http://dbpedia.org/resource/London
Electronic Data Systems	http://dbpedia.org/resource/HP_Enterprise_Services
EDS	http://dbpedia.org/resource/HP_Enterprise_Services
Oceanic Control Centre	NIL
Prestwick	http://dbpedia.org/resource/Prestwick
Scotland	http://dbpedia.org/resource/Scotland
National Air Traffic Services Ltd	NIL
NATS	http://dbpedia.org/resource/National_Air_Traffic_Services
Civil Aviation Authority	http://dbpedia.org/resource/Civil_Aviation_Authority_(United_Kingdom)
Europe	http://dbpedia.org/resource/Europe
North America	http://dbpedia.org/resource/North_America
London Newsroom	NIL
