EU	NIL
German	http://dbpedia.org/resource/Germany
British	http://dbpedia.org/resource/United_Kingdom
Peter Blackburn	NIL
BRUSSELS	http://dbpedia.org/resource/Brussels
European Commission	http://dbpedia.org/resource/European_Commission
German	http://dbpedia.org/resource/Germany
British	http://dbpedia.org/resource/United_Kingdom
Germany	http://dbpedia.org/resource/Germany
European Union	http://dbpedia.org/resource/European_Union
Werner Zwingmann	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
Commission	http://dbpedia.org/resource/European_Commission
Nikolaus van der Pas	NIL
European Union	http://dbpedia.org/resource/European_Union
EU	NIL
Franz Fischler	http://dbpedia.org/resource/Franz_Fischler
Fischler	NIL
EU-wide	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
France	http://dbpedia.org/resource/France
Bovine Spongiform Encephalopathy	NIL
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
Fischler	NIL
EU	NIL
Spanish	http://dbpedia.org/resource/Spain
Loyola de Palacio	http://dbpedia.org/resource/Loyola_de_Palacio
Fischler	NIL
EU	NIL
France	http://dbpedia.org/resource/France
Britain	http://dbpedia.org/resource/United_Kingdom
Fischler	NIL
EU	NIL
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
British	http://dbpedia.org/resource/United_Kingdom
German	http://dbpedia.org/resource/Germany
British	http://dbpedia.org/resource/United_Kingdom
Europe	http://dbpedia.org/resource/Europe
Germany	http://dbpedia.org/resource/Germany
Welsh National Farmers ' Union	NIL
NFU	NIL
John Lloyd Jones	NIL
BBC radio	NIL
Bonn	http://dbpedia.org/resource/Bonn
British	http://dbpedia.org/resource/United_Kingdom
Germany	http://dbpedia.org/resource/Germany
Britain	http://dbpedia.org/resource/United_Kingdom
British	http://dbpedia.org/resource/United_Kingdom
German	http://dbpedia.org/resource/Germany
FRANKFURT	http://dbpedia.org/resource/Frankfurt_am_Main
German	http://dbpedia.org/resource/Germany
Federal office for motor vehicles	NIL
Germans	http://dbpedia.org/resource/Germany
German	http://dbpedia.org/resource/Germany
German	http://dbpedia.org/resource/Germany
Volkswagen AG	http://dbpedia.org/resource/Volkswagen
Opel AG	http://dbpedia.org/resource/Opel
General Motors	http://dbpedia.org/resource/General_Motors
Ford	http://dbpedia.org/resource/Ford_Motor_Company
Seat	NIL
Porsche	http://dbpedia.org/resource/Porsche
Seat	NIL
Porsche	http://dbpedia.org/resource/Porsche
BayerVB	NIL
C$	NIL
LONDON	http://dbpedia.org/resource/London
Toronto Dominion	NIL
BAYERISCHE VEREINSBANK	http://dbpedia.org/resource/HypoVereinsbank
C$	NIL
S&P	NIL
US	NIL
UK	NIL
CA	NIL
GERMAN	http://dbpedia.org/resource/Germany
BAYERISCHE VEREINSBANK	http://dbpedia.org/resource/HypoVereinsbank
London Newsroom	NIL
Venantius	NIL
LONDON	http://dbpedia.org/resource/London
Lehman Brothers International	NIL
VENANTIUS AB	NIL
SWEDISH	http://dbpedia.org/resource/Sweden
3M	NIL
S&P	NIL
LONDON	http://dbpedia.org/resource/London
US	NIL
UK	NIL
JP	NIL
FR	NIL
ENGLISH	http://dbpedia.org/resource/England
SWEDEN	http://dbpedia.org/resource/Sweden
London Newsroom	NIL
Syria	http://dbpedia.org/resource/Syria
Lloyds Shipping	NIL
Lloyds Shipping Intelligence Service	NIL
LATTAKIA	NIL
Lattakia	NIL
Tartous	http://dbpedia.org/resource/Tartus
MONTGOMERY	http://dbpedia.org/resource/Montgomery,_Alabama
Ala	http://dbpedia.org/resource/Alabama
KinderCare Learning Centers Inc	http://dbpedia.org/resource/KinderCare_Learning_Centers
Philip Maslowe	NIL
Lehman	http://dbpedia.org/resource/Lehman_Brothers
SNET	http://dbpedia.org/resource/Southern_New_England_Telecommunications
Lehman	http://dbpedia.org/resource/Lehman_Brothers
Blake Bath	NIL
Southern New England Telecommunciations Corp	NIL
Southern New England	NIL
E. Auchard	NIL
Wall Street bureau	NIL
Gateway Data Sciences	NIL
PHOENIX	http://dbpedia.org/resource/Phoenix,_Arizona
Consolidated Financial Data	NIL
Heidrun	http://dbpedia.org/resource/Heidrun_oil_field
Statoil	http://dbpedia.org/resource/Statoil
OSLO	http://dbpedia.org/resource/Oslo
Heidrun	http://dbpedia.org/resource/Heidrun_oil_field
mid-Norway	NIL
Den Norske Stats Oljeselskap AS	NIL
Statoil	http://dbpedia.org/resource/Statoil
Heidrun	http://dbpedia.org/resource/Heidrun_oil_field
Status Weekly	NIL
Oslo	http://dbpedia.org/resource/Oslo
German	http://dbpedia.org/resource/Germany
British	http://dbpedia.org/resource/United_Kingdom
BONN	http://dbpedia.org/resource/Bonn
Germany	http://dbpedia.org/resource/Germany
Agriculture Ministry	NIL
British	http://dbpedia.org/resource/United_Kingdom
European Union	http://dbpedia.org/resource/European_Union
Werner Zwingmann	NIL
ZDF	http://dbpedia.org/resource/ZDF
Bonn	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
European Commission	http://dbpedia.org/resource/European_Commission
EU	NIL
EU	NIL
Franz Fischler	http://dbpedia.org/resource/Franz_Fischler
Britain	http://dbpedia.org/resource/United_Kingdom
France	http://dbpedia.org/resource/France
Bovine Spongiform Encephalopathy	NIL
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
EU	NIL
EU	NIL
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
British	http://dbpedia.org/resource/United_Kingdom
ZDF	http://dbpedia.org/resource/ZDF
Germany	http://dbpedia.org/resource/Germany
Britain	http://dbpedia.org/resource/United_Kingdom
British	http://dbpedia.org/resource/United_Kingdom
British	http://dbpedia.org/resource/United_Kingdom
EU	NIL
British	http://dbpedia.org/resource/United_Kingdom
EU	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
In Home Health	NIL
MINNETONKA	http://dbpedia.org/resource/Minnetonka,_Minnesota
Minn	http://dbpedia.org/resource/Minnesota
In Home Health Inc	NIL
U.S. Federal District Court	http://dbpedia.org/resource/United_States_district_court
Minneapolis	http://dbpedia.org/resource/Minneapolis
Health Care Financing Administration	NIL
HCFA	NIL
Medicaid	NIL
HCFA	NIL
Medicare	http://dbpedia.org/resource/Medicare_(United_States)
Mark Gildea	NIL
In Home Health	NIL
In Home Health	NIL
U.S. District Court	http://dbpedia.org/resource/United_States_district_court
