Finnish	http://dbpedia.org/resource/Finland
NCB	NIL
HELSINKI	http://dbpedia.org/resource/Helsinki
Finland	http://dbpedia.org/resource/Finland
National Customs Board	NIL
NCB	NIL
NCB	NIL
Bank of Finland	http://dbpedia.org/resource/Bank_of_Finland
NCB	NIL
Finland	http://dbpedia.org/resource/Finland
European Union	http://dbpedia.org/resource/European_Union
Helsinki Newsroom	NIL
Dutch	http://dbpedia.org/resource/Netherlands
AMSTERDAM	http://dbpedia.org/resource/Amsterdam
Finance Ministry	NIL
Dutch	http://dbpedia.org/resource/Netherlands
GMT	http://dbpedia.org/resource/Greenwich_Mean_Time
GMT	http://dbpedia.org/resource/Greenwich_Mean_Time
Amsterdam	http://dbpedia.org/resource/Amsterdam
CBI	http://dbpedia.org/resource/Confederation_of_British_Industry
LONDON	http://dbpedia.org/resource/London
UK	NIL
Confederation of British Industry	http://dbpedia.org/resource/Confederation_of_British_Industry
CBI	http://dbpedia.org/resource/Confederation_of_British_Industry
CBI	http://dbpedia.org/resource/Confederation_of_British_Industry
UK	NIL
Rosemary Bennett	NIL
London Newsroom	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
Caribbean	http://dbpedia.org/resource/Caribbean
LONDON	http://dbpedia.org/resource/London
Britain	http://dbpedia.org/resource/United_Kingdom
Caribbean	http://dbpedia.org/resource/Caribbean
Montserrat	http://dbpedia.org/resource/Montserrat
Plymouth	http://dbpedia.org/resource/Plymouth,_Montserrat
Britain	http://dbpedia.org/resource/United_Kingdom
Overseas Development Administration	http://dbpedia.org/resource/Department_for_International_Development
Britain	http://dbpedia.org/resource/United_Kingdom
Montserrat	http://dbpedia.org/resource/Montserrat
Lynda Chalker	http://dbpedia.org/resource/Lynda_Chalker,_Baroness_Chalker_of_Wallasey
Montserratians	NIL
Hungary	http://dbpedia.org/resource/Hungary
BUDAPEST	http://dbpedia.org/resource/Budapest
NBH	NIL
MIT	NIL
NBH	NIL
Duff & Phelps	http://dbpedia.org/resource/Duff_&_Phelps
IBCA	NIL
Thomson BankWatch	NIL
S&P	http://dbpedia.org/resource/Standard_&_Poor's
Moody's Investors Service	NIL
Japan Credit Rating Agency	NIL
NBH	NIL
MIT	NIL
Budapest	http://dbpedia.org/resource/Budapest
Fairview	http://dbpedia.org/resource/Fairview,_Texas
Texas	http://dbpedia.org/resource/Texas
Moody's	NIL
NEW YORK	http://dbpedia.org/resource/New_York_City
Moody's Investors Service	NIL
