BayerVB	NIL
C$	NIL
LONDON	http://dbpedia.org/resource/London
Toronto Dominion	NIL
BAYERISCHE VEREINSBANK	http://dbpedia.org/resource/HypoVereinsbank
C$	NIL
S&P	NIL
US	NIL
UK	NIL
CA	NIL
GERMAN	http://dbpedia.org/resource/Germany
BAYERISCHE VEREINSBANK	http://dbpedia.org/resource/HypoVereinsbank
London Newsroom	NIL
Venantius	NIL
LONDON	http://dbpedia.org/resource/London
Lehman Brothers International	NIL
VENANTIUS AB	NIL
SWEDISH	http://dbpedia.org/resource/Sweden
3M	NIL
S&P	NIL
LONDON	http://dbpedia.org/resource/London
US	NIL
UK	NIL
JP	NIL
FR	NIL
ENGLISH	http://dbpedia.org/resource/England
SWEDEN	http://dbpedia.org/resource/Sweden
London Newsroom	NIL
MONTGOMERY	http://dbpedia.org/resource/Montgomery,_Alabama
Ala	http://dbpedia.org/resource/Alabama
KinderCare Learning Centers Inc	http://dbpedia.org/resource/KinderCare_Learning_Centers
Philip Maslowe	NIL
Fairview	http://dbpedia.org/resource/Fairview,_Texas
Texas	http://dbpedia.org/resource/Texas
Moody's	NIL
NEW YORK	http://dbpedia.org/resource/New_York_City
Moody's Investors Service	NIL
Fairview Town	NIL
TX	NIL
U.S. Municipal Desk	NIL
India	http://dbpedia.org/resource/India
RBI	http://dbpedia.org/resource/Reserve_Bank_of_India
NEW DELHI	http://dbpedia.org/resource/New_Delhi
Reserve bank of India	NIL
C. Rangarajan	http://dbpedia.org/resource/C._Rangarajan
Reuters	http://dbpedia.org/resource/Reuters
Rangarajan	http://dbpedia.org/resource/C._Rangarajan
New Delhi	http://dbpedia.org/resource/New_Delhi
Ka Wah Bank	http://dbpedia.org/resource/Ka_Wah_Bank
HK$	http://dbpedia.org/resource/Hong_Kong_dollar
HONG KONG	http://dbpedia.org/resource/Hong_Kong
Ka Wah Bank	http://dbpedia.org/resource/Ka_Wah_Bank
HK$	http://dbpedia.org/resource/Hong_Kong_dollar
HSBC Markets	NIL
Hong Kong Interbank	NIL
Hong Kong Central Moneymarkets Unit	NIL
Hong Kong Newsroom	NIL
Lamonts Apparel	NIL
GMT	http://dbpedia.org/resource/Greenwich_Mean_Time
