Ukraine	http://dbpedia.org/resource/Ukraine
Rostislav Khotin	NIL
KIEV	http://dbpedia.org/resource/Kiev
Ukraine	http://dbpedia.org/resource/Ukraine
Kremlin	http://dbpedia.org/resource/Government_of_Russia
post-Soviet	NIL
Ukraine	http://dbpedia.org/resource/Ukraine
Soviet	http://dbpedia.org/resource/Soviet_Union
Moscow	http://dbpedia.org/resource/Moscow
Ukraine	http://dbpedia.org/resource/Ukraine
Russian	http://dbpedia.org/resource/Russia
Russia	http://dbpedia.org/resource/Russia
Russia	http://dbpedia.org/resource/Russia
Chechnya	http://dbpedia.org/resource/Chechnya
Moldova	http://dbpedia.org/resource/Moldova
Soviet	http://dbpedia.org/resource/Soviet_Union
Georgia	http://dbpedia.org/resource/Georgia_(country)
Azerbaijan	http://dbpedia.org/resource/Azerbaijan
Tajikistan	http://dbpedia.org/resource/Tajikistan
Ukraine	http://dbpedia.org/resource/Ukraine
Leonid Kuchma	http://dbpedia.org/resource/Leonid_Kuchma
post-Soviet	http://dbpedia.org/resource/Post-Soviet_states
Kuchma	http://dbpedia.org/resource/Leonid_Kuchma
Ukraina Palace	NIL
Adelbert Knobl	NIL
International Monetary Fund	http://dbpedia.org/resource/International_Monetary_Fund
Ukraine	http://dbpedia.org/resource/Ukraine
Russian	http://dbpedia.org/resource/Russia
Ukraine	http://dbpedia.org/resource/Ukraine
Council of Europe	http://dbpedia.org/resource/Council_of_Europe
NATO	http://dbpedia.org/resource/NATO
Partnership for Peace	NIL
Ukraine	http://dbpedia.org/resource/Ukraine
China	http://dbpedia.org/resource/People's_Republic_of_China
Taiwanese	http://dbpedia.org/resource/Republic_of_China
China	http://dbpedia.org/resource/People's_Republic_of_China
Kiev	NIL
Hennady Udovenko	NIL
Beijing	http://dbpedia.org/resource/People's_Republic_of_China
Ukraine	http://dbpedia.org/resource/Ukraine
Russia	http://dbpedia.org/resource/Russia
Westernising	NIL
Europe	http://dbpedia.org/resource/Europe
European	http://dbpedia.org/resource/Europe
Ukraine	http://dbpedia.org/resource/Ukraine
post-Soviet	http://dbpedia.org/resource/Post-Soviet_states
Russia	http://dbpedia.org/resource/Russia
Kuchma	http://dbpedia.org/resource/Leonid_Kuchma
Ukraine	http://dbpedia.org/resource/Ukraine
Russia	http://dbpedia.org/resource/Russia
Kuchma	http://dbpedia.org/resource/Leonid_Kuchma
Kiev	NIL
European Union	http://dbpedia.org/resource/European_Union
Western European Union	NIL
