U.S.	http://dbpedia.org/resource/United_States
DETROIT	http://dbpedia.org/resource/Detroit
Labor Day	http://dbpedia.org/resource/Labor_Day
Interstate 95	http://dbpedia.org/resource/Interstate_95
East Coast	NIL
Interstates 80	http://dbpedia.org/resource/Interstate_80
90	NIL
Midwest	http://dbpedia.org/resource/Midwestern_United_States
Interstate 5	http://dbpedia.org/resource/Interstate_5
California	http://dbpedia.org/resource/California
Janet Dewey	NIL
National Automobile Occupant Protection Campaign	NIL
National Highway Traffic Safety Administration	NIL
Dewey	NIL
LUXEMBOURG	http://dbpedia.org/resource/Luxembourg
BRUSSELS	http://dbpedia.org/resource/Brussels
Luxembourg	http://dbpedia.org/resource/Luxembourg
Brussels Newsroom	NIL
