Orii	NIL
TOKYO	http://dbpedia.org/resource/Tokyo
Orii Corp	NIL
Companion Marble	NIL
HONG KONG	http://dbpedia.org/resource/Hong_Kong
HK$	http://dbpedia.org/resource/Hong_Kong_dollar
H.K.	http://dbpedia.org/resource/Hong_Kong
H.K.	http://dbpedia.org/resource/Hong_Kong
Companion Marble	NIL
Holdings	http://dbpedia.org/resource/Holding_company
Ltd	http://dbpedia.org/resource/Limited_company
Companion Marble	NIL
Companion Building Material	NIL
Holdings	http://dbpedia.org/resource/Holding_company
Ltd	http://dbpedia.org/resource/Limited_company
Stock Exchange	NIL
Hong Kong News Room	NIL
Tauranaga	NIL
WELLINGTON	http://dbpedia.org/resource/Wellington
NZ$	http://dbpedia.org/resource/New_Zealand_dollar
RTRS	NIL
Arthur Yates	NIL
A$	NIL
SYDNEY	http://dbpedia.org/resource/Sydney
A$	NIL
Arthur Yates and Co	NIL
Sydney	http://dbpedia.org/resource/Sydney
RTRS	NIL
Newcrest Q4	NIL
A$	NIL
SYDNEY	http://dbpedia.org/resource/Sydney
Newcrest Mining Ltd	http://dbpedia.org/resource/Newcrest_Mining
A$	NIL
Newcrest	NIL
A$	NIL
A$	NIL
Newcrest	NIL
Telfer	http://dbpedia.org/resource/Telfer_Mine
Boddington	http://dbpedia.org/resource/Boddington_Gold_Mine
A$	NIL
