Hendrix	http://dbpedia.org/resource/Jimi_Hendrix
LONDON	http://dbpedia.org/resource/London
U.S.	http://dbpedia.org/resource/United_States
Jimi Hendrix	http://dbpedia.org/resource/Jimi_Hendrix
Florida	NIL
Ai n't no telling	NIL
Hendrix	http://dbpedia.org/resource/Jimi_Hendrix
London	http://dbpedia.org/resource/London
English	http://dbpedia.org/resource/England
Nottingham	http://dbpedia.org/resource/Nottingham
Hendrix	http://dbpedia.org/resource/Jimi_Hendrix
Kathy Etchingham	NIL
Hendrix	http://dbpedia.org/resource/Jimi_Hendrix
Australian	http://dbpedia.org/resource/Australia
Albania	http://dbpedia.org/resource/Albania
Vatican	http://dbpedia.org/resource/Vatican_Library
TIRANA	http://dbpedia.org/resource/Tirana
Albanian	http://dbpedia.org/resource/Albanian_language
Vatican	http://dbpedia.org/resource/Vatican_Library
Albanian	http://dbpedia.org/resource/Albania
Gazeta Shqiptare	NIL
Book of Mass	NIL
Gjon Buzuku	http://dbpedia.org/resource/Gjon_Buzuku
Rome	http://dbpedia.org/resource/Rome
Albanian	http://dbpedia.org/resource/Albanian_language
Albanians	http://dbpedia.org/resource/Albanians
Buzuku	http://dbpedia.org/resource/Gjon_Buzuku
Musa Hamiti	NIL
Vatican	http://dbpedia.org/resource/Vatican_Library
Tirana	http://dbpedia.org/resource/Tirana
Book of Mass	NIL
Gazeta Shqiptare	NIL
Egypt	http://dbpedia.org/resource/Egypt
CAIRO	http://dbpedia.org/resource/Cairo
Egypt	http://dbpedia.org/resource/Egypt
Egyptians	http://dbpedia.org/resource/Egyptians
Mohammed Saleh	NIL
Egyptian	http://dbpedia.org/resource/Egypt
Reuters	http://dbpedia.org/resource/Reuters
U.S.	http://dbpedia.org/resource/United_States
Dahshour	NIL
Cairo	http://dbpedia.org/resource/Cairo
Dahshour	NIL
Egypt	http://dbpedia.org/resource/Egypt
Seneferu	NIL
Saleh	NIL
New York	http://dbpedia.org/resource/New_York_City
Metropolitan Museum	http://dbpedia.org/resource/Metropolitan_Museum_of_Art
Canopic	http://dbpedia.org/resource/Canopic_jar
12th Dynasty	NIL
BC	NIL
Middle Kingdom	http://dbpedia.org/resource/Middle_Kingdom_of_Egypt
Saleh	NIL
Tapie	http://dbpedia.org/resource/Bernard_Tapie
French	http://dbpedia.org/resource/France
PARIS	http://dbpedia.org/resource/Paris
Bernard Tapie	http://dbpedia.org/resource/Bernard_Tapie
National Assembly	NIL
Claude Lelouche	http://dbpedia.org/resource/Claude_Lelouch
France	http://dbpedia.org/resource/France
Europe 1	http://dbpedia.org/resource/Europe_1
Assembly	NIL
Philippe Seguin	http://dbpedia.org/resource/Philippe_Séguin
Seguin	NIL
Tapie	http://dbpedia.org/resource/Bernard_Tapie
Assembly	NIL
Supreme Court	http://dbpedia.org/resource/Court_of_Cassation_(France)
Tapie	http://dbpedia.org/resource/Bernard_Tapie
Marseille	http://dbpedia.org/resource/Marseille
Lelouche	NIL
Lelouche	NIL
Tapie	http://dbpedia.org/resource/Bernard_Tapie
France	http://dbpedia.org/resource/France
Jacques Toubon	http://dbpedia.org/resource/Jacques_Toubon
Tapie	http://dbpedia.org/resource/Bernard_Tapie
French	http://dbpedia.org/resource/France
European	http://dbpedia.org/resource/Europe
French	http://dbpedia.org/resource/France
National Assembly	NIL
European	http://dbpedia.org/resource/Europe
Tapie	http://dbpedia.org/resource/Bernard_Tapie
