Yeltsin	http://dbpedia.org/resource/Boris_Yeltsin
Russian	http://dbpedia.org/resource/Russia
MOSCOW	http://dbpedia.org/resource/Moscow
Russian	http://dbpedia.org/resource/Russia
Boris Yeltsin	http://dbpedia.org/resource/Boris_Yeltsin
Tatyana Dmitrieva	NIL
Kremlin	http://dbpedia.org/resource/Moscow_Kremlin
Russia	http://dbpedia.org/resource/Russia
Mother Teresa	http://dbpedia.org/resource/Mother_Teresa
CALCUTTA	http://dbpedia.org/resource/Kolkata
Mother Teresa	http://dbpedia.org/resource/Mother_Teresa
Saint of the Gutters	NIL
Nobel Peace Prize	http://dbpedia.org/resource/Nobel_Peace_Prize
Albanian	http://dbpedia.org/resource/Albania
God	http://dbpedia.org/resource/God
Roman Catholic	http://dbpedia.org/resource/Catholic_Church
Indian	http://dbpedia.org/resource/India
Mother Teresa	http://dbpedia.org/resource/Mother_Teresa
Mother Teresa	http://dbpedia.org/resource/Mother_Teresa
Calcutta	http://dbpedia.org/resource/Kolkata
Nobel Peace Prize	http://dbpedia.org/resource/Nobel_Peace_Prize
Bharat Ratna	http://dbpedia.org/resource/Bharat_Ratna
Jewel of India	NIL
Vatican	http://dbpedia.org/resource/Holy_See
Missionaries of Charity	http://dbpedia.org/resource/Missionaries_of_Charity
Mother Teresa	http://dbpedia.org/resource/Mother_Teresa
California	http://dbpedia.org/resource/California
Rome	http://dbpedia.org/resource/Rome
New Delhi	http://dbpedia.org/resource/New_Delhi
Mother Teresa	http://dbpedia.org/resource/Mother_Teresa
Agnes Goinxha Bejaxhiu	NIL
Albanian	http://dbpedia.org/resource/Albanians
Skopje	http://dbpedia.org/resource/Skopje
Serbia	http://dbpedia.org/resource/Serbia
Loretto	http://dbpedia.org/resource/Sisters_of_Loreto
Calcutta	http://dbpedia.org/resource/Kolkata
Loretto Abbey	NIL
Dublin	http://dbpedia.org/resource/Dublin
India	http://dbpedia.org/resource/India
Calcutta	http://dbpedia.org/resource/Kolkata
Vatican	http://dbpedia.org/resource/Holy_See
Dublin	http://dbpedia.org/resource/Dublin
American	http://dbpedia.org/resource/United_States
Calcutta	http://dbpedia.org/resource/Kolkata
Teresa	http://dbpedia.org/resource/Teresa
France	http://dbpedia.org/resource/France
Therese	NIL
Jesus	http://dbpedia.org/resource/Jesus
India	http://dbpedia.org/resource/India
Mother	http://dbpedia.org/resource/Mother_Teresa
Mother Teresa	http://dbpedia.org/resource/Mother_Teresa
Hindu	NIL
Calcutta	http://dbpedia.org/resource/Kolkata
Nirmal Hriday	NIL
Tender Heart	NIL
Missionaries of Charity	http://dbpedia.org/resource/Missionaries_of_Charity
Roman Catholic	http://dbpedia.org/resource/Catholic_Church
India	http://dbpedia.org/resource/India
British	http://dbpedia.org/resource/United_Kingdom
Mother Teresa	http://dbpedia.org/resource/Mother_Teresa
Catholics	http://dbpedia.org/resource/Catholic_Church
Diana	http://dbpedia.org/resource/Diana,_Princess_of_Wales
LONDON	http://dbpedia.org/resource/London
British	http://dbpedia.org/resource/United_Kingdom
Diana	http://dbpedia.org/resource/Diana,_Princess_of_Wales
Martin Stenning	NIL
Diana	http://dbpedia.org/resource/Diana,_Princess_of_Wales
Stenning	NIL
Benedict Birnberg	NIL
Birnberg	NIL
Reuters	http://dbpedia.org/resource/Reuters
Stenning	NIL
Stenning	NIL
Stenning	NIL
Diana	http://dbpedia.org/resource/Diana,_Princess_of_Wales
Charles	http://dbpedia.org/resource/Charles,_Prince_of_Wales
Stenning	NIL
Stenning	NIL
Diana	http://dbpedia.org/resource/Diana,_Princess_of_Wales
Diana	http://dbpedia.org/resource/Diana,_Princess_of_Wales
Mother Teresa	http://dbpedia.org/resource/Mother_Teresa
LONDON	http://dbpedia.org/resource/London
Britain	http://dbpedia.org/resource/United_Kingdom
Diana	http://dbpedia.org/resource/Diana,_Princess_of_Wales
Mother Teresa	http://dbpedia.org/resource/Mother_Teresa
Diana	http://dbpedia.org/resource/Diana,_Princess_of_Wales
Nobel Peace Prize-winning	NIL
Diana	http://dbpedia.org/resource/Diana,_Princess_of_Wales
Albanian-born	NIL
Rome	http://dbpedia.org/resource/Rome
Mother Teresa	http://dbpedia.org/resource/Mother_Teresa
British	http://dbpedia.org/resource/United_Kingdom
Prince Charles	http://dbpedia.org/resource/Charles,_Prince_of_Wales
Mother Teresa	http://dbpedia.org/resource/Mother_Teresa
Calcutta	http://dbpedia.org/resource/Kolkata
Malawi	http://dbpedia.org/resource/Malawi
Banda	http://dbpedia.org/resource/Hastings_Banda
BLANTYRE	http://dbpedia.org/resource/Blantyre,_Malawi
Malawi	http://dbpedia.org/resource/Malawi
Kamuzu Banda	NIL
Banda	http://dbpedia.org/resource/Hastings_Banda
Malawi	http://dbpedia.org/resource/Malawi
Nicaraguan	http://dbpedia.org/resource/Nicaragua
U.S.	http://dbpedia.org/resource/United_States
MANAGUA	http://dbpedia.org/resource/Managua
Nicaragua	http://dbpedia.org/resource/Nicaragua
Nicaraguan	http://dbpedia.org/resource/Nicaragua
Violeta Chamorro	http://dbpedia.org/resource/Violeta_Chamorro
United States	http://dbpedia.org/resource/United_States
Chamorro	http://dbpedia.org/resource/Violeta_Chamorro
Taiwan	http://dbpedia.org/resource/Republic_of_China
Taipei University Hospital	NIL
Chamorro	http://dbpedia.org/resource/Violeta_Chamorro
Washington	http://dbpedia.org/resource/Washington,_D.C.
Sam Wilson	NIL
Yeltsin	http://dbpedia.org/resource/Boris_Yeltsin
MOSCOW	http://dbpedia.org/resource/Moscow
Naina Yeltsin	NIL
Russian	http://dbpedia.org/resource/Russia
Itar-Tass	http://dbpedia.org/resource/Information_Telegraph_Agency_of_Russia
Tass	NIL
Kremlin	http://dbpedia.org/resource/Moscow_Kremlin
Central Clinical Hospital	http://dbpedia.org/resource/Central_Clinical_Hospital
Yeltsin	NIL
Sergei Mironov	NIL
Tass	NIL
Naina	NIL
Yelena	NIL
Tatyana	NIL
Boris Yeltsin	http://dbpedia.org/resource/Boris_Yeltsin
Yeltsin	http://dbpedia.org/resource/Boris_Yeltsin
Moscow	http://dbpedia.org/resource/Moscow
Yeltsin	http://dbpedia.org/resource/Boris_Yeltsin
Nicaraguan	http://dbpedia.org/resource/Nicaragua
U.S	http://dbpedia.org/resource/United_States
MANAGUA	http://dbpedia.org/resource/Managua
Nicaragua	http://dbpedia.org/resource/Nicaragua
Nicaraguan	http://dbpedia.org/resource/Nicaragua
Violeta Chamorro	http://dbpedia.org/resource/Violeta_Chamorro
United States	http://dbpedia.org/resource/United_States
Johns Hopkins Hospital	http://dbpedia.org/resource/Johns_Hopkins_Hospital
Baltimore	http://dbpedia.org/resource/Baltimore
Chamorro	http://dbpedia.org/resource/Violeta_Chamorro
Nicaragua	http://dbpedia.org/resource/Nicaragua
Chamorro	http://dbpedia.org/resource/Violeta_Chamorro
