BayerVB	NIL
C$	NIL
LONDON	http://dbpedia.org/resource/London
Toronto Dominion	NIL
BAYERISCHE VEREINSBANK	http://dbpedia.org/resource/HypoVereinsbank
C$	NIL
S&P	NIL
US	NIL
UK	NIL
CA	NIL
GERMAN	http://dbpedia.org/resource/Germany
BAYERISCHE VEREINSBANK	http://dbpedia.org/resource/HypoVereinsbank
London Newsroom	NIL
Venantius	NIL
LONDON	http://dbpedia.org/resource/London
Lehman Brothers International	NIL
VENANTIUS AB	NIL
SWEDISH	http://dbpedia.org/resource/Sweden
3M	NIL
S&P	NIL
LONDON	http://dbpedia.org/resource/London
US	NIL
UK	NIL
JP	NIL
FR	NIL
ENGLISH	http://dbpedia.org/resource/England
SWEDEN	http://dbpedia.org/resource/Sweden
London Newsroom	NIL
MONTGOMERY	http://dbpedia.org/resource/Montgomery,_Alabama
Ala	http://dbpedia.org/resource/Alabama
KinderCare Learning Centers Inc	http://dbpedia.org/resource/KinderCare_Learning_Centers
Philip Maslowe	NIL
Ka Wah Bank	http://dbpedia.org/resource/Ka_Wah_Bank
HK$	http://dbpedia.org/resource/Hong_Kong_dollar
HONG KONG	http://dbpedia.org/resource/Hong_Kong
Ka Wah Bank	http://dbpedia.org/resource/Ka_Wah_Bank
HK$	http://dbpedia.org/resource/Hong_Kong_dollar
HSBC Markets	NIL
Hong Kong Interbank	NIL
Hong Kong Central Moneymarkets Unit	NIL
Hong Kong Newsroom	NIL
Mostostal Z	NIL
WARSAW	http://dbpedia.org/resource/Warsaw
Polish	http://dbpedia.org/resource/Poland
Mostostal Zabrze Holding SA	NIL
Piotr Grabowski	NIL
Reuters	http://dbpedia.org/resource/Reuters
Mostostal	http://dbpedia.org/resource/Mostostal
Mostostal	http://dbpedia.org/resource/Mostostal
Grabowksi	NIL
Mostostal	http://dbpedia.org/resource/Mostostal
Poland	http://dbpedia.org/resource/Poland
Polish Development Bank	NIL
PBR	NIL
Warsaw	http://dbpedia.org/resource/Warsaw
Grabowski	NIL
Mostostal	http://dbpedia.org/resource/Mostostal
Warsaw Newsroom	NIL
M'bishi Gas	NIL
TOKYO	http://dbpedia.org/resource/Tokyo
Mitsubishi Gas Chemical Co Ltd	NIL
Nomura Securities Co Ltd	NIL
Tokyo-Mitsubishi Bank	http://dbpedia.org/resource/The_Bank_of_Tokyo-Mitsubishi_UFJ
MOODY 'S	NIL
S&P	http://dbpedia.org/resource/Standard_&_Poor's
