Dutch	http://dbpedia.org/resource/Netherlands
AMSTERDAM	http://dbpedia.org/resource/Amsterdam
Finance Ministry	NIL
Dutch	http://dbpedia.org/resource/Netherlands
GMT	http://dbpedia.org/resource/Greenwich_Mean_Time
GMT	http://dbpedia.org/resource/Greenwich_Mean_Time
Amsterdam	http://dbpedia.org/resource/Amsterdam
Euro	NIL
LONDON	http://dbpedia.org/resource/London
European	http://dbpedia.org/resource/European_Union
German-led	NIL
Euromark	NIL
U.S.	http://dbpedia.org/resource/United_States
Japanese	http://dbpedia.org/resource/Japan
Euromark	NIL
GMT	http://dbpedia.org/resource/Greenwich_Mean_Time
Euromark	NIL
Bundesbank	http://dbpedia.org/resource/Deutsche_Bundesbank
Britain	http://dbpedia.org/resource/United_Kingdom
Paribas Capital Markets OTC	NIL
Robert Coughlan	NIL
Bunds	NIL
Italy	http://dbpedia.org/resource/Italy
Spain	http://dbpedia.org/resource/Spain
Sweden	http://dbpedia.org/resource/Sweden
Coughlan	NIL
Germany	http://dbpedia.org/resource/Germany
France	http://dbpedia.org/resource/France
Italy	http://dbpedia.org/resource/Italy
Bunds	NIL
France	http://dbpedia.org/resource/France
Italy	http://dbpedia.org/resource/Italy
Coughlan	NIL
Stephen Nisbet	NIL
International Bonds	NIL
Pakistan	http://dbpedia.org/resource/Pakistan
KARACHI	http://dbpedia.org/resource/Karachi
Pakistan	http://dbpedia.org/resource/Pakistan
State ( central ) Bank	NIL
Pakistan	http://dbpedia.org/resource/Pakistan
Karachi	http://dbpedia.org/resource/Karachi
Swiss	http://dbpedia.org/resource/Switzerland
ZURICH	http://dbpedia.org/resource/Zürich
Swiss	http://dbpedia.org/resource/Switzerland
Swiss	http://dbpedia.org/resource/Switzerland
Eksportfinans	NIL
Suedwest LB	NIL
Swiss	http://dbpedia.org/resource/Switzerland
Eksportfinans	NIL
Suedwest LB	NIL
Swiss	http://dbpedia.org/resource/Switzerland
Credit Suisse	http://dbpedia.org/resource/Credit_Suisse
Swiss	http://dbpedia.org/resource/Switzerland
Switzerland	http://dbpedia.org/resource/Switzerland
Switzerland	http://dbpedia.org/resource/Switzerland
Euro Swiss	NIL
Zurich Editorial	NIL
London	http://dbpedia.org/resource/London
LIFFE	NIL
LONDON	http://dbpedia.org/resource/London
London International Financial Futures Exchange	NIL
GERMAN	http://dbpedia.org/resource/Germany
EUROMARK	NIL
ITALIAN	http://dbpedia.org/resource/Italy
EUROLIRA	NIL
EUROSWISS	NIL
FTSE 100	http://dbpedia.org/resource/FTSE_100_Index
Montana	http://dbpedia.org/resource/Montana
Piper Jaffray	http://dbpedia.org/resource/Piper_Jaffray
NEW YORK	http://dbpedia.org/resource/New_York_City
Montana	http://dbpedia.org/resource/Montana
Piper Jaffray Inc	NIL
U.S. Municipal Desk	NIL
U.S.	http://dbpedia.org/resource/United_States
Chicago	http://dbpedia.org/resource/Chicago
NAPM	NIL
CHICAGO	http://dbpedia.org/resource/Chicago
U.S.	http://dbpedia.org/resource/United_States
National Association of Purchasing Management	http://dbpedia.org/resource/Institute_for_Supply_Management
NAPM	NIL
Chicago	http://dbpedia.org/resource/Chicago
Chicago	http://dbpedia.org/resource/Chicago
NAPM	NIL
Eurodollar	http://dbpedia.org/resource/Eurodollar
Japanese	http://dbpedia.org/resource/Japan
Eurodollar	http://dbpedia.org/resource/Eurodollar
Eurodollars	http://dbpedia.org/resource/Eurodollar
U.S.	http://dbpedia.org/resource/United_States
French	http://dbpedia.org/resource/France
Federal Reserve	http://dbpedia.org/resource/Federal_Reserve_System
U.S.	http://dbpedia.org/resource/United_States
Federal Reserve	http://dbpedia.org/resource/Federal_Reserve_System
Federal Open Market Committee	http://dbpedia.org/resource/Federal_Open_Market_Committee
