Syria	http://dbpedia.org/resource/Syria
Lloyds Shipping	NIL
Lloyds Shipping Intelligence Service	NIL
LATTAKIA	NIL
Lattakia	NIL
Tartous	http://dbpedia.org/resource/Tartus
Heidrun	http://dbpedia.org/resource/Heidrun_oil_field
Statoil	http://dbpedia.org/resource/Statoil
OSLO	http://dbpedia.org/resource/Oslo
Heidrun	http://dbpedia.org/resource/Heidrun_oil_field
mid-Norway	NIL
Den Norske Stats Oljeselskap AS	NIL
Statoil	http://dbpedia.org/resource/Statoil
Heidrun	http://dbpedia.org/resource/Heidrun_oil_field
Status Weekly	NIL
Oslo	http://dbpedia.org/resource/Oslo
Power NZ ODV	NIL
NZ$	http://dbpedia.org/resource/New_Zealand_dollar
WELLINGTON	http://dbpedia.org/resource/Wellington
Power New Zealand	NIL
Ministry of Commerce	NIL
Wellington	http://dbpedia.org/resource/Wellington
CIS	NIL
MOSCOW	http://dbpedia.org/resource/Moscow
Commonwealth of Independent States	NIL
Russian Weather Service	NIL
Moscow Newsroom	NIL
Brazil	http://dbpedia.org/resource/Brazil
Amazon	http://dbpedia.org/resource/Amazon_River
BRASILIA	http://dbpedia.org/resource/Brasília
Amazon	http://dbpedia.org/resource/Amazon_River
Brazilian	http://dbpedia.org/resource/Brazil
Russian-built	NIL
Belem	http://dbpedia.org/resource/Belém
Brazil	http://dbpedia.org/resource/Brazil
Amazon Affairs Department	NIL
Amazon	http://dbpedia.org/resource/Amazon_River
Glickman	http://dbpedia.org/resource/Dan_Glickman
USDA	http://dbpedia.org/resource/United_States_Department_of_Agriculture
Texas	http://dbpedia.org/resource/Texas
WASHINGTON	http://dbpedia.org/resource/Washington,_D.C.
Dan Glickman	http://dbpedia.org/resource/Dan_Glickman
Texas	http://dbpedia.org/resource/Texas
Glickman	http://dbpedia.org/resource/Dan_Glickman
USDA-sponsored	NIL
Egypt	http://dbpedia.org/resource/Egypt
U.S.	http://dbpedia.org/resource/United_States
USDA	http://dbpedia.org/resource/United_States_Department_of_Agriculture
Zenith	http://dbpedia.org/resource/Zenith_Electronics
Susan Nadeau	NIL
CHICAGO	http://dbpedia.org/resource/Chicago
The Walt Disney Co	NIL
Zenith	http://dbpedia.org/resource/Zenith_Electronics
Zenith	http://dbpedia.org/resource/Zenith_Electronics
William Luehrs	NIL
Glenview	NIL
Ill.-based	NIL
Networks Services Division	NIL
Zenith	http://dbpedia.org/resource/Zenith_Electronics
New York Stock Exchange	http://dbpedia.org/resource/New_York_Stock_Exchange
Americast	NIL
Disney	http://dbpedia.org/resource/The_Walt_Disney_Company
Americast	NIL
Ameritech Corp.	NIL
BellSouth Corp.	http://dbpedia.org/resource/BellSouth
GTE Corp.	NIL
SBC Communications	http://dbpedia.org/resource/SBC_Communications
Americast	NIL
Southern New England Telecommunications Corp.	http://dbpedia.org/resource/Southern_New_England_Telecommunications
Zenith	http://dbpedia.org/resource/Zenith_Electronics
Woodridge	http://dbpedia.org/resource/Woodridge,_Illinois
Ill	http://dbpedia.org/resource/Illinois
Zenith	http://dbpedia.org/resource/Zenith_Electronics
Luehrs	NIL
Zenith	http://dbpedia.org/resource/Zenith_Electronics
Chihuahua	http://dbpedia.org/resource/Chihuahua,_Chihuahua
Mexico	http://dbpedia.org/resource/Mexico
Luehrs	NIL
Americast	NIL
United States	http://dbpedia.org/resource/United_States
Luehrs	NIL
Zenith	http://dbpedia.org/resource/Zenith_Electronics
Zenith	http://dbpedia.org/resource/Zenith_Electronics
South Korea-based	NIL
LG Electronics Inc.	NIL
Zenith	http://dbpedia.org/resource/Zenith_Electronics
Robert Gutenstein	NIL
Kalf, Voorhis & Co	NIL
Ukraine	http://dbpedia.org/resource/Ukraine
Irene Marushko	NIL
BATKIVSHCHYNA COLLECTIVE FARM	NIL
Ukraine	http://dbpedia.org/resource/Ukraine
John Deere	http://dbpedia.org/resource/Deere_&_Company
Kiev	http://dbpedia.org/resource/Kiev
Ivan Odnosum	NIL
God	http://dbpedia.org/resource/God
Ukrainian	http://dbpedia.org/resource/Ukraine
Soviet	http://dbpedia.org/resource/Soviet_Union
Ukraine	http://dbpedia.org/resource/Ukraine
Ukraine	http://dbpedia.org/resource/Ukraine
Europe	http://dbpedia.org/resource/Europe
Soviet	http://dbpedia.org/resource/Soviet_Union
Josef Stalin	http://dbpedia.org/resource/Joseph_Stalin
Hryhory Borsuk	NIL
Mironivka Wheat Institute	NIL
Ukrainian Academy of Agrarian Sciences	NIL
Celsius	http://dbpedia.org/resource/Celsius
Western Ukraine	NIL
Mironivka	NIL
Ukraine	http://dbpedia.org/resource/Ukraine
Borsuk	NIL
Ukraine	http://dbpedia.org/resource/Ukraine
Ukraine	http://dbpedia.org/resource/Ukraine
Soviet	http://dbpedia.org/resource/Soviet_Union
Kremlin	http://dbpedia.org/resource/Moscow_Kremlin
Odnosum	NIL
Odnosum	NIL
Odnosum	NIL
Shevchenko	NIL
post-Soviet	http://dbpedia.org/resource/Post-Soviet_states
Natalya Sypron	NIL
Soprun	NIL
Borsuk	NIL
Ukraine	http://dbpedia.org/resource/Ukraine
Ukraine	http://dbpedia.org/resource/Ukraine
Ukraine	http://dbpedia.org/resource/Ukraine
Borkus	NIL
pre-Soviet	NIL
Prairies	http://dbpedia.org/resource/Canadian_Prairies
WINNIPEG	http://dbpedia.org/resource/Winnipeg
Canada	http://dbpedia.org/resource/Canada
Prairies	http://dbpedia.org/resource/Canadian_Prairies
Labour Day	http://dbpedia.org/resource/Labour_Day
Environment Canada	http://dbpedia.org/resource/Environment_Canada
Alberta	http://dbpedia.org/resource/Alberta
Gerald Machnee	NIL
Reuters	http://dbpedia.org/resource/Reuters
Sprague	http://dbpedia.org/resource/Sprague,_Manitoba
Manitoba	NIL
Minnesota	http://dbpedia.org/resource/Minnesota
Prairies	http://dbpedia.org/resource/Canadian_Prairies
Celsius	http://dbpedia.org/resource/Celsius
F	NIL
Celsius	http://dbpedia.org/resource/Celsius
Celsius	http://dbpedia.org/resource/Celsius
F	NIL
North Battleford	http://dbpedia.org/resource/North_Battleford
Sask	NIL
Celsius	http://dbpedia.org/resource/Celsius
F	NIL
Grande Prairie	http://dbpedia.org/resource/Grande_Prairie
Alta	NIL
Peace River Valley	http://dbpedia.org/resource/Peace_River_(Canada)
Celsius	http://dbpedia.org/resource/Celsius
F	NIL
Machnee	NIL
Prairies	http://dbpedia.org/resource/Canadian_Prairies
Celsius	http://dbpedia.org/resource/Celsius
Celsius	http://dbpedia.org/resource/Celsius
Gilbert Le Gras	NIL
CIS	NIL
MOSCOW	http://dbpedia.org/resource/Moscow
Commonwealth of Independent States	NIL
Russian Weather Service	NIL
Moscow Newsroom	NIL
Palestinians	http://dbpedia.org/resource/State_of_Palestine
Jerusalem	http://dbpedia.org/resource/Jerusalem
JERUSALEM	http://dbpedia.org/resource/Jerusalem
Palestinian	http://dbpedia.org/resource/State_of_Palestine
