GREEK	http://dbpedia.org/resource/Greece
ATHENS	http://dbpedia.org/resource/Athens
Greek	http://dbpedia.org/resource/Greece
Costas Simitis	http://dbpedia.org/resource/Costas_Simitis
Costas Skandalidis	http://dbpedia.org/resource/Kostas_Skandalidis
Costas Simitis	http://dbpedia.org/resource/Costas_Simitis
Skandalidis	NIL
Dimitris Kontogiannis	NIL
Athens Newsroom	NIL
Iranian	http://dbpedia.org/resource/Iran
Baghdad	http://dbpedia.org/resource/Baghdad
Hassan Hafidh	NIL
BAGHDAD	http://dbpedia.org/resource/Baghdad
Iranian	http://dbpedia.org/resource/Iran
Iraq	http://dbpedia.org/resource/Iraq
Iran	http://dbpedia.org/resource/Iran
Kurdish	http://dbpedia.org/resource/Kurdish_people
Iranian	http://dbpedia.org/resource/Iran
Iraq	http://dbpedia.org/resource/Iraq
Mujahideen Khalq	NIL
Massoud Rajavi	http://dbpedia.org/resource/Massoud_Rajavi
Baghdad	http://dbpedia.org/resource/Baghdad
Kurdistan Democratic Party of Iran	http://dbpedia.org/resource/Democratic_Party_of_Iranian_Kurdistan
KDPI	http://dbpedia.org/resource/Democratic_Party_of_Iranian_Kurdistan
Hassan Rastegar	NIL
Iran	http://dbpedia.org/resource/Iran
Kurds	http://dbpedia.org/resource/Kurdish_people
Rajavi	NIL
Iranian	http://dbpedia.org/resource/Iran
Resistance	http://dbpedia.org/resource/Resistance_movement
Kurdish	NIL
Iranian Kurdistan	http://dbpedia.org/resource/Iranian_Kurdistan
Mujahideen Khalq	NIL
Iranian Kurdish	http://dbpedia.org/resource/Iranian_Kurdistan
Iran	http://dbpedia.org/resource/Iran
Iraq	http://dbpedia.org/resource/Iraq
KDPI	http://dbpedia.org/resource/Democratic_Party_of_Iranian_Kurdistan
Iraqi Kurdish	http://dbpedia.org/resource/Iraqi_Kurdistan
Baghdad	http://dbpedia.org/resource/Baghdad
Iraqi Kurdish	http://dbpedia.org/resource/Iraqi_Kurdistan
Iran	http://dbpedia.org/resource/Iran
Iraqi Kurdish Patriotic Union of Kurdistan	NIL
PUK	http://dbpedia.org/resource/Patriotic_Union_of_Kurdistan
PUK	http://dbpedia.org/resource/Patriotic_Union_of_Kurdistan
Iraq	http://dbpedia.org/resource/Iraq
Kurdistan Democratic Party	http://dbpedia.org/resource/Kurdistan_Democratic_Party
KDP	http://dbpedia.org/resource/Kurdistan_Democratic_Party
Iraqi Kurdish	http://dbpedia.org/resource/Iraqi_Kurdistan
Iraq	http://dbpedia.org/resource/Iraq
Iraqi	http://dbpedia.org/resource/Iraq
Kuwait	http://dbpedia.org/resource/Kuwait
Gulf War	http://dbpedia.org/resource/Gulf_War
U.S.-sponsored	NIL
Mujahideen Khalq	NIL
Iranian	http://dbpedia.org/resource/Iran
KDP	http://dbpedia.org/resource/Kurdistan_Democratic_Party
Qasri	http://dbpedia.org/resource/Qasr-e_Shirin
