German	http://dbpedia.org/resource/Germany
British	http://dbpedia.org/resource/United_Kingdom
BONN	http://dbpedia.org/resource/Bonn
Germany	http://dbpedia.org/resource/Germany
Agriculture Ministry	NIL
British	http://dbpedia.org/resource/United_Kingdom
European Union	http://dbpedia.org/resource/European_Union
Werner Zwingmann	NIL
ZDF	http://dbpedia.org/resource/ZDF
Bonn	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
European Commission	http://dbpedia.org/resource/European_Commission
EU	NIL
EU	NIL
Franz Fischler	http://dbpedia.org/resource/Franz_Fischler
Britain	http://dbpedia.org/resource/United_Kingdom
France	http://dbpedia.org/resource/France
Bovine Spongiform Encephalopathy	NIL
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
EU	NIL
EU	NIL
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
British	http://dbpedia.org/resource/United_Kingdom
ZDF	http://dbpedia.org/resource/ZDF
Germany	http://dbpedia.org/resource/Germany
Britain	http://dbpedia.org/resource/United_Kingdom
British	http://dbpedia.org/resource/United_Kingdom
British	http://dbpedia.org/resource/United_Kingdom
EU	NIL
British	http://dbpedia.org/resource/United_Kingdom
EU	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
EU Commission	http://dbpedia.org/resource/European_Commission
BRUSSELS	http://dbpedia.org/resource/Brussels
European Commission	http://dbpedia.org/resource/European_Commission
Britain	http://dbpedia.org/resource/United_Kingdom
EU	NIL
Commission	http://dbpedia.org/resource/European_Commission
Gerard Kiely	NIL
Reuters	http://dbpedia.org/resource/Reuters
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
Britain	http://dbpedia.org/resource/United_Kingdom
EU	NIL
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
European Commission	http://dbpedia.org/resource/European_Commission
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
Kiely	NIL
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
British	http://dbpedia.org/resource/United_Kingdom
Oxford	http://dbpedia.org/resource/University_of_Oxford
Nature	http://dbpedia.org/resource/Nature_(journal)
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
British	http://dbpedia.org/resource/United_Kingdom
National Farmers Union	NIL
David Naish	NIL
BBC radio	NIL
Naish	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
European	http://dbpedia.org/resource/European_Union
Europe	http://dbpedia.org/resource/Europe
Naish	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
EU	NIL
British	http://dbpedia.org/resource/United_Kingdom
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
Creutzfeldt-Jakob Disease	http://dbpedia.org/resource/Creutzfeldt–Jakob_disease
CJD	http://dbpedia.org/resource/Creutzfeldt–Jakob_disease
BSE-infected	NIL
EU	NIL
Saudi	http://dbpedia.org/resource/Saudi_Arabia
PARIS	http://dbpedia.org/resource/Paris
European Union	http://dbpedia.org/resource/European_Union
German	http://dbpedia.org/resource/Germany
Germany	http://dbpedia.org/resource/Germany
Saudi Arabia	http://dbpedia.org/resource/Saudi_Arabia
European	http://dbpedia.org/resource/Europe
EU	NIL
German	http://dbpedia.org/resource/Germany
Ecus	http://dbpedia.org/resource/Écu
Saudi Arabia	http://dbpedia.org/resource/Saudi_Arabia
European	http://dbpedia.org/resource/Europe
Saudis	http://dbpedia.org/resource/Saudi_Arabia
European Union	http://dbpedia.org/resource/European_Union
EU	NIL
EU	NIL
German	http://dbpedia.org/resource/Germany
Ecus	http://dbpedia.org/resource/Écu
Paris	http://dbpedia.org/resource/Paris
EU	NIL
BRUSSELS	http://dbpedia.org/resource/Brussels
European Union	http://dbpedia.org/resource/European_Union
EU	NIL
EU	NIL
European	http://dbpedia.org/resource/European_Union
Brussels Newsroom	NIL
