EU	NIL
German	http://dbpedia.org/resource/Germany
British	http://dbpedia.org/resource/United_Kingdom
Peter Blackburn	NIL
BRUSSELS	http://dbpedia.org/resource/Brussels
European Commission	http://dbpedia.org/resource/European_Commission
German	http://dbpedia.org/resource/Germany
British	http://dbpedia.org/resource/United_Kingdom
Germany	http://dbpedia.org/resource/Germany
European Union	http://dbpedia.org/resource/European_Union
Werner Zwingmann	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
Commission	http://dbpedia.org/resource/European_Commission
Nikolaus van der Pas	NIL
European Union	http://dbpedia.org/resource/European_Union
EU	NIL
Franz Fischler	http://dbpedia.org/resource/Franz_Fischler
Fischler	NIL
EU-wide	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
France	http://dbpedia.org/resource/France
Bovine Spongiform Encephalopathy	NIL
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
Fischler	NIL
EU	NIL
Spanish	http://dbpedia.org/resource/Spain
Loyola de Palacio	http://dbpedia.org/resource/Loyola_de_Palacio
Fischler	NIL
EU	NIL
France	http://dbpedia.org/resource/France
Britain	http://dbpedia.org/resource/United_Kingdom
Fischler	NIL
EU	NIL
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
British	http://dbpedia.org/resource/United_Kingdom
German	http://dbpedia.org/resource/Germany
British	http://dbpedia.org/resource/United_Kingdom
Europe	http://dbpedia.org/resource/Europe
Germany	http://dbpedia.org/resource/Germany
Welsh National Farmers ' Union	NIL
NFU	NIL
John Lloyd Jones	NIL
BBC radio	NIL
Bonn	http://dbpedia.org/resource/Bonn
British	http://dbpedia.org/resource/United_Kingdom
Germany	http://dbpedia.org/resource/Germany
Britain	http://dbpedia.org/resource/United_Kingdom
British	http://dbpedia.org/resource/United_Kingdom
