GREEK	http://dbpedia.org/resource/Greece
ATHENS	http://dbpedia.org/resource/Athens
Greek	http://dbpedia.org/resource/Greece
Costas Simitis	http://dbpedia.org/resource/Costas_Simitis
Costas Skandalidis	http://dbpedia.org/resource/Kostas_Skandalidis
Costas Simitis	http://dbpedia.org/resource/Costas_Simitis
Skandalidis	NIL
Dimitris Kontogiannis	NIL
Athens Newsroom	NIL
Greek	http://dbpedia.org/resource/Greece
ATHENS	http://dbpedia.org/resource/Athens
Greek	http://dbpedia.org/resource/Greece
Costas Simitis	http://dbpedia.org/resource/Costas_Simitis
Costas Skandalidis	http://dbpedia.org/resource/Kostas_Skandalidis
Costas Simitis	http://dbpedia.org/resource/Costas_Simitis
Skandalidis	NIL
Dimitris Kontogiannis	NIL
Athens Newsroom	NIL
India	http://dbpedia.org/resource/India
Kashmir	http://dbpedia.org/resource/Kashmir
SRINAGAR	http://dbpedia.org/resource/Srinagar
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
Pakistan	http://dbpedia.org/resource/Pakistan
Jammu	NIL
Kashmir	NIL
Inderjit Gupta	NIL
Srinagar	http://dbpedia.org/resource/Srinagar
New Delhi	http://dbpedia.org/resource/New_Delhi
India	http://dbpedia.org/resource/India
Pakistan	http://dbpedia.org/resource/Pakistan
Islamabad	NIL
Gupta	http://dbpedia.org/resource/Indrajit_Gupta
Kashmir	http://dbpedia.org/resource/Kashmir
Gupta	http://dbpedia.org/resource/Indrajit_Gupta
India	http://dbpedia.org/resource/India
Pakistan	http://dbpedia.org/resource/Pakistan
Kashmir	http://dbpedia.org/resource/Kashmir
Britain	http://dbpedia.org/resource/United_Kingdom
H.D. Deve Gowda	http://dbpedia.org/resource/H._D._Deve_Gowda
Jammu	NIL
Kashmir	NIL
New Delhi	http://dbpedia.org/resource/New_Delhi
Mass	http://dbpedia.org/resource/Massachusetts
BOSTON	http://dbpedia.org/resource/Boston
Republican	http://dbpedia.org/resource/Republican_Party_(United_States)
William Weld	http://dbpedia.org/resource/William_Weld
U.S.	http://dbpedia.org/resource/United_States
Senate	NIL
Massachusetts	http://dbpedia.org/resource/Massachusetts
Weld	http://dbpedia.org/resource/William_Weld
Franny	NIL
Democratic	http://dbpedia.org/resource/Democratic_Party_(United_States)
John Kerry	http://dbpedia.org/resource/John_Kerry
Weld	http://dbpedia.org/resource/William_Weld
WBUR-FM	http://dbpedia.org/resource/WBUR
Cambridge	http://dbpedia.org/resource/Cambridge,_Massachusetts
Massachusetts	http://dbpedia.org/resource/Massachusetts
Washington	http://dbpedia.org/resource/Washington,_D.C.
Franny Weld	NIL
Tracy Roosevelt	NIL
Tracy	NIL
Democratic	http://dbpedia.org/resource/Democratic_Party_(United_States)
Franklin Roosevelt	http://dbpedia.org/resource/Franklin_D._Roosevelt
Democrats	http://dbpedia.org/resource/Democratic_Party_(United_States)
