SIMEX Brent	NIL
IPE	http://dbpedia.org/resource/International_Petroleum_Exchange
SINGAPORE	http://dbpedia.org/resource/Singapore
Brent	NIL
Singapore International Monetary Exchange	http://dbpedia.org/resource/Singapore_International_Monetary_Exchange
SIMEX	http://dbpedia.org/resource/Singapore_International_Monetary_Exchange
U.K.	http://dbpedia.org/resource/United_Kingdom
SIMEX Brent	NIL
International Petroleum Exchange	http://dbpedia.org/resource/International_Petroleum_Exchange
IPE	http://dbpedia.org/resource/International_Petroleum_Exchange
London	http://dbpedia.org/resource/London
British	http://dbpedia.org/resource/United_Kingdom
Singapore	http://dbpedia.org/resource/Singapore
London	http://dbpedia.org/resource/London
Singapore Newsroom	NIL
LONDON	http://dbpedia.org/resource/London
United Kingdom	http://dbpedia.org/resource/United_Kingdom
Repsol	http://dbpedia.org/resource/Repsol_YPF
Puertollano	http://dbpedia.org/resource/Puertollano
Jose Manuel Prieto	NIL
Spanish	http://dbpedia.org/resource/Spain
U.S.	http://dbpedia.org/resource/United_States
Amsterdam-Rotterdam	NIL
Rotterdam	http://dbpedia.org/resource/Rotterdam
Indian Oil Corp	NIL
IOC	http://dbpedia.org/resource/Indian_Oil_Corporation
Asian	http://dbpedia.org/resource/Asia
IOC	http://dbpedia.org/resource/Indian_Oil_Corporation
Antwerp	http://dbpedia.org/resource/Antwerp
IOC	http://dbpedia.org/resource/Indian_Oil_Corporation
German	http://dbpedia.org/resource/Germany
Nicholas Shaxson	NIL
London	http://dbpedia.org/resource/London
Chile	http://dbpedia.org/resource/Chile
ENAP	NIL
Oriente	NIL
Escravos	NIL
NEW YORK	http://dbpedia.org/resource/New_York
Chile	http://dbpedia.org/resource/Chile
Empresa Nacional del Petroleo	NIL
ENAP	NIL
Oriente	NIL
Escravos	NIL
Ecuadorian Oriente	NIL
Nigerian	http://dbpedia.org/resource/Nigeria
Escravos	NIL
Oriente	NIL
Petroecuador	NIL
Escravos	NIL
Dated Brent	NIL
ENAP	NIL
Jacqueline Wong	NIL
New York Energy Desk	NIL
Mideast Gulf	NIL
India	http://dbpedia.org/resource/India
DUBAI	http://dbpedia.org/resource/Dubai
India	http://dbpedia.org/resource/India
Middle East Gulf	NIL
Korea	http://dbpedia.org/resource/Korea
Dubai	http://dbpedia.org/resource/Dubai
Gulf	NIL
Gulf	NIL
Africa	http://dbpedia.org/resource/Africa
India	http://dbpedia.org/resource/India
