TROFEJ BEOGRAD TOURNAMENT	NIL
BELGRADE	http://dbpedia.org/resource/Belgrade
Trofej Beograd 96	NIL
Benetton	http://dbpedia.org/resource/Pallacanestro_Treviso
Italy	http://dbpedia.org/resource/Italy
Dinamo	NIL
Russia	http://dbpedia.org/resource/Russia
Alba	NIL
Germany	http://dbpedia.org/resource/Germany
Red Star	http://dbpedia.org/resource/KK_Crvena_zvezda
Yugoslavia	http://dbpedia.org/resource/Yugoslavia
TROFEJ BEOGRAD TOURNAMENT	NIL
BELGRADE	http://dbpedia.org/resource/Belgrade
Trofej Beograd 96	NIL
Benetton	http://dbpedia.org/resource/Pallacanestro_Treviso
Italy	http://dbpedia.org/resource/Italy
Dinamo	NIL
Russia	http://dbpedia.org/resource/Russia
Alba	NIL
Germany	http://dbpedia.org/resource/Germany
Red Star	http://dbpedia.org/resource/KK_Crvena_zvezda
Yugoslavia	http://dbpedia.org/resource/Yugoslavia
BENETTON	http://dbpedia.org/resource/Pallacanestro_Treviso
DINAMO	NIL
BELGRADE	http://dbpedia.org/resource/Belgrade
Benetton	http://dbpedia.org/resource/Pallacanestro_Treviso
Italy	http://dbpedia.org/resource/Italy
Dinamo	NIL
Russia	http://dbpedia.org/resource/Russia
Trofej Beograd 96	NIL
