S. Korean	http://dbpedia.org/resource/South_Korea
SEOUL	http://dbpedia.org/resource/Seoul
Bancomext	http://dbpedia.org/resource/Bancomext
Mexico	http://dbpedia.org/resource/Mexico
MEXICO CITY	http://dbpedia.org/resource/Mexico_City
Bancomext	http://dbpedia.org/resource/Bancomext
Mexican	http://dbpedia.org/resource/Mexico
Rafael Moreno Turrent	NIL
Colombian	http://dbpedia.org/resource/Colombia
BOGOTA	http://dbpedia.org/resource/Bogotá
Colombia	http://dbpedia.org/resource/Colombia
U.S.	http://dbpedia.org/resource/United_States
Juan Guillermo Londono	NIL
Bogota	http://dbpedia.org/resource/Bogotá
Indonesian	http://dbpedia.org/resource/Indonesia
JAKARTA	http://dbpedia.org/resource/Jakarta
Indonesian	http://dbpedia.org/resource/Indonesia
Hong Kong	http://dbpedia.org/resource/Hong_Kong
United Kingdom	http://dbpedia.org/resource/United_Kingdom
Singapore	http://dbpedia.org/resource/Singapore
GMT	http://dbpedia.org/resource/Greenwich_Mean_Time
Megawati Sukarnoputri	http://dbpedia.org/resource/Megawati_Sukarnoputri
Indonesian Democratic Party	http://dbpedia.org/resource/Indonesian_Democratic_Party
PDI	http://dbpedia.org/resource/Indonesian_Democratic_Party
PDI	http://dbpedia.org/resource/Indonesian_Democratic_Party
Jakarta	http://dbpedia.org/resource/Jakarta
Megawati	http://dbpedia.org/resource/Megawati_Sukarnoputri
Eurobourses	NIL
London	http://dbpedia.org/resource/London
Leonard Santorelli	NIL
LONDON	http://dbpedia.org/resource/London
European	http://dbpedia.org/resource/Europe
London	http://dbpedia.org/resource/London
wall Street	http://dbpedia.org/resource/New_York_Stock_Exchange
Tokyo	http://dbpedia.org/resource/Tokyo
Japanese	http://dbpedia.org/resource/Japan
Tankan	NIL
London	http://dbpedia.org/resource/London
FTSE	http://dbpedia.org/resource/FTSE_100_Index
London	http://dbpedia.org/resource/London
European	http://dbpedia.org/resource/Europe
London	http://dbpedia.org/resource/London
Wall Street	http://dbpedia.org/resource/New_York_Stock_Exchange
U.S. Treasuries	NIL
Wall Street	http://dbpedia.org/resource/New_York_Stock_Exchange
Treasuries	NIL
Alan Ackerman	NIL
Fahnestock & Co	NIL
Frankfurt	http://dbpedia.org/resource/DAX
