RTRS	NIL
Toyota Australia	http://dbpedia.org/resource/Toyota_Australia
MELBOURNE	http://dbpedia.org/resource/Melbourne
Toyota Australia	http://dbpedia.org/resource/Toyota_Australia
Melbourne	http://dbpedia.org/resource/Melbourne
Zimbabwe	http://dbpedia.org/resource/Zimbabwe
Emelia Sithole	NIL
HARARE	http://dbpedia.org/resource/Harare
Zimbabwean	http://dbpedia.org/resource/Zimbabwe
Public Service Commission	http://dbpedia.org/resource/Public_utilities_commission
PSC	NIL
Public Service Association	NIL
PSA	NIL
Public Service, Labour and Social Welfare	NIL
Florence	NIL
Red Cross	http://dbpedia.org/resource/International_Committee_of_the_Red_Cross
Victoria Falls	http://dbpedia.org/resource/Victoria_Falls,_Zimbabwe
PSA	NIL
Robert Mugabe	http://dbpedia.org/resource/Robert_Mugabe
Britain	http://dbpedia.org/resource/United_Kingdom
Z$	NIL
America	http://dbpedia.org/resource/United_States
Anne Murray	NIL
NEW YORK	http://dbpedia.org/resource/New_York_City
America	http://dbpedia.org/resource/United_States
Towers Perrin	http://dbpedia.org/resource/Towers_Perrin
Sandra O'Neal	NIL
Towers Perrin	http://dbpedia.org/resource/Towers_Perrin
O'Neal	NIL
O'Neal	NIL
World War II	http://dbpedia.org/resource/World_War_II
O'Neal	NIL
O'Neal	NIL
O'Neal	NIL
O'Neal	NIL
O'Neal	NIL
Yugo Zastava	NIL
BELGRADE	http://dbpedia.org/resource/Belgrade
Serbia	http://dbpedia.org/resource/Serbia
Zastava	http://dbpedia.org/resource/Zastava_Arms
Dragutin Stanojlovic	NIL
Yugoslav	http://dbpedia.org/resource/Yugoslavia
Zastava	http://dbpedia.org/resource/Zastava_Arms
Yugoslavia	http://dbpedia.org/resource/Yugoslavia
Serbia	http://dbpedia.org/resource/Serbia
Montenegro	http://dbpedia.org/resource/Montenegro
Kragujevac	http://dbpedia.org/resource/Kragujevac
Stanojlovic	NIL
Socialist Party	http://dbpedia.org/resource/Socialist_Party_of_Serbia
Serbia	http://dbpedia.org/resource/Serbia
Socialist Party	http://dbpedia.org/resource/Socialist_Party_of_Serbia
Reuters	http://dbpedia.org/resource/Reuters
Yugoslav	http://dbpedia.org/resource/Yugoslavia
Gordana Kukic	NIL
Belgrade Newsroom	NIL
SVCD Bulgaria	NIL
SOFIA	http://dbpedia.org/resource/Sofia
Bulgarian	http://dbpedia.org/resource/Bulgaria
Bulgarian	http://dbpedia.org/resource/Bulgaria
Bulatka	NIL
Stefan Raichev	NIL
Bulgaria	http://dbpedia.org/resource/Bulgaria
Europe	http://dbpedia.org/resource/Europe
Middle	http://dbpedia.org/resource/Middle_East
Far East	NIL
Raichev	NIL
