RTRS	NIL
Toyota Australia	http://dbpedia.org/resource/Toyota_Australia
MELBOURNE	http://dbpedia.org/resource/Melbourne
Toyota Australia	http://dbpedia.org/resource/Toyota_Australia
Melbourne	http://dbpedia.org/resource/Melbourne
America	http://dbpedia.org/resource/United_States
Anne Murray	NIL
NEW YORK	http://dbpedia.org/resource/New_York_City
America	http://dbpedia.org/resource/United_States
Towers Perrin	http://dbpedia.org/resource/Towers_Perrin
Sandra O'Neal	NIL
Towers Perrin	http://dbpedia.org/resource/Towers_Perrin
O'Neal	NIL
O'Neal	NIL
World War II	http://dbpedia.org/resource/World_War_II
O'Neal	NIL
O'Neal	NIL
O'Neal	NIL
O'Neal	NIL
O'Neal	NIL
Yugo Zastava	NIL
BELGRADE	http://dbpedia.org/resource/Belgrade
Serbia	http://dbpedia.org/resource/Serbia
Zastava	http://dbpedia.org/resource/Zastava_Arms
Dragutin Stanojlovic	NIL
Yugoslav	http://dbpedia.org/resource/Yugoslavia
Zastava	http://dbpedia.org/resource/Zastava_Arms
Yugoslavia	http://dbpedia.org/resource/Yugoslavia
Serbia	http://dbpedia.org/resource/Serbia
Montenegro	http://dbpedia.org/resource/Montenegro
Kragujevac	http://dbpedia.org/resource/Kragujevac
Stanojlovic	NIL
Socialist Party	http://dbpedia.org/resource/Socialist_Party_of_Serbia
Serbia	http://dbpedia.org/resource/Serbia
Socialist Party	http://dbpedia.org/resource/Socialist_Party_of_Serbia
Reuters	http://dbpedia.org/resource/Reuters
Yugoslav	http://dbpedia.org/resource/Yugoslavia
Gordana Kukic	NIL
Belgrade Newsroom	NIL
SVCD Bulgaria	NIL
SOFIA	http://dbpedia.org/resource/Sofia
Bulgarian	http://dbpedia.org/resource/Bulgaria
Bulgarian	http://dbpedia.org/resource/Bulgaria
Bulatka	NIL
Stefan Raichev	NIL
Bulgaria	http://dbpedia.org/resource/Bulgaria
Europe	http://dbpedia.org/resource/Europe
Middle	http://dbpedia.org/resource/Middle_East
Far East	NIL
Raichev	NIL
Valentin Valkov	NIL
Valkov	NIL
Balkan Airlines	http://dbpedia.org/resource/Balkan_Bulgarian_Airlines
Bulgarian	http://dbpedia.org/resource/Bulgaria
Black Sea	http://dbpedia.org/resource/Black_Sea
Raichev	NIL
Balkan	NIL
Raichev	NIL
Raichev	NIL
English	http://dbpedia.org/resource/English_language
Liliana Semerdjieva	NIL
Sofia Newsroom	NIL
Venezuela	http://dbpedia.org/resource/Venezuela
CVG	http://dbpedia.org/resource/Corporación_Venezolana_de_Guayana
CARACAS	http://dbpedia.org/resource/Caracas
Venezuela	http://dbpedia.org/resource/Venezuela
