Hungary	http://dbpedia.org/resource/Hungary
BUDAPEST	http://dbpedia.org/resource/Budapest
NBH	NIL
MIT	NIL
NBH	NIL
Duff & Phelps	http://dbpedia.org/resource/Duff_&_Phelps
IBCA	NIL
Thomson BankWatch	NIL
S&P	http://dbpedia.org/resource/Standard_&_Poor's
Moody's Investors Service	NIL
Japan Credit Rating Agency	NIL
NBH	NIL
MIT	NIL
Budapest	http://dbpedia.org/resource/Budapest
Spain	http://dbpedia.org/resource/Spain
Bank of Spain	http://dbpedia.org/resource/Bank_of_Spain
EPA	NIL
**General Consumer Price Index	NIL
Producer Prices Index	NIL
Industrial Production Index	http://dbpedia.org/resource/Industrial_Production_Index
