Belgium	http://dbpedia.org/resource/Belgium
India	http://dbpedia.org/resource/India
WSRL	NIL
BOMBAY	http://dbpedia.org/resource/Mumbai
Belgium	http://dbpedia.org/resource/Belgium
Kredietbank	http://dbpedia.org/resource/KBC_Bank
India	http://dbpedia.org/resource/India
Welspun Stahl Rohren Ltd	NIL
WSRL	NIL
Indian	http://dbpedia.org/resource/India
LIBOR	http://dbpedia.org/resource/London_Interbank_Offered_Rate
Indusind Bank	NIL
UTI Bank	http://dbpedia.org/resource/Axis_Bank
WSRL	NIL
Indian	http://dbpedia.org/resource/India
Gujarat	http://dbpedia.org/resource/Gujarat
WSRL	NIL
Welspun	NIL
Bombay	http://dbpedia.org/resource/Mumbai
