Buffett	http://dbpedia.org/resource/Warren_Buffett
Property Capital	NIL
WASHINGTON	http://dbpedia.org/resource/Washington,_D.C.
Omaha	http://dbpedia.org/resource/Omaha,_Nebraska
Warren Buffett	http://dbpedia.org/resource/Warren_Buffett
Property Capital Trust	NIL
Securities and Exchnage Commission	NIL
Buffett	http://dbpedia.org/resource/Warren_Buffett
Boston-based	http://dbpedia.org/resource/Boston
Buffett	http://dbpedia.org/resource/Warren_Buffett
Berkshire Hathaway Inc	http://dbpedia.org/resource/Berkshire_Hathaway
U.S.	http://dbpedia.org/resource/United_States
SunGard	http://dbpedia.org/resource/SunGard
CheckFree	NIL
SAN MATEO	http://dbpedia.org/resource/San_Mateo,_California
Calif.	http://dbpedia.org/resource/California
SunGard Shareholder Systems Inc	NIL
SunGard Data Systems Inc	NIL
Securities Products Business	NIL
CheckFree Corp	NIL
SunGard	http://dbpedia.org/resource/SunGard
New York	http://dbpedia.org/resource/New_York_City
Alpha Techs	NIL
Lockhart	NIL
NEW YORK	http://dbpedia.org/resource/New_York_City
Alpha Technologies Group Inc	NIL
Lockhart Industries Inc	NIL
Lockhart	NIL
Lockhart	NIL
Paramount	http://dbpedia.org/resource/Paramount,_California
Calif.	http://dbpedia.org/resource/California
New York	http://dbpedia.org/resource/New_York_City
RTRS	NIL
Niugini	NIL
SYDNEY	http://dbpedia.org/resource/Sydney
Niugini Mining Ltd	NIL
A$	NIL
Battle Mountain Gold	NIL
Niugini	NIL
Niugini Mining Ltd	NIL
Battle Mountain	NIL
Niugini	NIL
Battle Mountain	NIL
Sydney	http://dbpedia.org/resource/Sydney
Niugini	NIL
Australia	http://dbpedia.org/resource/Australia
Chile	http://dbpedia.org/resource/Chile
Papua New Guinea	http://dbpedia.org/resource/Papua_New_Guinea
Lihir	http://dbpedia.org/resource/Lihir_Island
GMT	http://dbpedia.org/resource/Greenwich_Mean_Time
Niugini Mining	NIL
A$	NIL
Sydney Newsroom	NIL
Softbank	http://dbpedia.org/resource/SoftBank
TOKYO	http://dbpedia.org/resource/Tokyo
Softbank Corp	http://dbpedia.org/resource/SoftBank
U.S.	http://dbpedia.org/resource/United_States
Kingston Technology Co	NIL
Kingston	http://dbpedia.org/resource/Kingston_Technology
Softbank	http://dbpedia.org/resource/SoftBank
Softbank	http://dbpedia.org/resource/SoftBank
Kingston	http://dbpedia.org/resource/Kingston_Technology
United States	http://dbpedia.org/resource/United_States
Advanced Medical	NIL
IVAC Medical	NIL
SAN DIEGO	http://dbpedia.org/resource/San_Diego
Advanced Medical Inc.	NIL
IVAC Medical Systems Inc.	NIL
Eli Lilly & Co	NIL
IVAC	NIL
Advanced Medical	NIL
IMED Corp.	NIL
Advanced Medical	NIL
IMED	NIL
San Diego-based	NIL
IVAC	NIL
San Diego	http://dbpedia.org/resource/San_Diego
Creedmoor	http://dbpedia.org/resource/Creedmoor,_North_Carolina
N.C.	NIL
Hampshire	http://dbpedia.org/resource/Hampshire
England	http://dbpedia.org/resource/England
Tijuana	http://dbpedia.org/resource/Tijuana
Mexico	http://dbpedia.org/resource/Mexico
Eli Lilly	NIL
IVAC	NIL
DLJ Merchant Banking Partners LP	NIL
River Medical Inc.	NIL
Advanced Medical	NIL
IVAC	NIL
IVAC	NIL
IVAC	NIL
IMED	NIL
IMED	NIL
IVAC	NIL
Advanced Medical	NIL
William J. Mercer	NIL
IVAC	NIL
Advanced Medical	NIL
IVAC	NIL
Mallinckrodt Group Inc	NIL
Joseph Kuhn	NIL
Advanced Medical	NIL
IMED	NIL
Metro	NIL
SINGAPORE	http://dbpedia.org/resource/Singapore
Metro Holdings	NIL
Singapore	http://dbpedia.org/resource/Singapore
S$	NIL
GMT	http://dbpedia.org/resource/Greenwich_Mean_Time
Metro	NIL
Metro Holdings	NIL
S$	NIL
S$	NIL
First Capital Corp	NIL
Singapore	http://dbpedia.org/resource/Singapore
CBOE	http://dbpedia.org/resource/Chicago_Board_Options_Exchange
MFS	http://dbpedia.org/resource/Metropolitan_Fiber_Systems
CHICAGO	http://dbpedia.org/resource/Chicago
Chicago Board Options Exchange	http://dbpedia.org/resource/Chicago_Board_Options_Exchange
CBOE	http://dbpedia.org/resource/Chicago_Board_Options_Exchange
MFS Communications Co Inc	NIL
WorldCom Inc	NIL
MFS	http://dbpedia.org/resource/Metropolitan_Fiber_Systems
WorldCom	NIL
The New York Times	http://dbpedia.org/resource/The_New_York_Times
MFS	http://dbpedia.org/resource/Metropolitan_Fiber_Systems
MFS	http://dbpedia.org/resource/Metropolitan_Fiber_Systems
American Stock Exchange	http://dbpedia.org/resource/American_Stock_Exchange
Pacific Stock Exchange	http://dbpedia.org/resource/Pacific_Exchange
American Stock Exchange	http://dbpedia.org/resource/American_Stock_Exchange
Pacific Stock Exchange	http://dbpedia.org/resource/Pacific_Exchange
MFS	http://dbpedia.org/resource/Metropolitan_Fiber_Systems
Barrick	http://dbpedia.org/resource/Barrick_Gold
Arequipa	NIL
TORONTO	http://dbpedia.org/resource/Toronto
Barrick Gold Corp	NIL
Arequipa Resources Ltd	NIL
Arequipa	NIL
Arequipa	NIL
Barrick	http://dbpedia.org/resource/Barrick_Gold
Peter Munk	http://dbpedia.org/resource/Peter_Munk
C$	NIL
Barrick	http://dbpedia.org/resource/Barrick_Gold
Arequipa	NIL
Pierina	NIL
Peru	http://dbpedia.org/resource/Peru
Barrick	http://dbpedia.org/resource/Barrick_Gold
Barrick	http://dbpedia.org/resource/Barrick_Gold
Barrick	http://dbpedia.org/resource/Barrick_Gold
C$	NIL
Barrick	http://dbpedia.org/resource/Barrick_Gold
Vancouver-based	http://dbpedia.org/resource/Vancouver
Toronto-based	http://dbpedia.org/resource/Toronto
Barrick	http://dbpedia.org/resource/Barrick_Gold
C$	NIL
C$	NIL
Pierina	NIL
Barrick	http://dbpedia.org/resource/Barrick_Gold
Arequipa	NIL
Arequipa	NIL
C$	NIL
Barrick	http://dbpedia.org/resource/Barrick_Gold
Arequipa	NIL
Reuters Toronto Bureau	NIL
Penn Treaty	NIL
