Britain	http://dbpedia.org/resource/United_Kingdom
American	http://dbpedia.org/resource/United_States
Edna Fernandes	NIL
LONDON	http://dbpedia.org/resource/London
British	http://dbpedia.org/resource/United_Kingdom
trans-Atlantic	NIL
British Airways Plc	http://dbpedia.org/resource/British_Airways
American Airlines	http://dbpedia.org/resource/American_Airlines
Britain	http://dbpedia.org/resource/United_Kingdom
Monopolies and Mergers Commission	http://dbpedia.org/resource/Competition_Commission_(United_Kingdom)
Trade and Industry	NIL
Ian Lang	http://dbpedia.org/resource/Ian_Lang,_Baron_Lang_of_Monkton
Britain	http://dbpedia.org/resource/United_Kingdom
United States	http://dbpedia.org/resource/United_States
trans-Atlantic	NIL
Lang	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
Office of Fair Trading	http://dbpedia.org/resource/Office_of_Fair_Trading
BA	NIL
AA	NIL
trans-Atlantic	NIL
UK	NIL
U.S.	http://dbpedia.org/resource/United_States
London	http://dbpedia.org/resource/London
British Airways-American	NIL
British Airways	http://dbpedia.org/resource/British_Airways
American	http://dbpedia.org/resource/United_States
London Heathrow	http://dbpedia.org/resource/London_Heathrow_Airport
Europe	http://dbpedia.org/resource/Europe
American	http://dbpedia.org/resource/United_States
AMR Corp.	http://dbpedia.org/resource/AMR_Corporation
British Airways	http://dbpedia.org/resource/British_Airways
British Airways	http://dbpedia.org/resource/British_Airways
USAir	http://dbpedia.org/resource/US_Airways
trans-Atlantic	NIL
British Airways	http://dbpedia.org/resource/British_Airways
American	http://dbpedia.org/resource/United_States
London	http://dbpedia.org/resource/London
Dallas-Fort Worth	NIL
London-to-Boston	NIL
Office of Fair Trade	http://dbpedia.org/resource/Office_of_Fair_Trading
British Airways	http://dbpedia.org/resource/British_Airways
American	http://dbpedia.org/resource/United_States
Lang	NIL
Office of Fair Trading	http://dbpedia.org/resource/Office_of_Fair_Trading
