German	http://dbpedia.org/resource/Germany
FRANKFURT	http://dbpedia.org/resource/Frankfurt_am_Main
German	http://dbpedia.org/resource/Germany
Federal office for motor vehicles	NIL
Germans	http://dbpedia.org/resource/Germany
German	http://dbpedia.org/resource/Germany
German	http://dbpedia.org/resource/Germany
Volkswagen AG	http://dbpedia.org/resource/Volkswagen
Opel AG	http://dbpedia.org/resource/Opel
General Motors	http://dbpedia.org/resource/General_Motors
Ford	http://dbpedia.org/resource/Ford_Motor_Company
Seat	NIL
Porsche	http://dbpedia.org/resource/Porsche
Seat	NIL
Porsche	http://dbpedia.org/resource/Porsche
Iraq	http://dbpedia.org/resource/Iraq
BAGHDAD	http://dbpedia.org/resource/Baghdad
Iraqi	http://dbpedia.org/resource/Iraq
Reuters	http://dbpedia.org/resource/Reuters
THAWRA	NIL
Iraq	http://dbpedia.org/resource/Iraq
Saddam Hussein	http://dbpedia.org/resource/Saddam_Hussein
Russian	http://dbpedia.org/resource/Russia
Vladimir Zhirinovsky	http://dbpedia.org/resource/Vladimir_Zhirinovsky
Turkish	NIL
Turkey	NIL
Baghdad	http://dbpedia.org/resource/Baghdad
IRAQ	http://dbpedia.org/resource/Iraq
Umm Qasr	http://dbpedia.org/resource/Umm_Qasr
Gulf	http://dbpedia.org/resource/Persian_Gulf
Lebanon	http://dbpedia.org/resource/Lebanon
BEIRUT	http://dbpedia.org/resource/Beirut
Beirut	http://dbpedia.org/resource/Beirut
Reuters	http://dbpedia.org/resource/Reuters
AN-NAHAR	http://dbpedia.org/resource/An-Nahar
Hizbollah	http://dbpedia.org/resource/Hezbollah
Hariri	NIL
Israeli	http://dbpedia.org/resource/Israel
AS-SAFIR	http://dbpedia.org/resource/As-Safir
Berri	NIL
Israel	http://dbpedia.org/resource/Israel
Syria	http://dbpedia.org/resource/Syria
Lebanon	http://dbpedia.org/resource/Lebanon
Beirut	http://dbpedia.org/resource/Beirut
AL-ANWAR	NIL
Mount Lebanon	NIL
AD-DIYAR	http://dbpedia.org/resource/Ad-Diyar
Lebanon	http://dbpedia.org/resource/Lebanon
Pakistan	http://dbpedia.org/resource/Pakistan
Hariri	NIL
NIDA'A AL-WATAN	NIL
Maronite	http://dbpedia.org/resource/Maronite_Church
Sfeir	NIL
Gateway Data Sciences	NIL
PHOENIX	http://dbpedia.org/resource/Phoenix,_Arizona
Consolidated Financial Data	NIL
France	http://dbpedia.org/resource/France
Le Monde	http://dbpedia.org/resource/Le_Monde
PARIS	http://dbpedia.org/resource/Paris
Le Monde	http://dbpedia.org/resource/Le_Monde
Africans	http://dbpedia.org/resource/Africa
Alain Juppe	http://dbpedia.org/resource/Alain_Juppé
Paris	http://dbpedia.org/resource/Paris
FLNC	http://dbpedia.org/resource/National_Liberation_Front_of_Corsica
Corsican	http://dbpedia.org/resource/Corsica
Bally	http://dbpedia.org/resource/Bally_Shoe
French	http://dbpedia.org/resource/France
French	http://dbpedia.org/resource/France
Sud-PTT	http://dbpedia.org/resource/Sud-PTT
France Telecom	http://dbpedia.org/resource/France_Télécom
Paris Newsroom	NIL
OFFICIAL JOURNAL	NIL
OJ	NIL
Journal	NIL
Commission Regulation	NIL
EC	NIL
Commission Regulation	NIL
EC	NIL
OJ	NIL
Commission Regulation	NIL
EC	NIL
Oppenheimer Capital	NIL
NEW YORK	http://dbpedia.org/resource/New_York_City
Oppenheimer Capital LP	http://dbpedia.org/resource/Oppenheimer_Holdings
CBI	http://dbpedia.org/resource/Confederation_of_British_Industry
LONDON	http://dbpedia.org/resource/London
UK	NIL
Confederation of British Industry	http://dbpedia.org/resource/Confederation_of_British_Industry
CBI	http://dbpedia.org/resource/Confederation_of_British_Industry
CBI	http://dbpedia.org/resource/Confederation_of_British_Industry
UK	NIL
Rosemary Bennett	NIL
London Newsroom	NIL
London	http://dbpedia.org/resource/London
LONDON	http://dbpedia.org/resource/London
Iron Gippsland	NIL
Greek	http://dbpedia.org/resource/Greece
Sairyu Maru No: 2	NIL
Greek	http://dbpedia.org/resource/Greece
Stainless Fighter	NIL
Bosnia	http://dbpedia.org/resource/Bosnia
SARAJEVO	http://dbpedia.org/resource/Sarajevo
Sarajevo	http://dbpedia.org/resource/Sarajevo
Reuters	http://dbpedia.org/resource/Reuters
OSLOBODJENJE	http://dbpedia.org/resource/Oslobođenje
Bosnian	http://dbpedia.org/resource/Bosnia
Bosnian	http://dbpedia.org/resource/Bosnia
Croatian	http://dbpedia.org/resource/Croatia
Bosnian	http://dbpedia.org/resource/Bosnia
Bosnian Association for Refugees and Displaced Persons	NIL
Mirhunisa Komarica	NIL
Bosnian	http://dbpedia.org/resource/Bosnia
Srebrenica	http://dbpedia.org/resource/Srebrenica
Serbian	http://dbpedia.org/resource/Serbia
Komarica	NIL
Srebrenica	http://dbpedia.org/resource/Srebrenica
Trepca	NIL
Aleksandrovac	NIL
DNEVNI AVAZ	http://dbpedia.org/resource/Dnevni_Avaz
Slovenian	http://dbpedia.org/resource/Slovenia
Bosnian	http://dbpedia.org/resource/Bosnia
Ljubljana	http://dbpedia.org/resource/Ljubljana
Ljubljana	http://dbpedia.org/resource/Ljubljana
Maribor	http://dbpedia.org/resource/Maribor
Sarajevo	http://dbpedia.org/resource/Sarajevo
German	http://dbpedia.org/resource/Germany
FRANKFURT	http://dbpedia.org/resource/Frankfurt_am_Main
German	http://dbpedia.org/resource/Germany
German	http://dbpedia.org/resource/Germany
ADV	NIL
Berlin	http://dbpedia.org/resource/Berlin
Tegel	http://dbpedia.org/resource/Berlin_Tegel_Airport
Tempelhof	http://dbpedia.org/resource/Berlin_Tempelhof_Airport
Schoenefeld	NIL
Bremen	http://dbpedia.org/resource/Bremen_Airport
Dresden	http://dbpedia.org/resource/Dresden_Airport
Duessseldorf	NIL
Frankfurt	http://dbpedia.org/resource/Frankfurt_Airport
Hamburg	http://dbpedia.org/resource/Hamburg_Airport
Hannover	NIL
Koeln	NIL
Cologne	NIL
Leipzig	http://dbpedia.org/resource/Leipzig/Halle_Airport
Halle	NIL
Munich	http://dbpedia.org/resource/Munich_Airport
Muenster	NIL
Osnabrueck	NIL
Nuremberg	http://dbpedia.org/resource/Nuremberg_Airport
Saarbruecken	NIL
Stuttgart	http://dbpedia.org/resource/Stuttgart_Airport
Air Cargo Newsroom	NIL
BNZ	http://dbpedia.org/resource/Bank_of_New_Zealand
NZ	NIL
WELLINGTON	http://dbpedia.org/resource/Wellington
Bank of New Zealand	http://dbpedia.org/resource/Bank_of_New_Zealand
BNZ	http://dbpedia.org/resource/Bank_of_New_Zealand
Wellington	http://dbpedia.org/resource/Wellington
Ukraine	http://dbpedia.org/resource/Ukraine
Rostislav Khotin	NIL
KIEV	http://dbpedia.org/resource/Kiev
Ukraine	http://dbpedia.org/resource/Ukraine
Kremlin	http://dbpedia.org/resource/Government_of_Russia
post-Soviet	NIL
Ukraine	http://dbpedia.org/resource/Ukraine
Soviet	http://dbpedia.org/resource/Soviet_Union
Moscow	http://dbpedia.org/resource/Moscow
Ukraine	http://dbpedia.org/resource/Ukraine
Russian	http://dbpedia.org/resource/Russia
Russia	http://dbpedia.org/resource/Russia
Russia	http://dbpedia.org/resource/Russia
Chechnya	http://dbpedia.org/resource/Chechnya
Moldova	http://dbpedia.org/resource/Moldova
Soviet	http://dbpedia.org/resource/Soviet_Union
Georgia	http://dbpedia.org/resource/Georgia_(country)
Azerbaijan	http://dbpedia.org/resource/Azerbaijan
Tajikistan	http://dbpedia.org/resource/Tajikistan
Ukraine	http://dbpedia.org/resource/Ukraine
Leonid Kuchma	http://dbpedia.org/resource/Leonid_Kuchma
post-Soviet	http://dbpedia.org/resource/Post-Soviet_states
Kuchma	http://dbpedia.org/resource/Leonid_Kuchma
Ukraina Palace	NIL
Adelbert Knobl	NIL
International Monetary Fund	http://dbpedia.org/resource/International_Monetary_Fund
Ukraine	http://dbpedia.org/resource/Ukraine
Russian	http://dbpedia.org/resource/Russia
Ukraine	http://dbpedia.org/resource/Ukraine
Council of Europe	http://dbpedia.org/resource/Council_of_Europe
NATO	http://dbpedia.org/resource/NATO
Partnership for Peace	NIL
Ukraine	http://dbpedia.org/resource/Ukraine
China	http://dbpedia.org/resource/People's_Republic_of_China
Taiwanese	http://dbpedia.org/resource/Republic_of_China
China	http://dbpedia.org/resource/People's_Republic_of_China
Kiev	NIL
Hennady Udovenko	NIL
Beijing	http://dbpedia.org/resource/People's_Republic_of_China
Ukraine	http://dbpedia.org/resource/Ukraine
Russia	http://dbpedia.org/resource/Russia
Westernising	NIL
Europe	http://dbpedia.org/resource/Europe
European	http://dbpedia.org/resource/Europe
Ukraine	http://dbpedia.org/resource/Ukraine
post-Soviet	http://dbpedia.org/resource/Post-Soviet_states
Russia	http://dbpedia.org/resource/Russia
Kuchma	http://dbpedia.org/resource/Leonid_Kuchma
Ukraine	http://dbpedia.org/resource/Ukraine
Russia	http://dbpedia.org/resource/Russia
Kuchma	http://dbpedia.org/resource/Leonid_Kuchma
Kiev	NIL
European Union	http://dbpedia.org/resource/European_Union
Western European Union	NIL
NATO	http://dbpedia.org/resource/NATO
U.S.	http://dbpedia.org/resource/United_States
Bill Clinton	http://dbpedia.org/resource/Bill_Clinton
Ukraine	http://dbpedia.org/resource/Ukraine
Ukraine	http://dbpedia.org/resource/Ukraine
Europe	http://dbpedia.org/resource/Europe
Viacom	http://dbpedia.org/resource/Viacom_(1971–2005)
Mission	NIL
LOS ANGELES	http://dbpedia.org/resource/Los_Angeles
Paramount Pictures	http://dbpedia.org/resource/Paramount_Pictures
Tom Cruise	http://dbpedia.org/resource/Tom_Cruise
Mission: Impossible	NIL
Daily Variety	http://dbpedia.org/resource/Variety_(magazine)
Viacom Inc-owned	NIL
Paramount	http://dbpedia.org/resource/Paramount_Pictures
Forrest Gump	http://dbpedia.org/resource/Forrest_Gump
Cruise	http://dbpedia.org/resource/Tom_Cruise
Academy Award-winning	http://dbpedia.org/resource/Academy_Award
William Goldman	http://dbpedia.org/resource/William_Goldman
Mission: Impossible	NIL
Brian De Palma	http://dbpedia.org/resource/Brian_De_Palma
Goldman	http://dbpedia.org/resource/William_Goldman
Oscars	http://dbpedia.org/resource/Academy_Award
Butch Cassidy and the Sundance Kid	NIL
All the President's Men	NIL
Mission: Impossible	NIL
Daily Variety	http://dbpedia.org/resource/Variety_(magazine)
ANGOLA	http://dbpedia.org/resource/Angola
LUANDA	http://dbpedia.org/resource/Luanda
Angolan	http://dbpedia.org/resource/Angola
Reuters	http://dbpedia.org/resource/Reuters
JORNAL DE ANGOLA	NIL
Angolan	http://dbpedia.org/resource/Angola
UN Security Council	http://dbpedia.org/resource/United_Nations_Security_Council
Angola	http://dbpedia.org/resource/Angola
Unita	http://dbpedia.org/resource/UNITA
Government of National Unity and Reconciliation	NIL
Unita	http://dbpedia.org/resource/UNITA
National Assembly	http://dbpedia.org/resource/National_Assembly_of_Angola
Unita	http://dbpedia.org/resource/UNITA
Unita	http://dbpedia.org/resource/UNITA
Dos Santos	NIL
UN Security Council	http://dbpedia.org/resource/United_Nations_Security_Council
Lusaka Agreement	http://dbpedia.org/resource/Lusaka_Protocol
SC	NIL
Ulster Petroleums Ltd	NIL
CALGARY	http://dbpedia.org/resource/Calgary
C$	NIL
C$	NIL
C$	NIL
C$	NIL
Reuters Toronto Bureau	NIL
GMT	http://dbpedia.org/resource/Greenwich_Mean_Time
LONDON	http://dbpedia.org/resource/London
MIDEAST GULF	NIL
RED SEA	http://dbpedia.org/resource/Red_Sea
Konpolis	NIL
Mideast	http://dbpedia.org/resource/Middle_East
Indonesia	http://dbpedia.org/resource/Indonesia
KPC	NIL
TBN	NIL
Mideast	http://dbpedia.org/resource/Middle_East
W.C. India	NIL
E.C.India	NIL
IOC	http://dbpedia.org/resource/Indian_Oil_Corporation
ASIA PACIFIC	http://dbpedia.org/resource/Pacific_Rim
Petrobulk Rainbow	NIL
Okinawa	http://dbpedia.org/resource/Okinawa_Prefecture
Inchon	http://dbpedia.org/resource/Incheon
Honam	NIL
MED	http://dbpedia.org/resource/Mediterranean_Sea
BLACK SEA	http://dbpedia.org/resource/Black_Sea
TBN	NIL
Constanza	http://dbpedia.org/resource/Constanţa
Inia	http://dbpedia.org/resource/Inia,_Paphos
IOC	http://dbpedia.org/resource/Indian_Oil_Corporation
UK	NIL
Port Christine	NIL
Pembroke	http://dbpedia.org/resource/Pembroke,_Massachusetts
US	NIL
Stentex	NIL
WESTERN HEMISPHERE	http://dbpedia.org/resource/Western_Hemisphere
Kpaitan Stankov	NIL
St Croix	http://dbpedia.org/resource/Saint_Croix,_U.S._Virgin_Islands
USAC	NIL
Hess	NIL
AP Moller	NIL
Caribs	NIL
Japan	http://dbpedia.org/resource/Japan
BP	http://dbpedia.org/resource/BP
Tiber	NIL
Caribs	NIL
Stinnes	NIL
MIDEAST GULF	NIL
RED SEA	http://dbpedia.org/resource/Red_Sea
Tenacity	NIL
Mideast	http://dbpedia.org/resource/Middle_East
South Korea	http://dbpedia.org/resource/South_Korea
Samsung	http://dbpedia.org/resource/Samsung_Heavy_Industries
SKS Tana	NIL
Mideast	http://dbpedia.org/resource/Middle_East
Japan	http://dbpedia.org/resource/Japan
CNR	NIL
Northsea Chaser	NIL
Mideast	http://dbpedia.org/resource/Middle_East
Japan	http://dbpedia.org/resource/Japan
Jomo	NIL
Sibonina	NIL
Red Sea	http://dbpedia.org/resource/Red_Sea
Japan	http://dbpedia.org/resource/Japan
Marubeni	http://dbpedia.org/resource/Marubeni
ASIA	http://dbpedia.org/resource/Asia
PACIFIC	NIL
Neptune Crux	NIL
Singapore	http://dbpedia.org/resource/Singapore
Sietco	NIL
World Bridge	NIL
South Korea	http://dbpedia.org/resource/South_Korea
Japan	http://dbpedia.org/resource/Japan
CNR	NIL
Fulmar	NIL
Ulsan	http://dbpedia.org/resource/Ulsan
Yosu	http://dbpedia.org/resource/Yeosu
LG Caltex	NIL
MED	NIL
BLACK SEA	http://dbpedia.org/resource/Black_Sea
Hemina	NIL
Eleusis	http://dbpedia.org/resource/Eleusina
UKCM	NIL
CNR	NIL
London Newsroom	NIL
Lufthansa	http://dbpedia.org/resource/Lufthansa
FRANKFURT	http://dbpedia.org/resource/Frankfurt_am_Main
Lufthansa Cargo AG	NIL
Deutsche Lufthansa AG	http://dbpedia.org/resource/Lufthansa
Lufthanseat	NIL
Dm	NIL
Dm	NIL
Dm	NIL
Dm	NIL
Dm	NIL
Air Cargo Newsroom	NIL
Windows 95	http://dbpedia.org/resource/Windows_95
Martin Wolk	NIL
SEATTLE	http://dbpedia.org/resource/Seattle
Microsoft Corp.	http://dbpedia.org/resource/Microsoft
Windows 95	http://dbpedia.org/resource/Windows_95
Windows 95	http://dbpedia.org/resource/Windows_95
Redmond	http://dbpedia.org/resource/Redmond,_Washington
Wash.-based	NIL
Times of London	http://dbpedia.org/resource/The_Times
New York	http://dbpedia.org/resource/New_York_City
