Heidrun	http://dbpedia.org/resource/Heidrun_oil_field
Statoil	http://dbpedia.org/resource/Statoil
OSLO	http://dbpedia.org/resource/Oslo
Heidrun	http://dbpedia.org/resource/Heidrun_oil_field
mid-Norway	NIL
Den Norske Stats Oljeselskap AS	NIL
Statoil	http://dbpedia.org/resource/Statoil
Heidrun	http://dbpedia.org/resource/Heidrun_oil_field
Status Weekly	NIL
Oslo	http://dbpedia.org/resource/Oslo
Argentine	http://dbpedia.org/resource/Argentina
BUENOS AIRES	http://dbpedia.org/resource/Buenos_Aires
Argentine	http://dbpedia.org/resource/Argentina
Steel Industry Center	NIL
Jason Webb	NIL
Buenos Aires Newsroom	NIL
Palestinians	http://dbpedia.org/resource/State_of_Palestine
PA	NIL
NABLUS	http://dbpedia.org/resource/Nablus
West Bank	NIL
West Bank	NIL
Palestinian Information Ministry	NIL
Israeli-PLO	NIL
Amman	http://dbpedia.org/resource/Amman
Daoud Makkawi	NIL
Nablus-based	NIL
al-Risala	NIL
Reuters	http://dbpedia.org/resource/Reuters
Jordan	http://dbpedia.org/resource/Jordan
Edward Said	http://dbpedia.org/resource/Edward_Said
New York City	http://dbpedia.org/resource/New_York_City
Columbia University	http://dbpedia.org/resource/Columbia_University
Said	http://dbpedia.org/resource/Edward_Said
U.S.	http://dbpedia.org/resource/United_States
Palestinian	http://dbpedia.org/resource/State_of_Palestine
Israeli-PLO	NIL
West Bank	NIL
Ramallah	http://dbpedia.org/resource/Ramallah
Said	http://dbpedia.org/resource/Edward_Said
Israel-PLO	NIL
Palestinian Information Ministry	NIL
Mutawakel Taha	NIL
Palestinian Authority	http://dbpedia.org/resource/Palestinian_National_Authority
Taha	NIL
Reuters	http://dbpedia.org/resource/Reuters
Taha	NIL
Daoud	NIL
British	http://dbpedia.org/resource/United_Kingdom
Patrick Seale	http://dbpedia.org/resource/Patrick_Seale
Daoud	NIL
West Bank	NIL
Gaza Strip	http://dbpedia.org/resource/Gaza_Strip
Israeli	http://dbpedia.org/resource/Israel
Jewish	http://dbpedia.org/resource/Jews
PLO	NIL
Malaysia	http://dbpedia.org/resource/Malaysia
KUALA LUMPUR	http://dbpedia.org/resource/Kuala_Lumpur
Malaysia	http://dbpedia.org/resource/Malaysia
Chua Jui	NIL
Bernama	http://dbpedia.org/resource/Bernama
Chua	http://dbpedia.org/resource/Chua_Jui_Meng
WSC-India	NIL
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
Little	NIL
India	http://dbpedia.org/resource/India
Weather Services Corporation	NIL
Goldman Sachs	http://dbpedia.org/resource/Goldman_Sachs
Continental	http://dbpedia.org/resource/Continental_AG
LONDON	http://dbpedia.org/resource/London
Goldman Sachs & Co Wertpapier GmbH	NIL
American-style	NIL
Continental AG	http://dbpedia.org/resource/Continental_AG
Goldman Sachs & Co	http://dbpedia.org/resource/Goldman_Sachs
DEM	http://dbpedia.org/resource/Deutsche_Mark
DEM	http://dbpedia.org/resource/Deutsche_Mark
DEM	http://dbpedia.org/resource/Deutsche_Mark
Reuter London Newsroom	NIL
Prairies	http://dbpedia.org/resource/Canadian_Prairies
WINNIPEG	http://dbpedia.org/resource/Winnipeg
Canada	http://dbpedia.org/resource/Canada
Prairies	http://dbpedia.org/resource/Canadian_Prairies
Labour Day	http://dbpedia.org/resource/Labour_Day
Environment Canada	http://dbpedia.org/resource/Environment_Canada
Alberta	http://dbpedia.org/resource/Alberta
Gerald Machnee	NIL
Reuters	http://dbpedia.org/resource/Reuters
Sprague	http://dbpedia.org/resource/Sprague,_Manitoba
Manitoba	NIL
Minnesota	http://dbpedia.org/resource/Minnesota
Prairies	http://dbpedia.org/resource/Canadian_Prairies
Celsius	http://dbpedia.org/resource/Celsius
F	NIL
Celsius	http://dbpedia.org/resource/Celsius
Celsius	http://dbpedia.org/resource/Celsius
F	NIL
North Battleford	http://dbpedia.org/resource/North_Battleford
Sask	NIL
Celsius	http://dbpedia.org/resource/Celsius
