IPO	http://dbpedia.org/resource/Intellectual_Property_Owners_Association
Transkaryotic Therapies Inc	NIL
WASHINGTON	http://dbpedia.org/resource/Washington,_D.C.
Transkaryotic Therapies Inc	NIL
Nasdaq	http://dbpedia.org/resource/NASDAQ
Morgan Stanley and Co Inc	NIL
Hoechst Marion Roussel Inc	NIL
Homegate Hospitality Inc	NIL
WASHINGTON	http://dbpedia.org/resource/Washington,_D.C.
Name	NIL
Homegate Hospitality Inc	NIL
Nasdaq	http://dbpedia.org/resource/NASDAQ
Bear Stearns & Co Inc	NIL
United States	http://dbpedia.org/resource/United_States
