WORLD SERIES OF GOLF	http://dbpedia.org/resource/World_Series_of_Golf
AKRON	http://dbpedia.org/resource/Akron,_Ohio
Ohio	http://dbpedia.org/resource/Ohio
NEC World Series of Golf	http://dbpedia.org/resource/WGC-Bridgestone_Invitational
Firestone C.C	NIL
U.S.	http://dbpedia.org/resource/United_States
Paul Goydos	http://dbpedia.org/resource/Paul_Goydos
Billy Mayfair	http://dbpedia.org/resource/Billy_Mayfair
Hidemichi Tanaka	http://dbpedia.org/resource/Hidemichi_Tanaka
Japan	http://dbpedia.org/resource/Japan
Steve Stricker	http://dbpedia.org/resource/Steve_Stricker
Justin Leonard	http://dbpedia.org/resource/Justin_Leonard
Mark Brooks	http://dbpedia.org/resource/Mark_Brooks_(golfer)
Tim Herron	http://dbpedia.org/resource/Tim_Herron
Duffy Waldorf	http://dbpedia.org/resource/Duffy_Waldorf
Davis Love	http://dbpedia.org/resource/Davis_Love_III
Anders Forsbrand	http://dbpedia.org/resource/Anders_Forsbrand
Sweden	http://dbpedia.org/resource/Sweden
Nick Faldo	http://dbpedia.org/resource/Nick_Faldo
Britain	http://dbpedia.org/resource/United_Kingdom
John Cook	http://dbpedia.org/resource/John_Cook_(golfer)
Steve Jones	http://dbpedia.org/resource/Steve_Jones_(golfer)
Phil Mickelson	http://dbpedia.org/resource/Phil_Mickelson
Greg Norman	http://dbpedia.org/resource/Greg_Norman
Australia	http://dbpedia.org/resource/Australia
Ernie Els	http://dbpedia.org/resource/Ernie_Els
South Africa	http://dbpedia.org/resource/South_Africa
Scott Hoch	http://dbpedia.org/resource/Scott_Hoch
Clarence Rose	http://dbpedia.org/resource/Clarence_Rose
Loren Roberts	http://dbpedia.org/resource/Loren_Roberts
Fred Funk	http://dbpedia.org/resource/Fred_Funk
Sven Struver	http://dbpedia.org/resource/Sven_Strüver
Germany	http://dbpedia.org/resource/Germany
Alexander Cejka	http://dbpedia.org/resource/Alex_Čejka
Germany	http://dbpedia.org/resource/Germany
Hal Sutton	http://dbpedia.org/resource/Hal_Sutton
Tom Lehman	http://dbpedia.org/resource/Tom_Lehman
D.A. Weibring	http://dbpedia.org/resource/D._A._Weibring
Brad Bryant	http://dbpedia.org/resource/Brad_Bryant
Craig Parry	http://dbpedia.org/resource/Craig_Parry
Australia	http://dbpedia.org/resource/Australia
Stewart Ginn	http://dbpedia.org/resource/Stewart_Ginn
Australia	http://dbpedia.org/resource/Australia
Corey Pavin	http://dbpedia.org/resource/Corey_Pavin
Craig Stadler	http://dbpedia.org/resource/Craig_Stadler
Mark O'Meara	NIL
Fred Couples	http://dbpedia.org/resource/Fred_Couples
Paul Stankowski	http://dbpedia.org/resource/Paul_Stankowski
Costantino Rocca	http://dbpedia.org/resource/Costantino_Rocca
Italy	http://dbpedia.org/resource/Italy
Jim Furyk	http://dbpedia.org/resource/Jim_Furyk
Satoshi Higashi	http://dbpedia.org/resource/Satoshi_Higashi
Japan	http://dbpedia.org/resource/Japan
Willie Wood	http://dbpedia.org/resource/Willie_Wood_(golfer)
Shigeki Maruyama	http://dbpedia.org/resource/Shigeki_Maruyama
Japan	http://dbpedia.org/resource/Japan
Scott McCarron	http://dbpedia.org/resource/Scott_McCarron
Wayne Westner	http://dbpedia.org/resource/Wayne_Westner
South Africa	http://dbpedia.org/resource/South_Africa
