Egypt	http://dbpedia.org/resource/Egypt
Istanbul	http://dbpedia.org/resource/Istanbul
CAIRO	http://dbpedia.org/resource/Cairo
EgyptAir	http://dbpedia.org/resource/EgyptAir
Istanbul	http://dbpedia.org/resource/Istanbul
EgyptAir	http://dbpedia.org/resource/EgyptAir
EgyptAir	http://dbpedia.org/resource/EgyptAir
Boeing	http://dbpedia.org/resource/Boeing
Mohamed Fahim Rayyan	NIL
Cairo	http://dbpedia.org/resource/Cairo
Turkish	NIL
Turkish	NIL
EgyptAir	http://dbpedia.org/resource/EgyptAir
Turkish	NIL
Ihlas	NIL
English	http://dbpedia.org/resource/English_language
Internet Startup	NIL
Java	http://dbpedia.org/resource/Java_(programming_language)
MOUNTAIN VIEW	http://dbpedia.org/resource/Mountain_View,_California
Calif.	http://dbpedia.org/resource/California
Sun Microsystems Inc.	http://dbpedia.org/resource/Sun_Microsystems
JavaSoft	NIL
Internet Startup	NIL
Java	http://dbpedia.org/resource/Java_(programming_language)
Bessemer Venture Partners	http://dbpedia.org/resource/Bessemer_Venture_Partners
Menlo Park	http://dbpedia.org/resource/Menlo_Park,_California
Calif	http://dbpedia.org/resource/California
David Cowan	NIL
Internet Startup	NIL
Bessemer	http://dbpedia.org/resource/Bessemer_Venture_Partners
Jim Bidzos	NIL
RSA Data Security	http://dbpedia.org/resource/RSA_Security
Security Dynamics Technologies Inc.	NIL
VeriSign	http://dbpedia.org/resource/VeriSign
Internet Startup	NIL
JavaSoft	NIL
Apple Computer Inc.	http://dbpedia.org/resource/Apple_Inc.
Oracle Systems	NIL
Java	http://dbpedia.org/resource/Java_(programming_language)
Internet	http://dbpedia.org/resource/World_Wide_Web
Hong Bui	NIL
JavaSoft	NIL
Java	http://dbpedia.org/resource/Java_(programming_language)
Sun Microsystems	http://dbpedia.org/resource/Sun_Microsystems
Sun Microsystems	http://dbpedia.org/resource/Sun_Microsystems
Silicon Valley	http://dbpedia.org/resource/Silicon_Valley
Kleiner Perkins Caufield & Byers	http://dbpedia.org/resource/Kleiner_Perkins_Caufield_&_Byers
Kleiner Perkins	http://dbpedia.org/resource/Kleiner_Perkins_Caufield_&_Byers
Java	http://dbpedia.org/resource/Java_(programming_language)
Java	http://dbpedia.org/resource/Java_(programming_language)
Microsoft Corp.	http://dbpedia.org/resource/Microsoft
International Business Machines Corp.	http://dbpedia.org/resource/IBM
Taiwan	http://dbpedia.org/resource/Taiwan
Prasad Wagle	NIL
JavaSoft	NIL
Internet Startup	NIL
Java	http://dbpedia.org/resource/Java_(programming_language)
Java	http://dbpedia.org/resource/Java_(programming_language)
Chris Zuleeg	NIL
Apple	http://dbpedia.org/resource/Apple_Inc.
JavaSoft	NIL
Internet Startup	NIL
Bessemer	http://dbpedia.org/resource/Bessemer_Venture_Partners
Internet	http://dbpedia.org/resource/World_Wide_Web
PSI Net	http://dbpedia.org/resource/PSINet
VeriSign	http://dbpedia.org/resource/VeriSign
Individual	NIL
Mostostal Z	NIL
WARSAW	http://dbpedia.org/resource/Warsaw
Polish	http://dbpedia.org/resource/Poland
Mostostal Zabrze Holding SA	NIL
Piotr Grabowski	NIL
Reuters	http://dbpedia.org/resource/Reuters
Mostostal	http://dbpedia.org/resource/Mostostal
Mostostal	http://dbpedia.org/resource/Mostostal
Grabowksi	NIL
Mostostal	http://dbpedia.org/resource/Mostostal
Poland	http://dbpedia.org/resource/Poland
Polish Development Bank	NIL
PBR	NIL
Warsaw	http://dbpedia.org/resource/Warsaw
Grabowski	NIL
Mostostal	http://dbpedia.org/resource/Mostostal
Warsaw Newsroom	NIL
Brazil	http://dbpedia.org/resource/Brazil
Banespa	NIL
SAO PAULO	http://dbpedia.org/resource/São_Paulo
Brazil	http://dbpedia.org/resource/Brazil
