Canada	http://dbpedia.org/resource/Canada
OTTAWA	http://dbpedia.org/resource/Ottawa
Canadian	http://dbpedia.org/resource/Canada
Canada	http://dbpedia.org/resource/Canada
Statistics Canada	http://dbpedia.org/resource/Statistics_Canada
C$	NIL
C$	NIL
C$	NIL
Canadians	http://dbpedia.org/resource/Canada
C$	NIL
Reuters Ottawa Burea	NIL
China	http://dbpedia.org/resource/People's_Republic_of_China
Guilin	http://dbpedia.org/resource/Guilin
BEIJING	http://dbpedia.org/resource/Beijing
China	http://dbpedia.org/resource/People's_Republic_of_China
Guilin	http://dbpedia.org/resource/Guilin
Guangxi	http://dbpedia.org/resource/Guangxi
Xinhua	http://dbpedia.org/resource/Xinhua_News_Agency
State Council	http://dbpedia.org/resource/State_Council_of_the_People's_Republic_of_China
Civil Aviation Administration of China	http://dbpedia.org/resource/Civil_Aviation_Administration_of_China
General Administration of Customs	http://dbpedia.org/resource/General_Administration_of_Customs
Xinhua	http://dbpedia.org/resource/Xinhua_News_Agency
Guangxi	http://dbpedia.org/resource/Guangxi
China	http://dbpedia.org/resource/People's_Republic_of_China
Guilin	http://dbpedia.org/resource/Guilin
China	http://dbpedia.org/resource/People's_Republic_of_China
