CIS	NIL
MOSCOW	http://dbpedia.org/resource/Moscow
Commonwealth of Independent States	NIL
Russian Weather Service	NIL
Moscow Newsroom	NIL
WSC-India	NIL
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
India	http://dbpedia.org/resource/India
Little	NIL
India	http://dbpedia.org/resource/India
Weather Services Corporation	NIL
Prairies	http://dbpedia.org/resource/Canadian_Prairies
WINNIPEG	http://dbpedia.org/resource/Winnipeg
Canada	http://dbpedia.org/resource/Canada
Prairies	http://dbpedia.org/resource/Canadian_Prairies
Labour Day	http://dbpedia.org/resource/Labour_Day
Environment Canada	http://dbpedia.org/resource/Environment_Canada
Alberta	http://dbpedia.org/resource/Alberta
Gerald Machnee	NIL
Reuters	http://dbpedia.org/resource/Reuters
Sprague	http://dbpedia.org/resource/Sprague,_Manitoba
Manitoba	NIL
Minnesota	http://dbpedia.org/resource/Minnesota
Prairies	http://dbpedia.org/resource/Canadian_Prairies
Celsius	http://dbpedia.org/resource/Celsius
F	NIL
Celsius	http://dbpedia.org/resource/Celsius
Celsius	http://dbpedia.org/resource/Celsius
F	NIL
North Battleford	http://dbpedia.org/resource/North_Battleford
Sask	NIL
Celsius	http://dbpedia.org/resource/Celsius
F	NIL
Grande Prairie	http://dbpedia.org/resource/Grande_Prairie
Alta	NIL
Peace River Valley	http://dbpedia.org/resource/Peace_River_(Canada)
Celsius	http://dbpedia.org/resource/Celsius
F	NIL
Machnee	NIL
Prairies	http://dbpedia.org/resource/Canadian_Prairies
Celsius	http://dbpedia.org/resource/Celsius
Celsius	http://dbpedia.org/resource/Celsius
Gilbert Le Gras	NIL
CIS	NIL
MOSCOW	http://dbpedia.org/resource/Moscow
Commonwealth of Independent States	NIL
Russian Weather Service	NIL
Moscow Newsroom	NIL
U.S.	http://dbpedia.org/resource/United_States
Greg Frost	NIL
KANSAS CITY	http://dbpedia.org/resource/Kansas_City,_Missouri
Mo	NIL
U.S.	http://dbpedia.org/resource/United_States
High Plains	http://dbpedia.org/resource/High_Plains_(United_States)
Texas	http://dbpedia.org/resource/Texas
Kansas	http://dbpedia.org/resource/Kansas
Kim Anderson	NIL
Oklahoma State University	http://dbpedia.org/resource/Oklahoma_State_University–Stillwater
High Plains	http://dbpedia.org/resource/High_Plains_(United_States)
Dust Bowl	http://dbpedia.org/resource/Dust_Bowl
Mark Hodges	NIL
Oklahoma Wheat Commission	NIL
Oklahoma Climatological Survey	NIL
Howard Johnson	NIL
University of Oklahoma	http://dbpedia.org/resource/University_of_Oklahoma
Texas	http://dbpedia.org/resource/Texas
Oklahoma	http://dbpedia.org/resource/Oklahoma
Rodney Mosier	NIL
Texas Wheat Producers	NIL
Texas Panhandle	http://dbpedia.org/resource/Texas_Panhandle
Mosier	NIL
Texas	http://dbpedia.org/resource/Texas
Dolly	NIL
Kansas	http://dbpedia.org/resource/Kansas
U.S.	http://dbpedia.org/resource/United_States
Kansas	http://dbpedia.org/resource/Kansas
Oklahoma	http://dbpedia.org/resource/Oklahoma
Agricultural Statistics Service	NIL
Texas Agricultural Statistics Service	NIL
Greg Frost	NIL
Belgium	http://dbpedia.org/resource/Belgium
BRUSSELS	http://dbpedia.org/resource/Brussels
Belgium	http://dbpedia.org/resource/Belgium
Brussels	http://dbpedia.org/resource/Brussels
Royal Meteorological Institute	http://dbpedia.org/resource/Royal_Meteorological_Institute
RMT	NIL
RMT	NIL
Turnhout	http://dbpedia.org/resource/Turnhout
Belgian	http://dbpedia.org/resource/Belgium
Jumet	http://dbpedia.org/resource/Jumet
Mauritius	http://dbpedia.org/resource/Mauritius
PORT LOUIS	http://dbpedia.org/resource/Port_Louis
Mauritian	http://dbpedia.org/resource/Mauritius
Indian Ocean	NIL
Daniella	NIL
Mauritius	http://dbpedia.org/resource/Mauritius
Mauritius	http://dbpedia.org/resource/Mauritius
Port Louis	http://dbpedia.org/resource/Port_Louis
Madagascar	http://dbpedia.org/resource/Madagascar
CIS	NIL
MOSCOW	http://dbpedia.org/resource/Moscow
CIS	NIL
Russian Weather Service	NIL
Moscow Newsroom	NIL
