 U.S. Department of Defense (The Pentagon)	http://dbpedia.org/resource/United_States_Department_of_Defense
100 aircraft	PRO39474364709951816
1000 pages of documentation	PRO39489313656877137
102 and 21 people	PER39496097871844246
12 Airbus aircrafts	PRO39493517060920560
13 billion contract	FIN39496666069037044
14 new 787 dreamliners	
14 new Airbus Airliners	PRO39496888809299967
15000 people	PER39502696167157003
179 tankers	PRO39498261379485028
18 777s and 14 787s	
18 777s and 46 787s	
18 more 777s	
2 Airbus A380's	PRO39478471955908380
20 Boeing 777 planes	
200-250 seats	no er
22 new Boeing 787 Dreamliners	PRO39561857490324762
228 people	PER39500878948064823
24 A320s	PRO39493559718147512
2400 units	PRO39480952168989091
290 passengers (and cargo)	PER39496792882268706
301 passengers	PER39476199612922914
3D digital mock-up	PRO39480385099731102
400 guests	PER39494979522396588
4300 jobs	FIN39486420201433790
46 more 787	
5 aircrafts	PRO39497061166580768
5 new 737 aircraft	PRO39477509645841750
50 787s	
500 guests	PER39494574240335139
500 people	PER39487133565576914
5000 vips	
550	
555 people	no er
6 A321s	PRO39493573622578479
6 more A350s	PRO39493715346422211
60 Boeing 787 Dreamliner	
777 airliner	
787 Dreamliner	http://dbpedia.org/page/Boeing_787_Dreamliner
8 A330s	PRO39493607798952136
840 people	no er
A new airliner	PRO39561657441219176
Adam Air	http://dbpedia.org/page/Adam_Air
Aerial refueling tankers	PRO39496959734511487
Aeroflot	http://dbpedia.org/resource/Aeroflot
Air Canada	http://dbpedia.org/page/Air_Canada
Air Carriers	ORG39495940758598218
Air China Limited	http://dbpedia.org/resource/Air_China
Air France	http://dbpedia.org/page/Air_France
Air India	http://dbpedia.org/page/Air_India
Air Lingus	http://dbpedia.org/resource/Aer_Lingus
AirTanker Services	http://dbpedia.org/page/AirTanker_Services
AirTran Airways	http://dbpedia.org/resource/AirTran_Airways
Airbus	http://dbpedia.org/page/Airbus
Airbus A320 aircraft 	PRO27734476499966231
Airbus A321 aircraft	PRO27734515672944779
Airbus A330 aircraft	http://dbpedia.org/resource/Airbus_A330
Airbus A330-300E aircraft	PRO27734673718959924
Airbus A350 XWB (Extra Wide Body) aircraft	http://dbpedia.org/resource/Airbus_A350_XWB
Airbus A380	http://dbpedia.org/page/Airbus_A380
Airbus A380's	
Airbus A400M Atlas	http://dbpedia.org/page/Airbus_A400M_Atlas
Airbus website	
Airbus' delivery center	
Aircraft fleet	PRO39481080538363706
Airliners	PRO39475476568057583
Airlines	ORG39561472199374551
Alabama, US	http://dbpedia.org/page/Alabama
All 51 Indonesia Air Carriers	ORG39495985642266461
All Airbus Fleet	PRO39493590269822197
All Nippon Airways (ANA)	http://dbpedia.org/page/All_Nippon_Airways
American format	PRO39502876386104006
Any other airliner	PRO39476256986837151
Any two cities	LOC39476163095718390
Arizona Republican Party (R-AZ)	http://dbpedia.org/resource/Arizona_Republican_Party
Asia	http://dbpedia.org/resource/Asia
Atlantic Ocean	http://dbpedia.org/page/Atlantic_Ocean
Australia	http://dbpedia.org/resource/Australia
Aviation industry	FIN39480880133290753
Bangkok, Thailand	http://dbpedia.org/resource/Bangkok
Black box	PRO39500951238584697
Blended winglets	PRO39477531737033009
Boeing	http://dbpedia.org/page/Boeing
Boeing 717 airliner	http://dbpedia.org/page/Boeing_717
Boeing 737 airliner	http://dbpedia.org/page/Boeing_737
Boeing 747 airliner	http://dbpedia.org/page/Boeing_747
Boeing 777	http://dbpedia.org/page/Boeing_777
Boeing Delta Program business units	ORG27736196070201058
Boeing and Martin	
Boeing employees	PER39480894973432913
Boeing factory in Long Beach	LOC27743863144682669
Boeing's Launch Services	ORG27736154624392526
Boeing's Launch Systems	ORG27736133055981313
British	
California, US	http://dbpedia.org/resource/California
Changi Airport	http://dbpedia.org/page/Singapore_Changi_Airport
Chiang Mai International Airport	http://dbpedia.org/resource/Chiang_Mai_International_Airport
Chicago, US	http://dbpedia.org/resource/Chicago
China (People's Republic of China)	http://dbpedia.org/resource/China
China Eastern Airlines	http://dbpedia.org/page/China_Eastern_Airlines
China Southern Airlines Company Limited	http://dbpedia.org/resource/China_Southern_Airlines
Commercial leasing rights	FIN39496703588597410
Contract	FIN39500172694950632
Current Fleet	PRO39497012900575606
Der Spiegel	http://dbpedia.org/page/Der_Spiegel
Design of the electrical installation	PRO39480419094047114
Detik.com	http://dbpedia.org/page/DetikCom
Different airlines	ORG39475353121778559
Domestic routes	PRO39500250682445994
Douglas Aircraft Comany	http://dbpedia.org/resource/Douglas_Aircraft_Company
Dubai, United Arab Emirates	http://dbpedia.org/resource/Dubai
EADS	http://dbpedia.org/page/Airbus_Group
EU	http://dbpedia.org/page/European_Union
Earth	http://dbpedia.org/resource/Earth
Engine	PRO39502288671329030
Engines	PRO39479921806360232
Engines	PRO39494630138843850
Europe	http://dbpedia.org/resource/Europe
European aircraft	PRO39496188778265087
European manufacturers	ORG39495834363213309
Europrop	
Everett Factory	http://dbpedia.org/resource/Boeing_Everett_Factory
