1000 songs	PRO56089407071601687
15 or 17 displays	PRO47183691115351631
2 Ghz model	PRO47183590764277419
30GB iPod	PRO55740722624386180
4 billion songs	PRO56147418383194168
500 songs	PRO56089437928481843
60GB iPod	PRO55740728882179161
APPLE	http://dbpedia.org/resource/Apple_Inc.
Apple Inc defence	PER56156697017822717
Apple Macintosh computer	http://dbpedia.org/resource/Macintosh
Apple TRADEMARK	http://dbpedia.org/resource/Trademark
Apple brand	PRO47026238810201852
Apple division	ORG55895983009005716
Apple executives	PER56154654431469039
Apple headquarters at Cupertino	LOC55760546207313569
Apple logo	PRO55735156504893551
Apple store	http://dbpedia.org/resource/Apple_Store
Apple website and customer service line	PRO55736023743968165
BEATLES APPLE CORPS	http://dbpedia.org/resource/Apple_Corps
Beatles	http://dbpedia.org/resource/The_Beatles
Beatles Apple Corps and Apple Computer	ORG47025863678468231
California Theater	PRO56086237151281630
California, US	http://dbpedia.org/resource/California
Cisco and Apple Inc.	ORG56093443932553403
Cupertino, California	http://dbpedia.org/resource/Cupertino,_California
EU	http://dbpedia.org/page/European_Union
Earth	http://dbpedia.org/resource/Earth
Gizmodo technology blog	http://dbpedia.org/resource/Gizmodo
IPHONE (GENERIC)	http://dbpedia.org/resource/IPhone
IPOD	http://dbpedia.org/resource/IPod
IPOD NANO	http://dbpedia.org/resource/IPod_Nano
IPhone 4 issue FBK	OTH36541780928675207
Intel Core Duo processors	PRO47183526081335442
Intel Inc.	http://dbpedia.org/resource/Intel
London, UK	http://dbpedia.org/resource/London
MWCC	http://dbpedia.org/resource/Moscone_Center
Mac OS X	http://dbpedia.org/resource/OS_X
Mac OS X Lion	http://dbpedia.org/resource/Mac_OS_X_Lion
Mac OS X Lion, iOS 5 and iCloud	PRO47186052778586394
Macbook	http://dbpedia.org/resource/MacBook
Macbook and Macbook pro	PRO47183429864150412
Macbook line	http://dbpedia.org/resource/MacBook_family
Macbook pro	http://dbpedia.org/resource/MacBook_Pro
Macintosh users	PER47187995070398978
Macintosh users and Macintosh curious	PER55892175036030506
Mail and Safari and iChat	PRO55893840746225231
Mark Papermaster	http://dbpedia.org/resource/Mark_Papermaster
NPD Group	http://dbpedia.org/resource/NPD_Group
No 2 US music seller	PRO56147275615439098
Quartz system utilities	PRO55894556413442138
San Francisco	http://dbpedia.org/resource/San_Francisco
San Jose, California	http://dbpedia.org/resource/San_Jose,_California
Some customers of iPhone 4	PER55735435605987273
Steve Jobs	http://dbpedia.org/resource/Steve_Jobs 
TV episodes	PRO55895161082229789
UK iTunes prices	FIN55899157220703028
United States of America 	http://dbpedia.org/resource/United_States
algorithm in the OS X Tiger	PRO55894383817219927
all devices of Apple	PRO47186241900628688
all features of the iPhone	PRO56155231981286331
application software of Tiger	PRO55894392940464297
board of directors of Apple	PER55723825533988283
bulletin boards	PRO55892527539612109
called S10-SE - (Steve Jobs)	call.01
chatrooms and bulletin boards	PRO55893760953193503
customer service line of Apple	PRO55735797044138023
data	PRO55731958369465525
described-SE - (Steve Jobs)	describe.01
developers	PER55724376915329981
dial number and make phone calls	PRO55725855566434151
e-mail client Mail	Mail_(OS_X)
email	PRO55723566862843944
feature to record sound	PRO55738528215959750
feature to record video	PRO55738480636456430
feature to record video and sound	PRO55738513220557043
fight-SE - (Steve Jobs)	fight.01
film industry	http://dbpedia.org/resource/Film_Industry
films	PRO55895049792195585
flash memory	http://dbpedia.org/resource/Flash_memory
high-end graphics, video and sound tools	PRO47184899208275124
iBook	http://dbpedia.org/resource/IBook
iMac	http://dbpedia.org/resource/IMac
iOS	http://dbpedia.org/resource/IOS
iOS 4	http://dbpedia.org/resource/IOS_4
iPad	http://dbpedia.org/resource/IPad
iPhone 3.0 software	PRO55738585562407114
iPhone 3G	PRO20564229258253078
iPhone 4 case	PRO55732398969374301
iPhone SDK	http://dbpedia.org/resource/IOS_SDK
iPhone and Apple TV	PRO55725465371074692
iPhone owners	PER55738801540351056
iPhone prototype	PRO55896052217421650
iPhone trademark	PRO55895867905093419
iPhone4-EHU	PRO36907219772334161
iPhones before iPhone 3G	PRO55759867987872952
iPod Nano and iPod Video	PRO55737693170298854
iPod Shuffle	http://dbpedia.org/resource/IPod_Shuffle
iPod Software 1.1.1	PRO55737494288816007
iPod touch	http://dbpedia.org/resource/IPod_Touch
iPod with video and video section	PRO55741219637303792
iTunes music store	http://dbpedia.org/resource/ITunes_Store
iTunes phone	PRO55739424832388836
internal memo at Apple	PRO55760271615749101
internet access	PRO55753605359932840
letter	PRO55723848352423769
lost S13-SE - (Steve Jobs)	lose.02
make phone calls	PRO55725840407942274
many buyers of iPhone 4	PER55735512998513962
market value of Apple Inc.	FIN47082360918924112
marketed-SE - (iPod)	market.01
media and consumers	PER56156999657894347
media and iPhone owners	PER56156430653087743
members of the iPhone Developer Program 	PER55761288463185272
memo	PRO55723580676108497
memory space	PRO55898531803660803
meta-data used in Tiger algorithm	PRO55894465765921756
mobile version of Mac OS X	PRO55725646074536589
multi-person audio / video / text messaging client iChat	http://dbpedia.org/resource/IChat
music	PRO55898998032559275
music buisness	http://dbpedia.org/resource/Music_industry
music sell by Apple but not branded	PRO55737223817565056
name and logo of Apple Inc.	PRO56148843147308191
network and communication systems	PRO55896086605021050
new features added to Mac OS X	PRO47186328014864900
new lineup of Macbook Air laptops	PRO47185305021151627
number dial	PRO55725824557210799
other customers of iPhone 4	PER55735537395054379
persons amazed by the future Mac	PER55724336030313137
podcast	http://dbpedia.org/resource/Podcast
predecessor	PRO47184345966677594
price of the iPhone in US	FIN56155445956462369
pricing structures	FIN55895364482390762
produce-SE - (iPod)	produce.01
profits	FIN55896206410543487
recording on the phone lines of Apple	PRO55735872312924050
released-SE - (iTunes Music Store)	release.01
renamed (to iTunes Music Store)	rename.01
report in Ars Technica	PRO55760301009673938
resolution of video	PRO56086506856179914
reveal S19-SE - (Steve Jobs)	reveal.01
say-SE - (Steve Jobs)	say.01
saying-SE - (Steve Jobs)	say.01
signal	PRO55732437421558798
slated S12-SE - (iPhone 4)	slate.01
software developers	PER56086603337165650
sound tool	PRO47184715195821221
the High Court of Justice	http://dbpedia.org/resource/High_Court_of_Justice
the core of Darwin OS	PRO56157260227589817
trademark	http://dbpedia.org/resource/Trademark
upgraded camera	PRO55738568853536318
video playback	PRO55898484496636122
video section of the iTunes store	PRO55741210777071856
video tool	PRO47184660097499838
website of Apple Inc.	PRO47082447420403803
welcomed-SE - (Steve Jobs)	welcome.01
you	PER47186668924192435
