AIG	http://dbpedia.org/resource/American_International_Group
Asia	http://dbpedia.org/resource/Asia
Associated Press	http://dbpedia.org/resource/Associated_Press
Bank of America	http://dbpedia.org/resource/Bank_of_America
Bank of England	http://dbpedia.org/resource/Bank_of_England
CAC40	http://dbpedia.org/resource/CAC_40
Canada	http://dbpedia.org/resource/Canada
Central banks across the world	http://dbpedia.org/resource/Central_bank
China (People's Republic of China)	http://dbpedia.org/resource/China
Chris Weafer	PER44061193159864674
DAX 30	http://dbpedia.org/resource/DAX
Dmitry Medvedev	http://dbpedia.org/resource/Dmitry_Medvedev
Dow Jones Industrial Average	http://dbpedia.org/resource/Dow_Jones_Industrial_Average
Earth	http://dbpedia.org/resource/Earth
Economy of Japan	http://dbpedia.org/resource/Economy_of_Japan
Economy of the United States	http://dbpedia.org/resource/Economy_of_the_United_States
Euro	http://dbpedia.org/resource/Euro
Eurogroup	http://dbpedia.org/resource/Eurogroup
European markets except British FTSE	FIN44180019212535054
FTSE 100 index	http://dbpedia.org/resource/FTSE_100_Index
FTSE CAC and DAX	FIN40257982401561392
Financial analysts	http://dbpedia.org/resource/Financial_analyst
G7	http://dbpedia.org/resource/G7
General Motors	http://dbpedia.org/resource/General_Motors
Germany	http://dbpedia.org/resource/Germany
Hang Seng index	http://dbpedia.org/resource/Hang_Seng_Index
Hong Kong	http://dbpedia.org/resource/Hong_Kong
International Monetary Fund and World Bank	ORG44086316744258890
Japan	http://dbpedia.org/resource/Japan
Japanese stocks	FIN44159529908035869
MICEX	http://dbpedia.org/resource/Moscow_Interbank_Currency_Exchange
Market value	http://dbpedia.org/resource/Market_value
NASDAQ Index (NASDAQ composite)	http://dbpedia.org/page/Nasdaq_Composite
NIKKEI	http://dbpedia.org/resource/Nikkei_225
NYSE New York	http://dbpedia.org/resource/New_York_Stock_Exchange
Russia	http://dbpedia.org/resource/Russia
Russian authorities	PER44062969178103801
Russian financial system	FIN44169257552181928
Russian stock markets	FIN44061602416744416
S&amp;P 500	http://dbpedia.org/resource/S&amp;P_500
Taro Aso	http://dbpedia.org/resource/Taro_Aso
The New York Times	http://dbpedia.org/resource/The_New_York_Times
US Federal Reserve	http://dbpedia.org/resource/Federal_Reserve_System
US banks	ORG43995193106187133
US dollar	http://dbpedia.org/resource/United_States_dollar
US stock exchanges	FIN40540689618469900
US stock markets	FIN39326930888384754
US stocks	FIN39327473292302528
United Kingdom	http://dbpedia.org/resource/United_Kingdom
United States of America 	http://dbpedia.org/resource/United_States
Worldwide stock markets	http://dbpedia.org/resource/Stock_market
Wyoming	http://dbpedia.org/resource/Wyoming
asian stock markets	FIN44084625053963775
bad loans	FIN44169862126831978
bank shares	FIN44158715337352833
be	
bear market	http://dbpedia.org/resource/Market_trend
chinese markets	FIN39675204951251977
cite	
commodity price index	http://dbpedia.org/resource/Commodity_price_index
companies	ORG44179864762149858
consumer	http://dbpedia.org/resource/Consumer
credit costs of the Bank of America	FIN44179238026550995
drop 18 mar 2011	OTH40349738980144568
events and statements	
fall	OTH40873348555594505
fall 6 october 2008 nasdaq	OTH40430824598335916
fall mon 6 october 2008 dow	OTH40799983013093948
financial world	FIN44060642242291052
gain - NYSE	
government	http://dbpedia.org/resource/Government
increase	
increase	OTH40262269055922282
index	FIN44178244692658833
indicators in the NYSE	FIN44158480991940202
institutions	ORG44168548798158641
keep	
large amount of stock	FIN44179668793765307
loan groups	FIN44168451456823328
loss 19 febr 2009	OTH40342681847203874
money	http://dbpedia.org/resource/Money
mortgage loan	http://dbpedia.org/resource/Mortgage_loan
multi-national banks	ORG43995590115261304
national economies	http://dbpedia.org/resource/Economy
ongoing	
output	
people	PER44178930870401494
record	
say	
several UK politicians	PER44178321507347308
several national banks	ORG44082372256733004
several worldwide stock markets	FIN44170042898462974
stay 7 october 2008 ftse	OTH40454915176423226
stock and foreign exchange markets	FIN44177585544056899
stock indexes around the globe	http://dbpedia.org/resource/Stock_market_index
stock market closing price	FIN43997387133733071
stock prices	http://dbpedia.org/resource/Share_price
subprime lending	http://dbpedia.org/resource/Subprime_lending
the Nasdaq and the S&amp;P 500	FIN44161804566677888
trader	PER44179505317472242
transfer	OTH40435781877564519
tumble	OTH40544900001763052
was 20 september 2008 dow 	OTH40795018115197866
worry	
