ENGLISH_**_http://dbpedia.org/resource/England	Country	0.350088682236	PopulatedPlace	0.275896872042	Place	0.275896872042	Settlement	0.220704315522	City	0.166145265001	Agent	0.111600339998	AdministrativeRegion	0.10670879348	Region	0.10670879348	Organisation	0.0940171621893	Company	0.0940171621893		GOLD_STANDARD:	Place	PopulatedPlace
WARSAW_**_http://dbpedia.org/resource/Warsaw	Settlement	0.465388316352	City	0.41930530894	PopulatedPlace	0.323739156139	Place	0.323739156139	Country	0.300716335936	Agent	0.141701751847	Company	0.111823688402	Organisation	0.111823688402	Region	-0.0139121901009	AdministrativeRegion	-0.0139121901009		GOLD_STANDARD:	Place	PopulatedPlace	Settlement
LONDON_**_http://dbpedia.org/resource/London	City	0.696353813941	Settlement	0.433131310403	PopulatedPlace	0.296726630567	Place	0.296726630567	Country	0.268531837466	Organisation	0.128973518443	Company	0.128973518443	Agent	0.104051978663	Region	-0.0355925973338	AdministrativeRegion	-0.0355925973338		GOLD_STANDARD:	Place	PopulatedPlace	Settlement
SWEDEN_**_http://dbpedia.org/resource/Sweden	Country	0.38304517007	PopulatedPlace	0.308130120237	Place	0.308130120237	City	0.30010603924	Settlement	0.258814298656	AdministrativeRegion	0.180669137928	Region	0.180669137928	Agent	0.142556291512	Organisation	0.0983617956642	Company	0.0983617956642		GOLD_STANDARD:	Place	PopulatedPlace	Country
HONG KONG_**_http://dbpedia.org/resource/Hong_Kong	City	0.409607281859	Settlement	0.257562694266	PopulatedPlace	0.241980972134	Place	0.241980972134	Country	0.225220709324	Agent	0.198796238153	Company	0.192655848472	Organisation	0.192655848472	Region	0.151251426405	AdministrativeRegion	0.151251426405		GOLD_STANDARD:	Place	PopulatedPlace	Country
Mostostal_**_http://dbpedia.org/resource/Mostostal	Country	0.333315281827	PopulatedPlace	0.241351979822	Place	0.241351979822	Settlement	0.168822676308	Company	0.163528906754	Organisation	0.163528906754	Agent	0.163528906754	AdministrativeRegion	0.129220791754	Region	0.129220791754	City	0.0689270509823		GOLD_STANDARD:	Agent
MONTGOMERY_**_http://dbpedia.org/resource/Montgomery,_Alabama	City	0.401105098335	Settlement	0.326815158829	AdministrativeRegion	0.281201218201	Region	0.281201218201	PopulatedPlace	0.253607213326	Place	0.253607213326	Country	0.188802625863	Agent	0.0693529390632	Company	0.0667507695564	Organisation	0.0667507695564		GOLD_STANDARD:	Place	PopulatedPlace	Settlement
Warsaw_**_http://dbpedia.org/resource/Warsaw	Country	0.317085075616	PopulatedPlace	0.229020989722	Place	0.229020989722	Settlement	0.185174338112	Agent	0.123917936316	City	0.0649888401456	Company	0.0194227212645	Organisation	0.0194227212645	AdministrativeRegion	-0.0247966103879	Region	-0.0247966103879		GOLD_STANDARD:	Place	PopulatedPlace	Settlement
KinderCare Learning Centers Inc_**_http://dbpedia.org/resource/KinderCare_Learning_Centers	Agent	0.144399309331	Company	0.142371377174	Organisation	0.142371377174	City	0.101298104299	Settlement	0.082206818221	PopulatedPlace	0.05823235125	Place	0.05823235125	Country	0.0383514972198	AdministrativeRegion	0.0241240085377	Region	0.0241240085377		GOLD_STANDARD:	Agent	Organisation	Company
Ka Wah Bank_**_http://dbpedia.org/resource/Ka_Wah_Bank	Region	0.374428588039	AdministrativeRegion	0.374428588039	Agent	0.147089091664	Company	0.111519246555	Organisation	0.111519246555	City	0.0986138728766	Country	0.0619341685179	PopulatedPlace	0.0570704804338	Place	0.0570704804338	Settlement	-0.0063247891166		GOLD_STANDARD:	Agent	Organisation	Company
TOKYO_**_http://dbpedia.org/resource/Tokyo	Settlement	0.39543826534	PopulatedPlace	0.282863435714	Place	0.282863435714	Country	0.263791061811	Organisation	0.167169210176	Company	0.167169210176	Agent	0.142608670378	Region	0.0637165313368	AdministrativeRegion	0.0637165313368		GOLD_STANDARD:	Place	PopulatedPlace	Settlement	City
GERMAN_**_http://dbpedia.org/resource/Germany	Country	0.430506796035	PopulatedPlace	0.375290340404	Place	0.375290340404	City	0.360262301112	Settlement	0.335547643189	Agent	0.131103529404	AdministrativeRegion	0.108314127604	Region	0.108314127604	Company	0.059541237382	Organisation	0.059541237382		GOLD_STANDARD:	Place	PopulatedPlace	Country
Polish_**_http://dbpedia.org/resource/Poland	Country	0.36370917606	PopulatedPlace	0.276219203889	Place	0.276219203889	Settlement	0.250586416694	Agent	0.139277056317	City	0.104447099191	Organisation	0.0391146802902	Company	0.0391146802902	Region	-0.031631962177	AdministrativeRegion	-0.031631962177		GOLD_STANDARD:	Place	PopulatedPlace	Country
