ENGLISH_**_http://dbpedia.org/resource/England	Currency	0.317780151859	AdministrativeRegion	0.239624977303	Region	0.239624977303	Country	0.192490888121	PopulatedPlace	0.181823271023	Place	0.181823271023	Settlement	0.15746178925	City	0.0835025428447	Organisation	0.0143834571139	Company	0.0143834571139		GOLD_STANDARD:	Place	PopulatedPlace
Warsaw_**_http://dbpedia.org/resource/Warsaw	Country	0.184995151459	PopulatedPlace	0.0978802429322	Place	0.0978802429322	Agent	0.0891026786677	City	0.0882717865055	Settlement	0.0662549580924	Bank	0.0281089619997	Company	0.0246382672189	Organisation	0.0246382672189	Currency	0.00280088666512		GOLD_STANDARD:	Place	PopulatedPlace	Settlement
TOKYO_**_http://dbpedia.org/resource/Tokyo	Settlement	0.242023229336	Country	0.210209105208	PopulatedPlace	0.186956637971	Place	0.186956637971	Currency	0.135821620249	Bank	0.107073303451	Agent	0.0852909655322	Organisation	0.0785261420837	Company	0.0785261420837	Region	-0.069370435786		GOLD_STANDARD:	Place	PopulatedPlace	Settlement	City
LONDON_**_http://dbpedia.org/resource/London	City	0.46565979365	Settlement	0.243668255186	Country	0.200158508995	PopulatedPlace	0.183557550636	Place	0.183557550636	Currency	0.0942203253354	Organisation	0.0695736195233	Company	0.0695736195233	Agent	0.0654790281281	Bank	0.0459305158268		GOLD_STANDARD:	Place	PopulatedPlace	Settlement
Mostostal_**_http://dbpedia.org/resource/Mostostal	Settlement	0.208400505086	Country	0.19928232675	PopulatedPlace	0.170356494694	Place	0.170356494694	Currency	0.15745341593	Company	0.131501366544	Organisation	0.131501366544	Agent	0.131501366544	City	0.125879906223	Bank	0.101030837884		GOLD_STANDARD:	Agent
HONG KONG_**_http://dbpedia.org/resource/Hong_Kong	City	0.569710147345	Settlement	0.303273993518	Currency	0.270232011461	Place	0.203816178378	PopulatedPlace	0.203816178378	Country	0.147364716431	Agent	0.108326262649	Company	0.10826948368	Organisation	0.10826948368	Bank	0.102755076639		GOLD_STANDARD:	Place	PopulatedPlace	Country
S&P_**_http://dbpedia.org/resource/Standard_&_Poor's	Bank	0.166329925758	City	0.146725551434	Agent	0.0544751302585	Currency	0.0513906310629	Company	0.050713023236	Organisation	0.050713023236	Settlement	-0.0122415524021	Place	-0.0205871618747	PopulatedPlace	-0.0205871618747	Country	-0.0265103888325		GOLD_STANDARD:	Agent	Organisation	Company	Bank
BAYERISCHE VEREINSBANK_**_http://dbpedia.org/resource/HypoVereinsbank	Currency	0.380984113812	Country	0.356684935283	PopulatedPlace	0.344922540766	Place	0.344922540766	Settlement	0.339565055742	City	0.244969977232	AdministrativeRegion	0.20448176523	Region	0.20448176523	Agent	0.0566541301016	Organisation	0.0284018189757		GOLD_STANDARD:	Agent	Organisation	Company
HK$_**_http://dbpedia.org/resource/Hong_Kong_dollar	PopulatedPlace	0.139922898868	Place	0.139922898868	AdministrativeRegion	0.136017580287	Region	0.136017580287	City	0.135821620249	Settlement	0.130589240978	Agent	0.122396304981	Country	0.118708958041	Company	0.116553453156	Organisation	0.116553453156		GOLD_STANDARD:	Currency
WARSAW_**_http://dbpedia.org/resource/Warsaw	Country	0.338348217223	PopulatedPlace	0.28739353381	Place	0.28739353381	Settlement	0.269196764424	City	0.24154040102	Currency	0.201745211166	Agent	0.125552117851	Region	0.108481120164	AdministrativeRegion	0.108481120164	Company	0.090468057672		GOLD_STANDARD:	Place	PopulatedPlace	Settlement
MONTGOMERY_**_http://dbpedia.org/resource/Montgomery,_Alabama	AdministrativeRegion	0.411646483679	Region	0.411646483679	Country	0.309241825297	PopulatedPlace	0.282114797061	Place	0.282114797061	Currency	0.218358161476	City	0.172620936169	Settlement	0.159591690846	Agent	0.0403701250067	Company	0.0365542269802		GOLD_STANDARD:	Place	PopulatedPlace	Settlement
SWEDEN_**_http://dbpedia.org/resource/Sweden	Settlement	0.272476856452	PopulatedPlace	0.259192174983	Place	0.259192174983	Country	0.224422785702	AdministrativeRegion	0.207669920159	Region	0.207669920159	Currency	0.20107680357	City	0.169966778896	Agent	0.0665497753103	Organisation	0.0612983637304		GOLD_STANDARD:	Place	PopulatedPlace	Country
Ka Wah Bank_**_http://dbpedia.org/resource/Ka_Wah_Bank	Bank	0.312680642893	Currency	0.266891102105	Agent	0.196495499738	Company	0.186864154638	Organisation	0.186864154638	City	0.0907742125788	Country	0.070270219133	Settlement	0.0518967545398	Place	0.0517400667777	PopulatedPlace	0.0517400667777		GOLD_STANDARD:	Agent	Organisation	Company
SWEDISH_**_http://dbpedia.org/resource/Sweden	Settlement	0.320421316212	Place	0.302177079905	PopulatedPlace	0.302177079905	Country	0.283399336982	Region	0.259314491871	AdministrativeRegion	0.259314491871	City	0.244721795939	Currency	0.234060989751	Agent	0.0572672734767	Company	0.0534031429445		GOLD_STANDARD:	Place	PopulatedPlace	Country
Tokyo-Mitsubishi Bank_**_http://dbpedia.org/resource/The_Bank_of_Tokyo-Mitsubishi_UFJ	Company	0.202121049921	Organisation	0.202121049921	Agent	0.189896876667	Bank	0.166329925758	Currency	0.102613824834	City	0.067421055467	Country	0.0177810784153	Settlement	-0.00528663010166	PopulatedPlace	-0.00951282169021	Place	-0.00951282169021		GOLD_STANDARD:	Agent	Organisation	Company	Bank
GERMAN_**_http://dbpedia.org/resource/Germany	PopulatedPlace	0.263720700103	Place	0.263720700103	Settlement	0.262969940717	Country	0.24307681155	Currency	0.223191476738	AdministrativeRegion	0.220660442811	Region	0.220660442811	City	0.167973947145	Agent	0.0268619979421	Company	0.0235184986702		GOLD_STANDARD:	Place	PopulatedPlace	Country
Polish_**_http://dbpedia.org/resource/Poland	Settlement	0.199554973538	Country	0.124269752812	Agent	0.123631992508	PopulatedPlace	0.113332342344	Place	0.113332342344	City	0.10350618813	Bank	0.0627740480049	Organisation	0.0565112731924	Company	0.0565112731924	Currency	-0.105645971593		GOLD_STANDARD:	Place	PopulatedPlace	Country
KinderCare Learning Centers Inc_**_http://dbpedia.org/resource/KinderCare_Learning_Centers	Bank	0.0819687956936	Agent	0.0683943124323	Company	0.0550653723058	Organisation	0.0550653723058	Settlement	0.0532458102225	Currency	0.0493581010605	City	0.0238031816204	Place	-0.00132163415517	PopulatedPlace	-0.00132163415517	Country	-0.0225605632075		GOLD_STANDARD:	Agent	Organisation	Company
Reuters_**_http://dbpedia.org/resource/Reuters	Bank	0.0679842726484	Agent	0.00690364505283	Organisation	0.00641645417056	Company	0.00641645417056	Region	-0.0316952931811	AdministrativeRegion	-0.0316952931811	Country	-0.0480379234415	Place	-0.0603739672378	PopulatedPlace	-0.0603739672378	Settlement	-0.067467061827		GOLD_STANDARD:	Agent	Organisation	Company
Ala_**_http://dbpedia.org/resource/Alabama	Currency	0.136017580287	PopulatedPlace	0.0827352277159	Place	0.0827352277159	Country	0.0777216655429	Settlement	0.0573735524062	Company	-0.00122591233873	Organisation	-0.00122591233873	Agent	-0.00252862843756	Bank	-0.0634786371707	City	-0.069370435786		GOLD_STANDARD:	
Poland_**_http://dbpedia.org/resource/Poland	Settlement	0.132846289383	Country	0.116870313821	Bank	0.0969057242816	Place	0.0890957540851	PopulatedPlace	0.0890957540851	Agent	0.0861424273421	Company	0.044626595133	Organisation	0.044626595133	City	0.00537577379311	Region	-0.0797490919157		GOLD_STANDARD:	Place	PopulatedPlace	Country
