ENGLISH_**_http://dbpedia.org/resource/England	City	0.325663677614	Settlement	0.298663590353	Country	0.259728580444	PopulatedPlace	0.250406002833	Place	0.250406002833	Organisation	0.0630789644308	Company	0.0630789644308	Agent	0.0630789644308	Bank	0.0387691823092	Currency	0.0266869340344		GOLD_STANDARD:	Place	PopulatedPlace
Warsaw_**_http://dbpedia.org/resource/Warsaw	Country	0.273089171113	PopulatedPlace	0.148704210061	Place	0.148704210061	City	0.0522831564795	Currency	0.044446232571	AdministrativeRegion	0.0383457769477	Region	0.0383457769477	Company	0.0379313000473	Organisation	0.0379313000473	Agent	0.0379313000473		GOLD_STANDARD:	Place	PopulatedPlace	Settlement
LONDON_**_http://dbpedia.org/resource/London	City	0.392118014144	Country	0.323111954357	Settlement	0.322040692922	Place	0.310803793595	PopulatedPlace	0.310803793595	Region	0.0408091071575	AdministrativeRegion	0.0408091071575	Organisation	0.0228929676336	Company	0.0228929676336	Agent	0.0228929676336		GOLD_STANDARD:	Place	PopulatedPlace	Settlement
SWEDEN_**_http://dbpedia.org/resource/Sweden	City	0.343704702081	Settlement	0.31190331292	Country	0.282375031439	PopulatedPlace	0.280680636311	Place	0.280680636311	Company	0.104952757326	Organisation	0.104952757326	Agent	0.104952757326	Bank	0.0933316749245	AdministrativeRegion	0.0854393838752		GOLD_STANDARD:	Place	PopulatedPlace	Country
HONG KONG_**_http://dbpedia.org/resource/Hong_Kong	City	0.462659396542	Settlement	0.393706184155	Place	0.317886806512	PopulatedPlace	0.317886806512	Country	0.289248092588	Currency	0.200138165014	Company	0.112982079858	Organisation	0.112982079858	Agent	0.112982079858	Bank	0.0817183715857		GOLD_STANDARD:	Place	PopulatedPlace	Country
S&P_**_http://dbpedia.org/resource/Standard_&_Poor's	Bank	0.233578394283	Company	0.189198073177	Organisation	0.189198073177	Agent	0.189198073177	Currency	0.1303937758	City	0.0281858911477	Country	0.0117550794539	Settlement	0.00662096611413	Place	0.00571179553519	PopulatedPlace	0.00571179553519		GOLD_STANDARD:	Agent	Organisation	Company	Bank
HK$_**_http://dbpedia.org/resource/Hong_Kong_dollar	Bank	0.14251359804	Organisation	0.123209130926	Company	0.123209130926	Agent	0.123209130926	City	0.0746810944143	Country	0.0624020217314	PopulatedPlace	0.0386184391461	Place	0.0386184391461	Settlement	0.0201456309995	AdministrativeRegion	0.00552326391693		GOLD_STANDARD:	Currency
MONTGOMERY_**_http://dbpedia.org/resource/Montgomery,_Alabama	City	0.371894064484	Country	0.312269687152	PopulatedPlace	0.29357621148	Place	0.29357621148	Settlement	0.291692117984	AdministrativeRegion	0.0970596508232	Region	0.0970596508232	Company	0.0516530766798	Organisation	0.0516530766798	Agent	0.0516530766798		GOLD_STANDARD:	Place	PopulatedPlace	Settlement
Ka Wah Bank_**_http://dbpedia.org/resource/Ka_Wah_Bank	Bank	0.25645218571	Currency	0.2373561669	Company	0.174811375472	Organisation	0.174811375472	Agent	0.174811375472	Region	0.146114026073	AdministrativeRegion	0.146114026073	City	0.0929182122589	Country	0.0893060755529	Place	0.0791599228788		GOLD_STANDARD:	Agent	Organisation	Company
TOKYO_**_http://dbpedia.org/resource/Tokyo	Settlement	0.272098411702	Country	0.271495856632	PopulatedPlace	0.251596367191	Place	0.251596367191	Bank	0.0918458082439	Organisation	0.0827787612172	Company	0.0827787612172	Agent	0.0827787612172	Currency	0.0746810944143	Region	0.0165254760293		GOLD_STANDARD:	Place	PopulatedPlace	Settlement	City
Tokyo-Mitsubishi Bank_**_http://dbpedia.org/resource/The_Bank_of_Tokyo-Mitsubishi_UFJ	Company	0.255426461886	Organisation	0.255426461886	Agent	0.255426461886	Bank	0.233578394283	City	0.15550572534	Currency	0.15463342028	Settlement	0.0835381873503	Country	0.0783727623413	PopulatedPlace	0.0741048317262	Place	0.0741048317262		GOLD_STANDARD:	Agent	Organisation	Company	Bank
KinderCare Learning Centers Inc_**_http://dbpedia.org/resource/KinderCare_Learning_Centers	Bank	0.183306569735	Company	0.157827699795	Organisation	0.157827699795	Agent	0.157827699795	Country	0.0828865569874	Place	0.0784047989253	PopulatedPlace	0.0784047989253	Settlement	0.0734894129646	City	0.0728483394398	Region	0.0661442579129		GOLD_STANDARD:	Agent	Organisation	Company
Polish_**_http://dbpedia.org/resource/Poland	Country	0.203236588994	Settlement	0.179116832854	PopulatedPlace	0.153318522851	Place	0.153318522851	City	0.0672765988351	Currency	0.0392076725297	Organisation	0.0229487370747	Company	0.0229487370747	Agent	0.0229487370747	Region	0.0122413984837		GOLD_STANDARD:	Place	PopulatedPlace	Country
GERMAN_**_http://dbpedia.org/resource/Germany	Settlement	0.41571089841	City	0.415449820866	PopulatedPlace	0.342640274993	Place	0.342640274993	Country	0.298847087853	Company	0.0227059739329	Organisation	0.0227059739329	Agent	0.0227059739329	AdministrativeRegion	0.0117212128835	Region	0.0117212128835		GOLD_STANDARD:	Place	PopulatedPlace	Country
Reuters_**_http://dbpedia.org/resource/Reuters	Bank	0.215911920398	Organisation	0.155811647068	Company	0.155811647068	Agent	0.155811647068	City	0.0644356378998	Currency	0.058401842447	Country	0.044235077914	Place	0.0383185348577	PopulatedPlace	0.0383185348577	Settlement	0.0330392846249		GOLD_STANDARD:	Agent	Organisation	Company
Ala_**_http://dbpedia.org/resource/Alabama	Settlement	0.0481850027394	Company	0.0416491223729	Organisation	0.0416491223729	Agent	0.0416491223729	PopulatedPlace	0.0332940141154	Place	0.0332940141154	Country	0.0258874731002	City	0.0165254760293	Currency	0.00552326391693	Bank	-0.0054156437881		GOLD_STANDARD:	
Poland_**_http://dbpedia.org/resource/Poland	Country	0.212733192041	Settlement	0.174521108227	Place	0.152841117897	PopulatedPlace	0.152841117897	Currency	0.0693447231335	City	0.0683887648361	Company	0.0429660040573	Organisation	0.0429660040573	Agent	0.0429660040573	Bank	0.0400673999974		GOLD_STANDARD:	Place	PopulatedPlace	Country
